ts,model,input,cc,cc5m,cc1h,cr,out,cost,win,rl,evt,line,req
1777705739,,0,0,0,0,0,0,0,1777705200,,clear,3,
1777705759,claude-sonnet-4-6,3,12772,0,12772,10638,190,0.082682,,,heuristic_resume,13,req_011CadKfMrgdVgnDnCV3SD2N
1777705761,,1,361,0,361,23410,103,0.010737,,,,15,req_011CadKfmUjwrGYpANsRois1
1777705765,,1,345,0,345,23771,160,0.011604,,,,18,req_011CadKfy2mo9SD8dqKXKAQ6
1777705976,,1,390,0,390,24116,531,0.017543,,,,20,req_011CadKvy2h4mUPY4feDQ2Cu
1777706017,,0,0,0,0,0,0,0,,,model_change,28,
1777706258,,3,15333,0,15333,10638,370,0.100748,,,heuristic_resume,38,req_011CadLHuBMJJFRMoMPiSYtG
1777706265,,1,448,0,448,25971,280,0.014682,,,,40,req_011CadLJajck2VLZqYRg7Nre
1777706348,,3,423,0,423,26419,223,0.013818,,,,47,req_011CadLQqHtT8s5fF8SGZCN8
1777706410,,1,1012,0,1012,26842,2237,0.047683,,,,50,req_011CadLScjPu6RxnAXwdcqbM
1777706504,,3,2363,0,2363,27854,127,0.024448,,,,58,req_011CadLcNb7yLhVXWaRMGZjn
1777706507,,1,859,0,859,30217,195,0.017147,,,,61,req_011CadLchcc7dGnmbVsEqX2f
1777706557,,1,245,0,245,31076,94,0.012206,,,,63,req_011CadLgPu7F4kFoXJw8qShW
1777706580,,3,197,0,197,31321,238,0.014157,,,,71,req_011CadLhvVQ8ySdLSavaZunR
1777706590,,1,256,0,256,31518,111,0.012659,,,,73,req_011CadLioeAdhNJfJwVbTP4j
1777706603,,1,159,0,159,31774,474,0.017599,,,,76,req_011CadLjAptWGAeTZNRAGkHP
1777706658,,1,490,0,490,31933,123,0.014368,,,,79,req_011CadLohQGNKMxZjywxBKGJ
1777706669,,1,831,0,831,32423,279,0.018901,,,,82,req_011CadLpBum5HGM4Rt9D4qP3
1777706722,,1,476,0,476,33254,106,0.014425,,,,84,req_011CadLtTxmg4FpjeCbkEV7C
1777706729,,1,307,0,307,33730,241,0.015579,,,,88,req_011CadLtvHoZfT5cZnA2APVb
1777706790,,1,307,0,307,34037,222,0.015386,,,,91,req_011CadLyQqe3S1rfKrgFG8wp
1777706797,,1,251,0,251,34344,292,0.016192,,,,94,req_011CadLytPaxcKBJSX4mLbts
1777706818,,1,371,0,371,34595,1100,0.029108,,,,98,req_011CadLzRTNZVw41cW7W9jyh
1777706861,,1,1118,0,1118,34966,156,0.019541,,,,101,req_011CadM4gpxGtD82m3Uontgn
1777707074,,3,180,0,180,36084,160,0.014314,,,,108,req_011CadMLSB6Q6aveA7g2gXdN
1777707078,,1,180,0,180,36264,24,0.012322,,,,110,req_011CadMLq1XdWUoiDaRvnAbG
1777707089,,3,33,0,33,36444,130,0.01309,,,,115,req_011CadMMQtEFZr6jraNgcfg6
1777785376,,3,25734,0,25734,10638,120,0.159404,1777784400,,heuristic_resume,122,req_011Caf4rRR4r3MSSWzFswfZx
1777785552,,1,7140,0,7140,36372,486,0.061045,,,,128,req_011Caf557Lz1J6NkfUNuNSSZ
1777785606,,3,521,0,521,43512,608,0.025309,,,,151,req_011Caf597bUvS6SH2TUFaw1S
1777785664,,1,21061,0,21061,44033,3419,0.190864,,,heuristic_resume,158,req_011Caf59fXMV4sYAQaatAJFZ
1777785717,,1,3521,0,3521,65094,2195,0.073582,,,,168,req_011Caf5EbmHEY5iq6sL4UzY4
1777785759,,1,2232,0,2232,68615,1631,0.058445,,,,173,req_011Caf5J3TCEwSmoCPRfnBCF
1777785789,,1,1668,0,1668,70847,1156,0.048605,,,,178,req_011Caf5MmLC3gNpBWoHrthqv
1777785837,,1,1191,0,1191,72515,1696,0.054344,,,,181,req_011Caf5Py8exd89kBYX1yXyg
