ts,model,input,cc,cc5m,cc1h,cr,out,cost,win,rl,evt,line,req
1777112119,claude-sonnet-4-6,2,18675,18675,0,0,193,0.072932,1777111200,,heuristic_resume,5,req_011CaQKBpDcrQ695Kodpv511
1777112124,,1,4536,4536,0,18675,276,0.026756,,,,11,req_011CaQKCBbzAR8tZDiEzNctS
1777112128,,1,1331,1331,0,23211,106,0.013548,,,,13,req_011CaQKCa8pTAMg4aXLwu5So
1777112131,,1,1233,1233,0,24542,153,0.014284,,,,15,req_011CaQKCr3XZj3xwZHjFYVxG
1777112135,,1,2288,2288,0,24542,181,0.018661,,,,17,req_011CaQKD5m2qUAEsYMbRxAhd
1777112138,,1,393,393,0,26830,114,0.011236,,,,21,req_011CaQKDLqPhpNmHXn58H6YW
1777112143,,1,1226,1226,0,27223,35,0.013292,,,,27,req_011CaQKDcG5y6eHYXdXKH199
1777112147,,1,3767,3767,0,28449,35,0.023189,,,,33,req_011CaQKDwYCnyHd628UvY7kz
1777112153,,1,1321,1321,0,32216,282,0.018852,,,,39,req_011CaQKEJ4yuHeQwU5iyGwM6
1777112156,,1,675,675,0,33537,191,0.01546,,,,43,req_011CaQKEfjDiecxXqkScMevu
1777112193,,1,515,515,0,34212,1808,0.039318,,,,45,req_011CaQKEwBehzdDfSkVCUi9d
