ts,model,input,cc,cc5m,cc1h,cr,out,cost,win,rl,evt,line,req
1777266993,claude-sonnet-4-6,2,17373,17373,0,0,102,0.066685,1777266000,,heuristic_resume,3,req_011CaTi2GsemWf9TJK9JJ8wj
1777266999,,1,12258,12258,0,7059,258,0.051958,,,heuristic_resume,12,req_011CaTi2X9e9vLWwjoDjgWuv
1777267004,,1,8854,8854,0,19317,248,0.042721,,,,20,req_011CaTi2vTboJ4ANP7XXtWy1
1777267010,,1,9324,9324,0,28171,93,0.044814,,,,24,req_011CaTi3Gb4rVURceysQpVNJ
1777267024,,3,612,612,0,37495,757,0.024908,,,,34,req_011CaTi3m3LVBzRndHPMh58B
1777267072,,13362,29201,29201,0,38107,183,0.163767,,,heuristic_resume,39,req_011CaTi7paXYKnFY4TqA1vDy
1777267168,,1,15381,15381,0,67308,4262,0.141804,,,heuristic_resume,43,req_011CaTi8cpcygVB8sMWbsQb2
1777267174,,1,4278,4278,0,82689,68,0.041872,,,,45,req_011CaTiFPe4US6PJsTN9CDB3
1777267191,,1,4804,4804,0,82689,741,0.05394,,,,47,req_011CaTiFpjvLunHJYnsv3pyU
1777267244,,1,794,794,0,87493,744,0.040388,,,,49,req_011CaTiL16dJRskC71iNT4Lk
