ts,model,input,cc,cc5m,cc1h,cr,out,cost,win,rl,evt,line,req
1777112087,claude-sonnet-4-6,3,15413,0,15413,10604,109,0.097303,1777111200,,heuristic_resume,13,req_011CaQK9Z8i8ywVzC2hUdpRK
1777112199,,1,1946,0,1946,26017,237,0.023039,,,,15,req_011CaQKHdoDohCDAgEi7PnuY
1777112316,,3,304,0,304,27963,662,0.020152,,,,20,req_011CaQKRjEcfDfRVoqbgAgCB
1777112410,,3,732,0,732,28267,216,0.016121,,,,27,req_011CaQKZDp2U4Bh2icT7ePd4
1777112416,,1,276,0,276,28999,146,0.012549,,,,29,req_011CaQKZgoEy2WHPVs1VuVGf
1777112420,,1,1057,0,1057,28999,132,0.017025,,,,31,req_011CaQKa7b1M36mFCVQcx9Ro
1777112428,,1,302,0,302,30056,207,0.013937,,,,33,req_011CaQKaMNj6UDzoyRmMe9sF
1777112431,,1,678,0,678,30358,94,0.014588,,,,35,req_011CaQKazG19mLyWgRfeBh6E
1777112439,,1,988,0,988,30358,525,0.022913,,,,43,req_011CaQKbAfKqQk3Gmp2NSdpC
1777112457,,1,6440,0,6440,31346,853,0.060842,,,,51,req_011CaQKbmw7y9eKojBFzgwFU
1777112609,,1,908,0,908,37786,168,0.019307,,,,53,req_011CaQKp4V7h4LQUC8wbD5Ao
1777112615,,1,1400,0,1400,38694,189,0.022846,,,,58,req_011CaQKpRsjH96Nbt62L9SYD
1777112643,,1,1422,0,1422,40094,173,0.023158,,,,61,req_011CaQKrQzxNANAGvkU2BEfb
1777112646,,1,1415,0,1415,41516,65,0.021923,,,,66,req_011CaQKrqh1EsSkYXDbDjqbH
1777112651,,1,113,0,113,42931,173,0.016155,,,,69,req_011CaQKs2dpspB7Aozv8YtAZ
1777112664,,1,223,0,223,43044,449,0.020989,,,,72,req_011CaQKsjftBDPSLWUwwFfR6
1777112686,,1,508,0,508,43267,157,0.018386,,,,75,req_011CaQKukUp3bgzFLUFjgVog
1777112714,,1,1485,0,1485,43775,230,0.025496,,,,79,req_011CaQKwHGWJKsuLLXjmGK3j
1777112730,,1,1447,0,1447,45260,643,0.031908,,,,85,req_011CaQKxZ9m6yxAf7BESMYza
1777112747,,1,1860,0,1860,46707,331,0.03014,,,,88,req_011CaQKysuuKkiPP9ZpHTPmm
1777112944,,1,1548,0,1548,48567,201,0.026876,,,,91,req_011CaQLEWDbZKsCqvmtH7XPv
1777112955,,1,1418,0,1418,50115,411,0.029711,,,,97,req_011CaQLF8XQBTktFsheVpvjm
1777113017,,1,1627,0,1627,51533,127,0.02713,,,,102,req_011CaQLL5KYxnyeBkg5kkUTr
1777113023,,1,2861,0,2861,53160,272,0.037197,,,,106,req_011CaQLLPD5WimxRTmPSFYLx
1777113037,,1,420,0,420,56021,272,0.023409,,,,111,req_011CaQLMPRW9hceA3ZMnpFeN
1777113085,,3,374,0,374,56441,125,0.02106,,,,117,req_011CaQLR6vBnCxV5izumFqe2
1777113251,,3,360,0,360,56815,1284,0.038474,,,,123,req_011CaQLbiDk4eoVo5YNgEcdk
1777113350,,3,1329,0,1329,57175,517,0.032891,,,,127,req_011CaQLk62t9fk2ayGdnyvpv
1777117794,,3,48585,0,48585,10604,1777,0.321355,1777114800,,heuristic_resume,138,req_011CaQSMfz7Ht4oTuscou5BG
1777117913,,3,1878,0,1878,59189,1196,0.046974,,,,146,req_011CaQSXejUx1jmmM8UodmMf
1777117932,,1,2118,0,2118,61067,937,0.045086,,,,148,req_011CaQSZA5MtwN7npTUbVVV3
1777118014,,1,988,0,988,63185,103,0.026432,,,,152,req_011CaQSgCoGbd7hAkxaTtDiT
1777118032,,1,232,0,232,64173,176,0.023287,,,,155,req_011CaQShS1YNMSpnvcriFt48
1777261139,,3,55888,0,55888,10604,100,0.340018,1777258800,,heuristic_resume,174,req_011CaTaaQi9vvCCWCASfGKq1
1777261158,,1,176,0,176,66492,246,0.024697,,,,176,req_011CaTabmSrk8Nu28qsmjo3X
1777263480,,3,295,0,295,66668,817,0.034034,1777262400,,,194,req_011CaTdY3VVhJQLf6rvDaGug
1777263710,,3,932,0,932,66963,2255,0.059515,,,,200,req_011CaTdo8mfD7sM4Qt9wA2aH
1777263825,,3,59726,0,59726,10604,464,0.368506,,,heuristic_resume,210,req_011CaTdyqf5Q4eihDAri2A1p
1777263838,,1,3390,0,3390,70330,463,0.048387,,,,215,req_011CaTe13D8Py1VsVdm5JLPH
1777263855,,3,1719,0,1719,73720,908,0.046059,,,,218,req_011CaTe1v3YtqshFiuhkyWy7
1777264315,,1,1775,0,1775,75439,1247,0.05199,,,,222,req_011CaTeavwJX9WwbDJ1EzHk2
1777264349,,1,1376,0,1376,77214,1440,0.053023,,,,225,req_011CaTedqqYuPtRcXDMMFWqj
1777264583,,1,1475,0,1475,78590,108,0.03405,,,,231,req_011CaTexXgvcnZqqNUKHdiZL
1777264594,,1,1716,0,1716,80065,484,0.041579,,,,234,req_011CaTexswq158jC3MXNBh27
1777264612,,1,535,0,535,81781,404,0.033807,,,,237,req_011CaTezCmwdfLdhk3gbVqqJ
1777264624,,1,420,0,420,82316,496,0.034658,,,,239,req_011CaTf11ZHPMpoqPeXtHUEf
1777264680,,3,606,0,606,82736,392,0.034346,,,,247,req_011CaTf5FBC8nVWWGUobmSS3
1777264780,,3,442,0,442,83342,253,0.031459,,,,253,req_011CaTfCjkMdjogSJuFsuRm9
1777264796,,1,483,0,483,83784,512,0.035716,,,,255,req_011CaTfDPQGgVHCVGpqS4TbD
1777264844,,1,674,0,674,84267,120,0.031127,,,,258,req_011CaTfHgGe77gRzNLQUncFR
1777264885,,3,230,0,230,84941,163,0.029316,,,,265,req_011CaTfLh1NnG8pthiQiJB7L
1777264893,,3,692,0,692,85171,104,0.031272,,,,268,req_011CaTfM7jAgjAqqa9sM8Mzv
