ts,model,input,cc,cc5m,cc1h,cr,out,cost,win,rl,evt,line,req
1778574962,claude-sonnet-4-6,2,14726,14726,0,0,118,0.056999,1778572800,,heuristic_resume,5,req_011CaxNNHgrmMWsgA57Bu2ga
1778574968,,1,582,582,0,14726,714,0.017313,,,,24,req_011CaxNNUdfkHopcTv8pmt4D
1778574972,,1,1967,1967,0,15308,268,0.015992,,,,31,req_011CaxNNugoaRxojnWf1WjKF
1778574975,,1,7040,7040,0,17275,37,0.032141,,,,36,req_011CaxNPDa5wgN9NpHRXbMQj
1778574979,,1,3376,3376,0,24315,225,0.023333,,,,44,req_011CaxNPTj8URN8PtGmE1vah
1778574981,,1,5432,5432,0,27691,96,0.03012,,,,47,req_011CaxNPj9KxDoNyqxRntb6A
1778574989,,3,615,615,0,33123,653,0.022047,,,,57,req_011CaxNPv1gAVHkfRamQFTTJ
1778575033,,3765,31598,31598,0,33738,326,0.144799,,,heuristic_resume,62,req_011CaxNTFCRWkRP4iSrSXfnD
1778575076,,576,9183,9183,0,65336,141,0.05788,,,,65,req_011CaxNWhnfK7cvhCVcn1YDB
1778575082,,1,3930,3930,0,74519,1,0.037111,,,,68,req_011CaxNWuAXRqo6CZ72AzCkW
1778575146,,1,4319,4319,0,78449,4065,0.100709,,,,71,req_011CaxNXPLBf3TJhd6gubeZT
1778575148,,1,4204,4204,0,82768,68,0.041618,,,,73,req_011CaxNc61H6w5N6S8XBWFoX
1778575163,,1,2347,2347,0,86972,723,0.045741,,,,75,req_011CaxNcGd1B2f6jBwvsvkT9
1778575210,,1,792,792,0,89319,2806,0.071859,,,,77,req_011CaxNde9qFNMYKBvdDSmM8
