ts,model,input,cc,cc5m,cc1h,cr,out,cost,win,rl,evt,line,req
1778574904,claude-sonnet-4-6,3,12867,0,12867,12025,164,0.083279,1778572800,,heuristic_resume,9,req_011CaxNHkuaJTdJhxeES6WeE
1778574907,,1,223,0,223,24892,74,0.009919,,,,11,req_011CaxNJJmENHjWoZmLtmXFE
1778574910,,1,2499,0,2499,25115,73,0.023627,,,,13,req_011CaxNJURexX4GDwzPs8qiA
1778574921,,1,2432,0,2432,27614,354,0.028189,,,,20,req_011CaxNJuodmB7E4m2sS4UVp
1778574927,,1,949,0,949,30046,309,0.019346,,,,22,req_011CaxNKV96XVNk2nJraSZyH
1778575326,,3,3263,0,3263,30995,544,0.037046,,,,34,req_011CaxNpctjd8rAQv8cDuPRq
1778575343,,3,574,0,574,34258,150,0.01598,,,,41,req_011CaxNrLnRT7wqHvAMJEbjB
1778575347,,1,230,0,230,34832,280,0.016033,,,,54,req_011CaxNrbdtQDsFxBcs3KE3H
1778575352,,1,9870,0,9870,35062,112,0.071422,,,,61,req_011CaxNrz22wxeQsAfJLPftB
1778575411,,1,1252,0,1252,44932,3637,0.07555,,,,65,req_011CaxNsDb6uB7mTg1KDJfQ8
1778575450,,1,3685,0,3685,46184,1775,0.062593,,,,72,req_011CaxNwsFdHGD6YNrJ1xEHK
1778575464,,1,1826,0,1826,49869,133,0.027915,,,,75,req_011CaxP1JE8dLz5kxcyqYxyH
1778575477,,1,203,0,203,51695,480,0.02393,,,,77,req_011CaxP1spURDWZvgymCLcGA
1778575487,,1,550,0,550,51898,159,0.021257,,,,84,req_011CaxP2v6RPQ59FXvksXfRi
1778575493,,1,231,0,231,52448,201,0.020138,,,,86,req_011CaxP3QhNiPmGWpwFvVduQ
1778575505,,1,273,0,273,52679,513,0.02514,,,,88,req_011CaxP3uBshLofERHWT3zNd
1778575642,,1,665,0,665,52952,466,0.026869,,,,94,req_011CaxPDw8ytrj4VEhg3Bvgy
1778575650,,1,519,0,519,53617,189,0.022037,,,,97,req_011CaxPEk518MabtAkSdexci
1778575659,,1,243,0,243,54136,290,0.022052,,,,103,req_011CaxPFV87CgqezJ5okXfFW
1778575670,,1,344,0,344,54379,464,0.025341,,,,105,req_011CaxPG2PYp2KP7efqAAEKe
1778575678,,1,518,0,518,54723,152,0.021808,,,,108,req_011CaxPH4TbranoVMJPGUzzp
1778575697,,1,203,0,203,55241,345,0.022968,,,,110,req_011CaxPJFRgZ1RzzS1mfi1DL
1778575768,,1,396,0,396,55444,752,0.030292,,,,116,req_011CaxPNq767TEKcXDTSjkEU
1778575783,,1,770,0,770,55840,341,0.02649,,,,118,req_011CaxPQcfYNnR26uCvY5jyX
