ts,model,input,cc,cc5m,cc1h,cr,out,cost,win,rl,evt,line,req
1777474670,claude-haiku-4-5-20251001,3,42985,42985,0,0,331,0.055389,1777471200,,heuristic_resume,7,req_011CaYFxwv3Wp2Qd9N3b3bcm
1777474674,,7,3590,3590,0,42985,1,0.008798,,,,14,req_011CaYFyDFHDMyj6v2nw3G6a
1777474676,,7,1178,1178,0,46575,308,0.007677,,,,23,req_011CaYFyWsvYLofVCyb2DqHN
1777474680,,7,5673,5673,0,46575,335,0.013431,,,,32,req_011CaYFyhmGdt14Nz1Ze53sw
1777474682,,7,1529,1529,0,52248,251,0.008398,,,,38,req_011CaYFyyaHSJsSy8dzjwxkm
1777474685,,7,2998,2998,0,53777,299,0.010627,,,,45,req_011CaYFz94HiEqeNqmQZHMY9
1777474691,,7,3509,3509,0,56775,251,0.011326,,,,51,req_011CaYFzN4smU1HehZBLNneD
1777474695,,7,3212,3212,0,60284,1,0.010055,,,,58,req_011CaYFzpaKtjEWGyDV2PsyA
1777474698,,7,1862,1862,0,63496,193,0.009649,,,,63,req_011CaYG169wmUJGdNZh1Ymi4
1777474700,,7,2929,2929,0,63496,216,0.011098,,,,68,req_011CaYG1HbGyXTZcZKdGQJut
1777474702,,7,552,552,0,66425,174,0.00821,,,,73,req_011CaYG1UVry8tm4pqBaK5tM
1777474705,,7,1331,1331,0,66425,241,0.009518,,,,78,req_011CaYG1drRtJwkVL6ibM11x
1777474708,,7,2658,2658,0,67756,229,0.01125,,,ctx_warn,83,req_011CaYG1qe6Y5M9QfHDLmkxn
1777474712,,7,1906,1906,0,70414,6,0.009461,,,,88,req_011CaYG23qpJ5J6Cq4JGrCS4
1777474714,,7,1313,1313,0,72320,198,0.00987,,,,93,req_011CaYG2LPUrxt9s1Zaq7A2G
1777474780,,7,821,821,0,73633,1,0.008402,,,,95,req_011CaYG2X4g87mN3Rizctyr9
