ts,model,input,cc,cc5m,cc1h,cr,out,cost,win,rl,evt,line,req
1777294397,,0,0,0,0,0,0,0,1777291200,,clear,3,
1777295662,claude-sonnet-4-6,3,17019,0,17019,10604,774,0.116914,1777294800,,heuristic_resume,11,req_011CaULSqdk5xB86qeUafCUd
1777295665,,0,0,0,0,0,0,0,,limit_hit_unknown{12:20am@Asia/Seoul},,13,
1777334749,,3,18000,0,18000,10604,157,0.113545,1777334400,,heuristic_resume,22,req_011CaVC8jzEycumHzgUeFkuN
1777334761,,1,260,0,260,28604,512,0.017824,,,,24,req_011CaVC97Md1zt23sWhmEC8V
1777334918,,3,19145,0,19145,10604,1437,0.139615,,,heuristic_resume,38,req_011CaVCKRXnjxvTmvwi4yejU
1777335132,,3,1496,0,1496,29749,955,0.032235,,,,42,req_011CaVCbzX7McaWqFfYFtHHx
1777335374,,3,973,0,973,31245,103,0.016766,,,,49,req_011CaVCvpBY1LtktCDiz2vkb
1777335380,,1,315,0,315,32218,348,0.016778,,,,52,req_011CaVCw9yfNMtppqpRdcrnf
1777335423,,1,398,0,398,32533,133,0.014146,,,,55,req_011CaVCzJ9semikC1zZmBMWY
1777335478,,3,262,0,262,32931,185,0.014235,,,,61,req_011CaVD3y71QFfuPeV8rUhvZ
1777335485,,1,419,0,419,33193,481,0.01969,,,,63,req_011CaVD4pHxM3dvn18MBk6wh
1777335518,,1,531,0,531,33612,119,0.015058,,,,65,req_011CaVD7TMTmRnArDBGYyk1m
1777473576,,3,23590,0,23590,10672,736,0.155791,1777471200,,heuristic_resume,76,req_011CaYEZSH5Eu5Tmak8YXLhj
1777473847,,3,814,0,814,34262,139,0.017257,,,,82,req_011CaYEvHCTbo6s3ZFzEqE5y
1777473854,,3,668,0,668,35076,156,0.01688,,,,86,req_011CaYEvYaRSxdLkL1P1Bg1N
1777473878,,1,2255,0,2255,35744,693,0.034651,,,,91,req_011CaYEwwMudoqF36YiRzk1P
1777473973,,3,841,0,841,37999,877,0.02961,,,,98,req_011CaYF4omTDVqNSPCVoRkUN
1777474017,,3,896,0,896,38840,269,0.021072,,,,106,req_011CaYF8jfFvrwvd4bUofhhH
1777474027,,1,511,0,511,39736,199,0.017975,,,,111,req_011CaYF9XDS1kupJtyaAQiRo
1777474033,,1,215,0,215,40247,155,0.015692,,,,115,req_011CaYFA1ZWBDLnpZbU9MGAY
1777474059,,1,1108,0,1108,40462,552,0.02707,,,,120,req_011CaYFBRgMkVRc69iwRUrwT
1777474140,,0,0,0,0,0,0,0,,,reload_plugins,137,
1777474147,,2,3136,0,3136,41570,167,0.033798,,,,146,req_011CaYFJTQVK4NfvK3ino9MK
1777474154,,1,603,0,603,44706,239,0.020618,,,,149,req_011CaYFJmGmpBemYwgF6sMaw
1777474208,,2,738,0,738,45309,272,0.022107,,,,164,req_011CaYFNrFmjki7ys3yaTxJg
1777474212,,1,906,0,906,46047,169,0.021788,,,,167,req_011CaYFPHudHcfAU6DBWVbeP
1777474226,,1,1034,0,1034,46953,579,0.028978,,,,171,req_011CaYFPgrFpWRqSaxKv4toY
1777474275,,3,725,0,725,47987,539,0.02684,,,,179,req_011CaYFTGxvmkr88if1vEiZT
1777474670,,3,1113,0,1113,49251,1008,0.036582,,,,193,req_011CaYFxA1nWuZyssuak1bRD
1777474824,,3,10368,0,10368,50364,2171,0.109891,1777474800,,heuristic_resume,201,req_011CaYG8AmT5EtHvw2PqTuZD
1777474826,,1,2259,0,2259,60732,59,0.032662,,,,205,req_011CaYGAavZjDAotB2bjrrgU
1777474839,,3,2978,0,2978,60732,934,0.050107,,,,208,req_011CaYGAn7GksAPLMUmHMasg
1777474956,,2,1365,0,1365,63710,122,0.029139,,,,218,req_011CaYGL6ihzaxJ8YNbZwHJc
1777474963,,1,444,0,444,65075,177,0.024845,,,,220,req_011CaYGLMhcMHDGm4TFZka8A
1777477362,,3,3093,0,3093,65519,178,0.040893,,,,233,req_011CaYKPDkZFV8dErrosvL9d
1777477426,,1,2392,0,2392,68612,1177,0.052594,,,,239,req_011CaYKT1gdpbp8cH2ghoVtJ
1777507667,,3,61748,0,61748,10730,1116,0.390456,1777507200,,heuristic_resume,249,req_011CaYysbN2LHV8nKmYEVXhZ
1777507938,,3,63333,0,63333,10730,198,0.386196,,,heuristic_resume,262,req_011CaYzEvQLq1heWpt8mGM7X
1777507967,,1,320,0,320,74063,1282,0.043372,,,,265,req_011CaYzFgvWMi28RboBnpRS6
1777513032,,3,65034,0,65034,10730,278,0.397602,1777510800,,heuristic_resume,280,req_011CaZ6iVBWykg5cmWRZc3Uq
1777513070,,1,1324,0,1324,75764,1709,0.056311,,,,284,req_011CaZ6jSxrFAtQky4EhqLu9
1777513114,,1,1739,0,1739,77088,296,0.038003,,,,287,req_011CaZ6pCKfskyKBa9adt4J6
1777645887,,3,68568,0,68568,10638,658,0.424478,1777644000,,heuristic_resume,299,req_011Cac1ZTahqN6UZb5rhbcEh
1777645958,,3,820,0,820,79206,1638,0.053261,,,,307,req_011Cac1detxLiio9MW8LNd25
1777645958,,0,0,0,0,0,0,0,,limit_hit_unknown{12:50am@Asia/Seoul},,309,
1777651497,,3,71369,0,71369,10638,1063,0.447359,1777651200,,heuristic_resume,336,req_011Cac8gTkPZb6dhP9YYaF3u
1777651569,,1,12715,0,12715,82007,3848,0.158615,,,heuristic_resume,343,req_011Cac8hw9gX8KA3QuiiEAP2
1777652030,,1,3991,0,3991,94722,2759,0.093751,,,,350,req_011Cac9KRu3KJANggZL2vLE5
1777652079,,1,2796,0,2796,98713,1714,0.072103,,,,354,req_011Cac9QLr5BQFg9t2hRGCYS
1777652087,,1,1751,0,1751,101509,137,0.043017,,,,358,req_011Cac9TFNzs2Dqx4gEvm63K
1777652095,,1,221,0,221,103260,409,0.038442,,,,361,req_011Cac9TSbSLSENjM8REu7aT
1777652103,,1,425,0,425,103481,85,0.034872,,,,365,req_011Cac9UUzaU69nGnVsHxtJY
1777652109,,1,279,0,279,103906,358,0.038219,,,,367,req_011Cac9Ucw4gVpdvUSiwGWte
1777652118,,1,411,0,411,104185,90,0.035075,,,,370,req_011Cac9VTcGCPRNarDAMXFTo
1777705685,,2,95400,0,95400,10638,71,0.576662,1777705200,,cost_warn,380,req_011CadKa2aRkbLj5pdYS6CuZ
1777705687,,1,203,0,203,106038,68,0.034052,,,,383,req_011CadKaL7sCqJT4XShSejZj
1777705698,,1,2047,0,2047,106241,753,0.055452,,,,387,req_011CadKaW2vDGuMP7euKWMDK
1777705728,,1,806,0,806,108288,385,0.0431,,,,389,req_011CadKcwWuPjVd3Xyuxj23b
