ts,model,input,cc,cc5m,cc1h,cr,out,cost,win,rl,evt,line,req
1777976341,,0,0,0,0,0,0,0,1777975200,,clear,3,
1777976350,,0,0,0,0,0,0,0,,,model_change,7,
1777976376,claude-sonnet-4-6,3,12805,0,12805,10995,131,0.082103,,,heuristic_resume,16,req_011CajFbu7KhJddZ3BZfqwku
1777976380,,1,859,0,859,23800,218,0.015567,,,,19,req_011CajFcB42X8hUmjV3CNXig
1777976384,,1,26153,0,26153,24659,221,0.167634,,,heuristic_resume,23,req_011CajFcRA6bK7TUSssZvkr5
1777976387,,1,324,0,324,50812,175,0.019816,,,,26,req_011CajFcjzg2L9PbbmzVZZHn
1777976430,,1,241,0,241,51136,84,0.01805,,,,28,req_011CajFftvHBSSLVoy5nC4yV
1778162966,,3,40538,0,40538,11988,274,0.250943,1778162400,,heuristic_resume,36,req_011CaoLk3Dob5NjQGfY5f1Uf
1778162970,,1,561,0,561,52526,196,0.022067,,,,42,req_011CaoLkWxuzBjwikHNL8LEx
1778162984,,1,2214,0,2214,53087,602,0.038243,,,,45,req_011CaoLkmF9dLVcc4mbfMx9B
