ts,model,input,cc,cc5m,cc1h,cr,out,cost,win,rl,evt,line,req
1779119525,,0,0,0,0,0,0,0,1779116400,,clear,3,
1779119528,,0,0,0,0,0,0,0,,,model_change,7,
1779119587,claude-opus-4-7,6,37806,0,37806,0,1256,0.40949,,,heuristic_resume,23,req_011CbAJXemT8pc8y7WbE2X3i
1779119706,,1,4409,0,4409,37806,1528,0.101198,,,,31,req_011CbAJfxNq8gvenFVVcRBwH
1779119831,,1,2971,0,2971,42215,3760,0.144823,,,,36,req_011CbAJn1HNmo27Yg5zCNz8Q
1779119838,,1,3826,0,3826,45186,282,0.067908,,,,42,req_011CbAJs8bYzPUJAPYYLgCio
1779119843,,6,50324,0,50324,0,47,0.504445,,,cost_warn|heuristic_resume,44,req_011CbAJsm8FJKyE9jtPiZJfi
1779119855,claude-sonnet-4-6,1,28808,0,28808,12725,404,0.182729,,,heuristic_resume,56,req_011CbAJtRwrstqm5NyYaDxJ6
1779120107,,1,2701,0,2701,41533,21715,0.354394,1779120000,,,65,req_011CbAJttrNQDYahBpjNFeEx
1779120193,,1,21759,0,21759,44234,142,0.145957,,,heuristic_resume,72,req_011CbAKKb3FVYpnbXLZK5jzE
1779120217,,1,196,0,196,65993,234,0.024487,,,,76,req_011CbAKMEdidaY3PTfdC8vgN
1779120221,,1,386,0,386,66189,138,0.024246,,,,78,req_011CbAKMbW5sNXJc27xT9wfv
1779120223,,1,162,0,162,66575,121,0.022763,,,,80,req_011CbAKMrYDS9dRreRdPdn9G
1779120232,,1,205,0,205,66737,454,0.028064,,,,84,req_011CbAKN42XPUoidHTjbHkfM
1779120278,,1,472,0,472,66942,279,0.027103,,,,86,req_011CbAKRhJCu5Puu4pRzjeXa
1779120329,,3,412,0,412,67414,527,0.03061,,,,93,req_011CbAKVD8AM1GWNWFZrFeh8
1779120332,,1,730,0,730,67826,181,0.027446,,,,97,req_011CbAKVqzh8rSuD5ACJD7aG
1779120359,,1,937,0,937,68556,1926,0.055082,,,,105,req_011CbAKW4KcJE4h3b3RAnqa4
1779120450,,1,2091,0,2091,69493,634,0.042907,,,,108,req_011CbAKeH6HAy7aGx3oztyaE
1779120511,,1,700,0,700,71584,480,0.032878,,,,111,req_011CbAKio5gdcNne4fBtPqk2
1779120517,,1,527,0,527,72284,161,0.027265,,,,113,req_011CbAKjRNkNpQzLxkut825U
1779120522,,1,181,0,181,72811,204,0.025992,,,,115,req_011CbAKjmqoUuXMFwtP7jaa8
1779141251,,3,60582,0,60582,12725,1387,0.388124,1779138000,,heuristic_resume,127,req_011CbAn3rPvSEuwWx5MJwEV4
1779141295,,3,1403,0,1403,73307,328,0.035339,,,,134,req_011CbAn8jGgi67AzS8N5HqHB
1779141299,,1,386,0,386,74710,100,0.026232,,,,136,req_011CbAn9NRqe8kQduaF4y2LB
1779141301,,1,142,0,142,75096,66,0.024374,,,,138,req_011CbAn9dfsGQRePATCw3CVV
1779141331,,1,1393,0,1393,75096,1627,0.055295,,,,143,req_011CbAn9o6ABnKWGGdmfi5sX
1779141359,,1,1676,0,1676,76489,472,0.040086,,,,151,req_011CbAnDXTg3BEYAUYusPrQp
1779141395,,1,538,0,538,78165,66,0.027671,,,,153,req_011CbAnGUXe6fZe1bV4DxjBQ
1779141449,,3,187,0,187,78703,275,0.028867,,,,161,req_011CbAnLDbLH3ZbVWGxtRA9C
1779141544,,1,9326,0,9326,78890,5435,0.161151,,,,169,req_011CbAnLgSrwrZB7JvFo8pZf
1779141559,,1,5501,0,5501,88216,412,0.065654,,,,171,req_011CbAnUCPNWzitbvY9HKoj5
1779141568,,1,558,0,558,93717,419,0.037751,,,,178,req_011CbAnUwxEkbHrEPk6ucDLZ
1779141578,,1,466,0,466,94275,462,0.038012,,,,180,req_011CbAnVcppoEGdgXoTi4nqf
1779141591,,1,509,0,509,94741,294,0.035889,,,,182,req_011CbAnWi392etJ9UgfmZMVj
1779141614,,1,341,0,341,95250,552,0.038904,1779141600,,,184,req_011CbAnY9xdjRB4gFfk8gkkR
1779141623,,1,599,0,599,95591,373,0.037869,,,,186,req_011CbAnYxtf1SEvcUbPaSHyT
1779141632,,1,420,0,420,96190,426,0.03777,,,,188,req_011CbAnZa7y3dUfNCbBw6jFa
1779141652,,1,473,0,473,96610,387,0.037629,,,,190,req_011CbAnb2dh3THCGkgWzEo7P
1779141663,,1,434,0,434,97083,393,0.037627,,,,192,req_011CbAnbxm45ckaXMwoaT8aq
1779141755,,1,440,0,440,97517,1043,0.047543,,,,198,req_011CbAnhx81yvtK5mbzZ25Uh
1779141762,,1,1090,0,1090,97957,107,0.037535,,,,202,req_011CbAnjW6QEKDCqRb1vQXAy
1779141786,,1,224,0,224,99047,602,0.040091,,,,204,req_011CbAnkKUDYU8C5x1LSVBjT
