ts,model,input,cc,cc5m,cc1h,cr,out,cost,win,rl,evt,line,req
1779272221,claude-haiku-4-5-20251001,3,2862,2862,0,44563,223,0.009152,1779271200,,,5,req_011CbDeYGrwvyBETtA4kzGU8
1779272365,,440,1269,1269,0,47425,226,0.007899,,,,10,req_011CbDeiqbU7RyT3HNQev7yo
1779272377,,7,1051,1051,0,48694,222,0.0073,,,,15,req_011CbDejkeb1yRRec72pgXwW
1779272505,,85,622,622,0,49745,1,0.005842,,,,20,req_011CbDetTKoE1En1ukq8z9NW
1779272525,,85,781,781,0,50367,299,0.007593,,,,26,req_011CbDevgNRmJJ3NisD66kaD
1779272543,,374,815,815,0,51148,305,0.008033,,,,33,req_011CbDewwZWAF7Cq3XF7XejH
1779272570,,7,1234,1234,0,51963,328,0.008386,,,,40,req_011CbDeyfpmNQdPw8Bv97DpP
1779272584,,85,1026,1026,0,53197,314,0.008257,,,,47,req_011CbDezxf4uqfGjXae5GaYh
1779272604,,208,1020,1020,0,54223,1,0.00691,,,,54,req_011CbDf1tngHdXdQbLaPmfkh
1779272617,,163,951,951,0,55243,302,0.008386,,,,61,req_011CbDf3Rad6vzrbvRedyL56
1779272636,,7,1188,1188,0,56194,325,0.008736,,,,68,req_011CbDf4kzDJTPT1BJRDiRib
1779272654,,650,764,764,0,57382,337,0.009028,,,,75,req_011CbDf64XS4i4Jb6PwYS28S
1779272701,,7,1972,1972,0,58146,3665,0.026612,,,,79,req_011CbDf7TUqLebix5J1bhVYw
