ts,model,input,cc,cc5m,cc1h,cr,out,cost,win,rl,evt,line,req
1779272164,,0,0,0,0,0,0,0,1779271200,,clear,3,
1779272219,claude-sonnet-4-6,3,15587,0,15587,12725,982,0.112079,,,heuristic_resume,15,req_011CbDeWLnXZgo5Grmse8ZRc
1779272739,,1,7292,0,7292,28312,1956,0.081589,,,,24,req_011CbDf9rKpguNEaeAL43rG5
1779272751,,1,2013,0,2013,35604,78,0.023932,,,,29,req_011CbDfCcq3psGq679ye1xjb
1779272755,,3,738,0,738,37617,150,0.017972,,,,32,req_011CbDfDWx7KTRvM4Xmg3MA4
1779284115,,1,27296,0,27296,12725,153,0.169892,1779282000,,heuristic_resume,39,req_011CbDuetZhW3kE2rmPSRRJX
1779284133,,1,232,0,232,40021,219,0.016686,,,,43,req_011CbDugCZwtnpkzWinpCXw2
1779284150,,1,640,0,640,40253,88,0.017239,,,,46,req_011CbDuhbX7JBrxKXiwJ9rmg
1779284269,,1,231,0,231,40893,105,0.015232,,,,52,req_011CbDurHYcpFZzViBMDRu1U
1779284302,,1,178,0,178,41124,179,0.016093,,,,55,req_011CbDutj55vQVJF6RUPdAN5
1779284310,,1,246,0,246,41302,107,0.015475,,,,57,req_011CbDuu2pBQ1YLPTiXijahN
1779284323,,1,315,0,315,41548,109,0.015992,,,,59,req_011CbDuubvFMn9kHpm4dFAQf
1779284333,,1,130,0,130,41863,106,0.014932,,,,61,req_011CbDuvXoycjPi7ajiTReaD
1779284344,,1,148,0,148,41993,370,0.019039,,,,64,req_011CbDuwGJMGo8a7tdAdxcyf
1779284421,,1,464,0,464,42141,93,0.016824,,,,66,req_011CbDv2ujGGFK3eitXeg89w
1779284547,,1,159,0,159,42605,176,0.016379,,,,69,req_011CbDvCbmYQni4F2xbQNaUd
1779284554,,3,695,0,695,42764,156,0.019348,,,,72,req_011CbDvD4YMxk4DRGKyhU54D
1779284578,,1,12013,0,12013,43459,242,0.088749,,,heuristic_resume,81,req_011CbDvEgDFVemB4epopTLox
1779284811,,1,598,0,598,55472,300,0.024733,,,,84,req_011CbDvXuD4gJrQCSN5NWXQ4
1779284907,,1,447,0,447,56070,85,0.020781,,,,86,req_011CbDvfPb4n6bDPzwApUDEp
1779284927,,1,173,0,173,56517,223,0.021341,,,,89,req_011CbDvfzsrMuPifmizjxjbc
1779285106,,1,570,0,570,56690,123,0.022275,,,,91,req_011CbDvut5Df8VbcEJpic1Uk
1779285121,,1,159,0,159,57260,792,0.030015,,,,94,req_011CbDvvHjkgVJAfRZELetfc
1779287120,,1,1083,0,1083,57419,300,0.028227,1779285600,,,101,req_011CbDyU6wjyTCmxiWaG4bCw
1779287128,,1,324,0,324,58502,153,0.021793,,,,103,req_011CbDyUjkongJXMb6y3XJWY
1779287160,,1,288,0,288,58826,129,0.021314,,,,105,req_011CbDyXKk22Yk1XNZHjo9Sn
1779287163,,1,251,0,251,59114,131,0.021208,,,,108,req_011CbDyXek1kEcnzkVzdQkBo
1779287166,,1,245,0,245,59365,151,0.021548,,,,110,req_011CbDyXtG7Uy1aTiFpi1m8F
1779287247,,1,202,0,202,59610,154,0.021408,,,,112,req_011CbDydqHSNPxJzkn3hoVKh
1779287250,,1,224,0,224,59812,121,0.021106,,,,114,req_011CbDye7aUDtdqJHhmDLsrT
1779287288,,1,706,0,706,60036,987,0.037055,,,,117,req_011CbDyfQidhvSmfzWD1GCXM
1779287313,,1,1189,0,1189,60742,722,0.03619,,,,125,req_011CbDyhz97Kx3pbspi7X7QS
1779287326,,1,736,0,736,61931,101,0.024513,,,,127,req_011CbDyjjHCmiQjRq5BJZcvT
1779287345,,1,276,0,276,62667,269,0.024494,,,,130,req_011CbDykuqUm26mQVXd2o8Yw
1779287369,,1,320,0,320,62943,100,0.022306,,,,132,req_011CbDynkPWddbRydCPnhisP
1779287381,,1,232,0,232,63263,94,0.021784,,,,135,req_011CbDyomwYy1c1qxBHL4wYM
1779287400,,1,141,0,141,63495,110,0.021548,,,,138,req_011CbDyqALDqBFU1AZr51hiX
1779287425,,1,248,0,248,63636,97,0.022037,,,,140,req_011CbDyrNTWQsCe6RWaVgo2W
1779287451,,1,371,0,371,63884,379,0.027079,,,,144,req_011CbDytEFhnFZpZmA9tBqBS
1779287470,,1,443,0,443,64255,109,0.023573,,,,150,req_011CbDyv9EdfAbDrDJmrs1dM
1779287472,,1,156,0,156,64698,120,0.022148,,,,152,req_011CbDyvVtbiGVS5pEh54KiV
1779287545,,1,397,0,397,64854,327,0.026746,,,,155,req_011CbDz1UyBBuE1UA77c6522
1779287572,,1,625,0,625,65251,364,0.028788,,,,159,req_011CbDz32FdxhaQqAD53mVoE
1779287608,,1,477,0,477,65876,71,0.023693,,,,162,req_011CbDz6U1GritDk3k15iFNc
1779287612,,1,422,0,422,66353,307,0.027046,,,,165,req_011CbDz6jCKmQh17vzBxMCf2
1779287686,,1,379,0,379,66775,87,0.023615,,,,167,req_011CbDzBj52YCvaNgYSTcJtB
1779287716,,1,225,0,225,67154,116,0.023239,,,,170,req_011CbDzECByy9vLidHyyzPNT
1779287733,,1,318,0,318,67379,458,0.028995,,,,176,req_011CbDzEfcVZnwkyqRstNpda
1779287832,,1,471,0,471,67697,401,0.029153,,,,178,req_011CbDzNSBaVMouhGxHQMJLb
1779287876,,2,59316,0,59316,12725,294,0.36413,,,heuristic_resume,200,req_011CbDzRHcy4krGTNnMgnAQ2
1779287905,,3,299,0,299,72041,406,0.029505,,,,207,req_011CbDzTuqNeMQkEHEqpDXi6
1779287912,,3,752,0,752,72340,102,0.027753,,,,215,req_011CbDzUZVHUreVDyFhC4etS
1779287924,,3,490,0,490,73092,243,0.028522,,,,223,req_011CbDzVKKHFEoHB8SXJKJeQ
