ts,model,input,cc,cc5m,cc1h,cr,out,cost,win,rl,evt,line,req
1779118290,,0,0,0,0,0,0,0,1779116400,,clear,3,
1779118328,claude-sonnet-4-6,3,13935,0,13935,12725,619,0.096722,,,heuristic_resume,13,req_011CbAGwVNqHQSjzownLzLbk
1779118330,,1,788,0,788,26660,114,0.014439,,,,15,req_011CbAGxLaHQidwxW1gAtLCB
1779118342,,1,697,0,697,27448,91,0.013784,,,,21,req_011CbAGy94WkxuYxYQek2Aqt
1779118465,,1,4055,0,4055,28145,478,0.039947,,,,29,req_011CbAH7mF6aRrHRn2BreCLM
1779118468,,1,5970,0,5970,32200,152,0.047763,,,,36,req_011CbAH8SYyidaRL6AiN9ovZ
1779118482,,1,3275,0,3275,38170,956,0.045444,,,,45,req_011CbAH8fsfk3oZj4qYsAbXy
1779118489,,1,1336,0,1336,41445,88,0.021773,,,,54,req_011CbAH9zyQLdU1c2adXc5pX
1779118492,,1,155,0,155,42781,149,0.016002,,,,57,req_011CbAHACNFieEvP8oJZBnv5
1779118499,,1,221,0,221,42936,207,0.017315,,,,60,req_011CbAHAdJwibh5dqnqcD5cP
1779118508,,1,277,0,277,43157,164,0.017072,,,,64,req_011CbAHBNwH8xZqkWuWwu55H
1779118521,,1,314,0,314,43434,821,0.027232,,,,67,req_011CbAHBqxUYU6Syy4wJJhNh
1779118530,,1,872,0,872,43748,297,0.022814,,,,69,req_011CbAHCrLpajGeKA3Q4bhFm
1779118594,,1,348,0,348,44620,296,0.019917,,,,73,req_011CbAHHeWpLMdbhiGRvtCNY
1779118666,,1,347,0,347,44968,269,0.01961,,,,76,req_011CbAHNp6ApTnEETy1dAQFF
1779118714,,1,322,0,322,45315,246,0.01922,,,,78,req_011CbAHSUMNsZrJ9qkMLKhhK
1779118777,,1,299,0,299,45637,265,0.019463,,,,82,req_011CbAHX7BJ4zrpvpBfXSMVJ
1779118929,,1,318,0,318,45936,312,0.020372,,,,84,req_011CbAHiF8as4EKCXBgm1CFc
1779119013,,1,365,0,365,46254,286,0.020359,,,,87,req_011CbAHpSFEyxfYd6GYWurfL
1779119025,,1,438,0,438,46619,236,0.020157,,,,92,req_011CbAHqQw8uRZQXmsjkk3vy
1779119034,,1,289,0,289,47057,299,0.020339,,,,94,req_011CbAHqxpXqy94BSZdhfUwu
1779119060,,1,352,0,352,47346,310,0.020969,,,,96,req_011CbAHsryrXN5pZfcCm64xF
1779119076,,1,363,0,363,47698,312,0.02117,,,,101,req_011CbAHu5npKG4SqYtJjz9Pm
1779119083,,1,365,0,365,48061,143,0.018756,,,,106,req_011CbAHujXgv8rA5UGysm1hb
1779119088,,1,3642,0,3642,48426,290,0.040733,,,,112,req_011CbAHuxeEEQo18kwkb2wvH
1779119101,,1,529,0,529,52068,444,0.025457,,,,117,req_011CbAHvh1Aa2Br346msqF75
1779119105,,1,498,0,498,52597,187,0.021575,,,,119,req_011CbAHwPgQ7KHWb19Ru9yf8
1779119112,,1,238,0,238,53095,112,0.01904,,,,124,req_011CbAHwwAjVGPAW7r9C7Qwu
1779119115,,1,370,0,370,53333,113,0.019918,,,,126,req_011CbAHx8ztL3vpPZKD3DWrp
1779119117,,1,243,0,243,53703,103,0.019117,,,,128,req_011CbAHxLa9eKHSJCYjcfZzc
1779119120,,1,283,0,283,53946,174,0.020495,,,,131,req_011CbAHxXTzKXNgdZH7VBsuF
1779119125,,1,225,0,225,54229,191,0.020487,,,,133,req_011CbAHxtVn5kGb7ifoQNy86
1779119141,,1,242,0,242,54454,679,0.027976,,,,137,req_011CbAHyGHTVVhnbDzJKciXW
1779119151,,1,796,0,796,54696,332,0.026168,,,,141,req_011CbAHzaKwQKa2AQ5t1uAsw
1779119181,,3,43266,0,43266,12725,328,0.268343,,,heuristic_resume,151,req_011CbAJ2nAPcGiP9qdTqkjzP
1779119185,,1,899,0,899,55991,75,0.023319,,,,153,req_011CbAJ3MHhgjqsuaLRurxgJ
1779119189,,3,602,0,602,56890,188,0.023508,,,,156,req_011CbAJ3XhX6JWn2nRrJhZ6D
1779119209,,1,862,0,862,57492,74,0.023533,,,,158,req_011CbAJ56VmMSv5zD9GgKP97
1779119218,,1,654,0,654,58354,76,0.022573,,,,162,req_011CbAJ5mN6mVQaF89SW47t1
1779119221,,3,595,0,595,59008,141,0.023396,,,,165,req_011CbAJ5w8UURENbKm79UxV6
1779119229,,1,447,0,447,59603,115,0.022291,,,,169,req_011CbAJ6aCREagDRFV2QpZco
1779119263,,1,2504,0,2504,60050,568,0.041562,,,,176,req_011CbAJ8UE4EKzYccWFUsmm3
1779119274,,1,1009,0,1009,62554,655,0.034648,,,,182,req_011CbAJ9GUQ7vu7nEgeRQbTH
1779119290,,1,727,0,727,63563,86,0.024724,,,,184,req_011CbAJB3Xary1QTLR3JYogy
1779119362,,3,160,0,160,64290,116,0.021996,,,,191,req_011CbAJGL3QRwGqgApAr2Fyf
1779119366,,1,153,0,153,64450,139,0.022341,,,,193,req_011CbAJGZaVMisDPd4tQLUVr
1779119402,,1,481,0,481,64603,151,0.024535,,,,195,req_011CbAJKEReQqePb3FUYeZ3o
1779119425,,1,312,0,312,65084,619,0.030685,,,,197,req_011CbAJLXN9nr7ysWigJGwGE
1779119500,,3,636,0,636,65396,163,0.025889,,,,205,req_011CbAJSUatNUvnV8xgMh91f
1779119504,,1,193,0,193,66032,62,0.021901,,,,207,req_011CbAJSsJ8E2HMU6SoEzony
