ts,model,input,cc,cc5m,cc1h,cr,out,cost,win,rl,evt,line,req
1778722211,claude-sonnet-4-6,3,29702,0,29702,0,1195,0.196146,1778720400,,heuristic_resume,10,req_011Cb1bVZQdh8tC2RtoK8bsT
1778722252,,1,1215,0,1215,29702,2955,0.060529,,,,16,req_011Cb1bXVn9kCSyQxQzsH8zb
1778722507,,1,3017,0,3017,30917,1987,0.057185,,,,19,req_011Cb1brRL3J1PbUmjFf9TWs
1778722621,,1,2055,0,2055,33934,1665,0.047488,,,,21,req_011Cb1c187woEUgiC7KuMZUD
1778722703,,1,1733,0,1733,35989,2378,0.056868,,,,28,req_011Cb1c6chnwLCveoNNZuShv
1778722747,,1,2446,0,2446,37722,2987,0.070801,,,,31,req_011Cb1c9nwXdtP6G2LDeBXRC
1778722862,,1,3055,0,3055,40168,2607,0.069488,,,,37,req_011Cb1cJGZvGbfzYpZyWJr9Q
1778722907,,1,2677,0,2677,43223,2690,0.069382,,,,40,req_011Cb1cMysBsCysJt3bWagpj
1778722999,,1,2760,0,2760,45900,2185,0.063108,,,,43,req_011Cb1cUBCzAH2vDktCWAKqp
1778723314,,1,2352,0,2352,48660,3240,0.077313,,,,49,req_011Cb1csEUaD8bjbm3fk3SQ7
1778723359,,1,3308,0,3308,51012,2412,0.071335,,,,52,req_011Cb1cwH6CiZHqY7JdD4z4q
1778723395,,1,2481,0,2481,54320,2230,0.064635,,,,56,req_011Cb1cyq4rfpR3P1y1otSQo
1778723696,,1,2298,0,2298,56801,2626,0.070221,,,,61,req_011Cb1d3FTPewGs6bfX7ZdaP
1778723729,,1,2694,0,2694,59099,2219,0.067182,,,,65,req_011Cb1dQSZDiFDhkhc4r7dqj
1778723768,,1,2286,0,2286,61793,2238,0.065827,,,,68,req_011Cb1dSnyr53PJQ1QNj1WAM
1778723797,,1,2306,0,2306,64079,2148,0.065283,,,,74,req_011Cb1dVeqHwmnxYnzWAa5Df
1778723836,,1,2215,0,2215,66385,3188,0.081029,,,,77,req_011Cb1dXs44RHsisD6jhDu6H
1778723872,,1,3256,0,3256,68600,2912,0.083799,,,,82,req_011Cb1dan4WPqt9P8uaDFo51
1778723899,,1,2978,0,2978,71856,1681,0.064643,,,,85,req_011Cb1ddMwWmF2w4PKASNeFf
1778723956,,1,1848,0,1848,74834,5141,0.110656,,,,93,req_011Cb1dfMrrn7LcEU5UipraD
1778723986,,1,5209,0,5209,76682,1897,0.082717,,,,96,req_011Cb1djaXiqPimnGqZhTCUC
1778724009,,1,1965,0,1965,81891,2024,0.06672,1778724000,,,102,req_011Cb1dmmP8p3Li6Xv5ytdzm
1778724044,,1,2092,0,2092,83856,2385,0.073487,,,,105,req_011Cb1doi2nJyfSkEPGp7rF5
1778724083,,1,2453,0,2453,85948,2555,0.07883,,,,111,req_011Cb1dr85Sg3jrkd4PmdMug
1778724134,,1,2623,0,2623,88401,3359,0.092646,,,,114,req_011Cb1dtxU5gv5Fy8cixTsPT
1778724172,,1,3430,0,3430,91024,3126,0.09478,,,,119,req_011Cb1dxf2D3m3topsuYqnsb
1778724213,,1,3193,0,3193,94454,2755,0.088822,,,,123,req_011Cb1e1fbGneVQ8SgU5p9RH
1778724241,,1,2824,0,2824,97647,1805,0.073316,,,,129,req_011Cb1e4ZiPJm3fQiCigXFHY
1778724274,,1,1874,0,1874,100471,2111,0.073053,,,,132,req_011Cb1e6cj1o13vseMZHp8ZZ
1778724278,,1,2280,0,2280,102345,134,0.046397,,,,136,req_011Cb1e92V4v3WbyzhDW2QkY
1778724283,,1,1613,0,1613,104625,130,0.043019,,,,141,req_011Cb1e9PSPgpzBmqfd1Bxio
1778724292,,1,628,0,628,106238,135,0.037667,,,,143,req_011Cb1e9mhMG6skMxuw9ugb9
1778724302,,1,556,0,556,106866,505,0.042974,,,,146,req_011Cb1eAJE8txpFTKGTq1Yb2
1778725942,,1,523,0,523,107422,636,0.044908,,,,148,req_011Cb1gEvHewpTzCxTN3b4v1
