ts,model,input,cc,cc5m,cc1h,cr,out,cost,win,rl,evt,line,req
1776827920,claude-sonnet-4-6,3,5722,0,5722,10606,152,0.039803,1776826800,,,8,req_011CaJ5z8FDDe5uxUMLJ8Bqx
1776827923,,1,369,0,369,16328,140,0.009215,,,,10,req_011CaJ5za2zcArU447dX8cPm
1776827926,,1,577,0,577,16697,154,0.010784,,,,14,req_011CaJ5zkS4kjNVGPZgho9ia
1776827940,,1,1323,0,1323,17274,832,0.025603,,,,17,req_011CaJ5zxCVXXp7W2CZwiSZt
1776827994,,3,877,0,877,18597,267,0.014855,,,,24,req_011CaJ65fZm1u8gntTp2sMbX
1776827998,,1,3617,0,3617,19474,238,0.031117,,,,27,req_011CaJ65ys6c8QaKYpkdWpRX
1776828007,,1,340,0,340,23091,112,0.01065,,,,31,req_011CaJ66jQE8N6x1ecyN4KAY
1776828010,,1,560,0,560,23431,138,0.012462,,,,34,req_011CaJ66xPKfv9xF4WeanxZT
1776828014,,1,202,0,202,23991,132,0.010392,,,,39,req_011CaJ67HS43QVCg1vTF2PS2
1776828018,,1,150,0,150,24193,100,0.009661,,,,41,req_011CaJ67aAsgXVzEZwQiskyb
1776828022,,1,603,0,603,24193,139,0.012964,,,,43,req_011CaJ67mXF7383Ba9AJXK8k
1776833412,,3,14363,0,14363,10606,602,0.098399,1776830400,,heuristic_resume,49,req_011CaJCxnMv5sx9w3gVnaQeg
1776833445,,1,2358,0,2358,24969,227,0.025047,,,,53,req_011CaJD1U2vpmpPmT8g1bG5Z
1776833449,,1,862,0,862,27327,394,0.019283,,,,62,req_011CaJD1nNjiJdzxvwnyJmWq
1776833455,,1,2459,0,2459,28189,462,0.030144,,,,66,req_011CaJD25Y7ceBa7iBzzmRco
1776833467,,1,3039,0,3039,30648,706,0.038021,,,,70,req_011CaJD2WBC8jYJqatGxB3oz
1776834041,,3,1701,0,1701,33687,170,0.022871,1776834000,,,79,req_011CaJDmUtFhrZKoHMY4DY2m
1776834045,,1,320,0,320,35388,179,0.015224,,,,81,req_011CaJDmknDcUDfXzhVRpiCa
1776834094,,3,301,0,301,35708,509,0.020162,,,,88,req_011CaJDq4pG9dxtNZzDAnPFr
1776834098,,1,1308,0,1308,36009,190,0.021504,,,,92,req_011CaJDqfAzAJXHw6WpoaDDA
1776834103,,1,515,0,515,37317,281,0.018503,,,,98,req_011CaJDqyZ35PmTjwJQBYqGP
1776834124,,1,356,0,356,37832,83,0.014734,,,,100,req_011CaJDsZr56eYrqf8d9Vqvx
1776834173,,3,125,0,125,38188,207,0.01532,,,,104,req_011CaJDw8erpQgfC4ZnPuiKn
1776834176,,1,227,0,227,38313,119,0.014644,,,,106,req_011CaJDwU5QshEAnBvN5oE5E
1776834178,,1,168,0,168,38540,90,0.013923,,,,108,req_011CaJDwh8UjdEzqerXY8CXm
1776834184,,1,406,0,406,38708,295,0.018476,,,,111,req_011CaJDwsSbQZ3sny4hPVc8v
1776834188,,1,1354,0,1354,39114,247,0.023566,,,,115,req_011CaJDxFY8Q8w5SX7Fm3rDL
1776834200,,1,322,0,322,40468,284,0.018335,,,,119,req_011CaJDxx6fuSGRj43T9emzm
1776834389,,3,609,0,609,40790,512,0.02358,,,,124,req_011CaJECjKMtJgzCEbpRsg48
1776834394,,1,604,0,604,41399,282,0.020277,,,,127,req_011CaJEDQ8jHWaRSQEGKV4BV
1776834399,,1,529,0,529,42003,427,0.022183,,,,129,req_011CaJEDkRruFZETeTL3JC5J
1776834408,,1,509,0,509,42532,167,0.018322,,,,132,req_011CaJEEV5APTFsQpGmMJGWy
1776834480,,3,971,0,971,43041,1460,0.040647,,,,139,req_011CaJEJ8uLFWoiHYWrcEe1i
1776834485,,1,2845,0,2845,44012,485,0.037552,,,,144,req_011CaJEL4D73MYPMRQtqg4Ru
1776834537,,1,548,0,548,46857,288,0.021668,,,,146,req_011CaJEQ3jwVMYcmQPqspxwp
1776834543,,1,353,0,353,47405,66,0.017333,,,,149,req_011CaJEQUkbVksXJNsqH38pZ
1776834682,,3,81,0,81,47758,353,0.020117,,,,157,req_011CaJEaZwuyoUJBsBx3UzFb
1776834686,,1,572,0,572,47839,269,0.021822,,,,160,req_011CaJEawjLpCdvVXn41dkzb
1776834695,,1,352,0,352,48411,100,0.018138,,,,165,req_011CaJEbku17a4guqPf3NdCe
1776834699,,1,645,0,645,48763,224,0.021862,,,,169,req_011CaJEbwg9jUDL7py8LCMf7
1776834705,,1,290,0,290,49408,242,0.020195,,,,172,req_011CaJEcQzxS38rNgoCRt3gK
1776834715,,1,310,0,310,49698,100,0.018272,,,,174,req_011CaJEd55vJgazXsz3YpiUA
1776834719,,1,641,0,641,49698,259,0.022643,,,,176,req_011CaJEdS3VcsegSEinXx1Dv
1776834724,,1,325,0,325,50339,232,0.020535,,,,179,req_011CaJEdp3aB83qPMmNCu3YD
1776834731,,1,298,0,298,50664,310,0.02164,,,,182,req_011CaJEeG4k1TjquUzg1nANA
1776834736,,1,375,0,375,50962,222,0.020872,,,,186,req_011CaJEehbu7axvHSPfJHnkv
1776834751,,1,287,0,287,51337,526,0.025016,,,,188,req_011CaJEfLi5GfaDU9u78wNPm
1776834769,,1,591,0,591,51624,166,0.021526,,,,190,req_011CaJEh8gpVSPc4NBqrHq4P
1776834871,,3,2226,0,2226,52215,254,0.03284,,,,197,req_011CaJEpXWhhmz99qDRwDyoz
1776834882,,1,321,0,321,54441,482,0.025491,,,,201,req_011CaJEqL97k1MTxcoFqPqJL
1776834891,,1,547,0,547,54762,92,0.021094,,,,203,req_011CaJEr8TvoRBvJYfwo5BTa
1776834963,,3,366,0,366,55309,251,0.022563,,,,208,req_011CaJEwD68CoLHrLqdPjkp7
1776834969,,1,487,0,487,55675,469,0.026663,,,,210,req_011CaJEwfCWerqgypfdwxwGv
1776834975,,1,532,0,532,56162,55,0.020869,,,,212,req_011CaJExNsXPE7Vrr8dkpXjW
