ts,model,input,cc,cc5m,cc1h,cr,out,cost,win,rl,evt,line,req
1775387331,claude-sonnet-4-6,3,6653,0,6653,11231,0,0.043296,1775386800,,,9,req_011CZkX69ECfT3Jsc9fkiacs
1775387393,,1,709,0,709,17884,151,0.011887,,,,12,req_011CZkXAmTtvhrpG9BBFGinR
1775387523,,1,5673,0,5673,18593,458,0.046489,,,,20,req_011CZkXLB9BTyyT9rKMogTbA
1775387527,,1,6085,0,6085,24266,210,0.046943,,,,26,req_011CZkXLdzxaNCSdCGELQcG1
1775387531,,1,11327,0,11327,24266,214,0.078455,,,heuristic_resume,32,req_011CZkXLw9qQCjC2qT1pP7Gu
1775387547,,1,4096,0,4096,35593,761,0.046672,,,,36,req_011CZkXMFn1pJ5HsuqfQEawN
1775387561,,3,3147,0,3147,39689,605,0.039873,,,,38,req_011CZkXNSgsYBJcxhYdAsEZa
1775387604,,1,1089,0,1089,42836,2783,0.061133,,,,40,req_011CZkXPV9V57MW5PzYK6JRN
1775387623,,1,2833,0,2833,43925,1044,0.045839,,,,43,req_011CZkXSiuJoZAx3NixokpBM
1775387665,,1,1086,0,1086,46758,2368,0.056066,,,,45,req_011CZkXU1Yx78MmbA13NmThW
1775387681,,1,2418,0,2418,47844,1044,0.044524,,,,48,req_011CZkXXBfzQnYrBFo29yb4B
1775387718,,1,1086,0,1086,50262,2431,0.058063,,,,50,req_011CZkXYGPHatFVK7Ebg9cmF
1775387732,,1,2482,0,2482,51348,1044,0.045959,,,,53,req_011CZkXb5jQjkyi9WurCwmdG
1775387757,,1,1086,0,1086,53830,1622,0.046998,,,,55,req_011CZkXc4ndtMop5hAfcQUGW
1775387770,,1,1670,0,1670,54916,1044,0.042158,,,,58,req_011CZkXdxUgTw53xAeBQKAbi
1775387792,,1,1086,0,1086,56586,1556,0.046835,,,,60,req_011CZkXetQPYYtM29qczRHM9
1775387805,,1,1602,0,1602,57672,1044,0.042577,,,,63,req_011CZkXgZmmWrM8oHeVRYKEs
1775387845,,1,1086,0,1086,59274,2284,0.058561,,,,65,req_011CZkXhUbkdcohE6U4P2yst
1775387860,,1,2332,0,2332,60360,1044,0.047763,,,,68,req_011CZkXkUZMJHzxfGsgqK6wV
1775387863,,1,1086,0,1086,62692,146,0.027517,,,,70,req_011CZkXmUeLpggVVnjjdRHV5
1775387872,,1,213,0,213,63778,574,0.029024,,,,73,req_011CZkXmkzbckL7nfPgfGnAb
1775387889,,1,641,0,641,63991,72,0.024126,,,,75,req_011CZkXnUSi6iExynBVN5tWY
1775387902,,1,510,0,510,64632,1044,0.038113,,,,77,req_011CZkXojAGo5eGe5BNX8xvM
1775387905,,1,1086,0,1086,65142,167,0.028567,,,,79,req_011CZkXpc3B5fG1RcJKCNMbZ
1775387913,,1,217,0,217,66228,384,0.026933,,,,82,req_011CZkXpuVQDQzyYb1cBhsXp
1775387923,,1,434,0,434,66445,1044,0.038201,,,,84,req_011CZkXqV5jzLHbkHs8X4fTt
1775387944,,1,1086,0,1086,66879,1350,0.046833,,,,86,req_011CZkXrA6GMLfAvqQ8pH1mP
1775387956,,1,1398,0,1398,67965,1042,0.044411,,,,89,req_011CZkXsjaRuBo4wv9dMWiLZ
1775387972,,1,1084,0,1084,69363,907,0.040921,,,,91,req_011CZkXtYcAFm4Xkqau93m5j
