ts,model,input,cc,cc5m,cc1h,cr,out,cost,win,rl,evt,line,req
1777103328,claude-haiku-4-5-20251001,3,38967,38967,0,0,122,0.049322,1777100400,,heuristic_resume,3,req_011CaQ81tXGjhNR9GAv8La8G
1777103331,,5,2059,2059,0,38967,109,0.00702,,,,6,req_011CaQ826CF4n5qVDa84cySz
1777103333,,6,2305,2305,0,38967,81,0.007189,,,,8,req_011CaQ82GNRKxrNHSTyUYRu8
1777103334,,6,209,209,0,41272,83,0.004809,,,,10,req_011CaQ82NVGt9aUvcQfSLyWC
1777103336,,6,253,253,0,41481,79,0.004865,,,,12,req_011CaQ82UrG31SkitSYLBT83
1777103337,,6,208,208,0,41734,81,0.004844,,,,14,req_011CaQ82bLgmBqDv1TkbeXRG
1777103339,,6,522,522,0,41734,88,0.005272,,,,16,req_011CaQ82hZjuejiFsowLPj9H
1777103342,,6,349,349,0,42256,79,0.005063,,,,18,req_011CaQ82qCcuLiUhpf4uiDvQ
1777103344,,5,637,637,0,42605,79,0.005457,,,,20,req_011CaQ835FxeHoqZ7rHpzhj1
1777103346,,5,225,225,0,43242,81,0.005015,,,,22,req_011CaQ83CbymszoxzLEixdXp
1777103347,,5,189,189,0,43467,79,0.004983,,,,24,req_011CaQ83KVy5nvJCHrX8NPiG
1777103351,,5,175,175,0,43656,61,0.004894,,,,26,req_011CaQ83RpE1LrEyo2mxepyX
1777103354,,5,199,199,0,43831,115,0.005212,,,,29,req_011CaQ83i2o9WGPBtf6KfaEL
1777103355,,5,404,404,0,44030,85,0.005338,,,,31,req_011CaQ83uzssAKmDtPGSRHzv
1777103357,,5,883,883,0,44030,86,0.005942,,,,33,req_011CaQ842xLAkPsSVyejYvEk
1777103358,,5,419,419,0,44913,88,0.00546,,,,35,req_011CaQ848xEzBMR9mxbn5ZdE
1777103360,,5,1036,1036,0,44913,89,0.006236,,,,37,req_011CaQ84GZPWynn1BpvXHj37
1777103362,,4,3159,3159,0,45949,87,0.008983,,,,39,req_011CaQ84PXak3XrjFDq8V58B
1777103370,,4,696,696,0,49108,811,0.00984,,,,41,req_011CaQ84YbYHhJER2AzMXnZX
