ts,model,input,cc,cc5m,cc1h,cr,out,cost,win,rl,evt,line,req
1777101994,claude-sonnet-4-6,3,16760,0,16760,10604,1091,0.120115,1777100400,,heuristic_resume,7,req_011CaQ6J2wkDPauFEEWFpnGo
1777102746,,3,1255,0,1255,27364,543,0.023893,,,,11,req_011CaQ7GHsVArB7jKLx82iuM
1777102818,,3,622,0,622,28619,432,0.018807,,,,14,req_011CaQ7Mqd5pTWV9yyB5UsK9
1777102950,,3,478,0,478,29241,975,0.026274,,,,18,req_011CaQ7WkynMvJGtegzPq7PN
1777103020,,3,1034,0,1034,29719,364,0.020589,,,,23,req_011CaQ7ceqcQZhdGC9h5FJxh
1777103087,,3,415,0,415,30753,153,0.01402,,,,28,req_011CaQ7i5yqhFsqj8rTxb6AP
1777103092,,1,1220,0,1220,31168,200,0.019673,,,,30,req_011CaQ7iHFFYoZhAHMW2HWvu
1777103285,,0,0,0,0,0,0,0,,,model_change,33,
1777103330,claude-opus-4-7,6,27440,0,27440,14814,1315,0.314712,,,heuristic_resume,41,req_011CaQ811NznU25Sjdy9ouZC
1777103390,,6,2956,0,2956,42254,856,0.072117,,,,49,req_011CaQ85ja83TFbZUe5vRLqU
1777103407,,6,33895,0,33895,14907,1048,0.372634,,,heuristic_resume,52,req_011CaQ86b3gn4vZ35VVaKCK5
1777103603,,1,2798,0,2798,48802,713,0.070211,,,,61,req_011CaQ8MY32hfGQMcYEt1KUc
1777103739,,713,799,0,799,51600,3241,0.11838,,,,68,req_011CaQ8VBAPYeHvTdwMn3oPE
1777103741,,1,4161,0,4161,52399,47,0.06899,,,,72,req_011CaQ8YM3np3e8ioUo9kUv8
1777103779,,0,0,0,0,0,0,0,,,model_change,76,
1777103843,claude-sonnet-4-6,3,35374,0,35374,10604,428,0.221854,,,heuristic_resume,86,req_011CaQ8fRKxZvM9KAipLLxRD
1777103917,,1,753,0,753,45978,949,0.032549,,,,91,req_011CaQ8kHb1eddNQvGqHmm8f
1777103926,,1,1024,0,1024,46731,107,0.021771,,,,94,req_011CaQ8mvdzfmjgqBZZQftKA
1777103930,,1,1235,0,1235,46731,253,0.025227,,,,98,req_011CaQ8n6BiiKc5187ak6Spd
1777103935,,1,321,0,321,47966,152,0.018599,,,,100,req_011CaQ8nQjgSuFeP9Mrm46Zt
1777103949,,1,1158,0,1158,48287,405,0.027512,,,,111,req_011CaQ8nnshVY86ZbDoQ2po8
1777103963,,1,6694,0,6694,49445,761,0.066416,,,,118,req_011CaQ8ooxiBpzELgoX6sN3s
1777104135,,1,798,0,798,56139,359,0.027018,1777104000,,,122,req_011CaQ934AbWhr1JaUsviYtF
1777104162,,1,413,0,413,56937,193,0.022457,,,,124,req_011CaQ95Gus2PCgyEpNzPYda
1777104172,,1,247,0,247,57350,197,0.021645,,,,126,req_011CaQ95hDbeZGATpU8nGiNk
1777104184,,1,343,0,343,57597,607,0.028445,,,,133,req_011CaQ96NmcZN74gqnFXeox9
1777104280,,1,644,0,644,57940,137,0.023304,,,,136,req_011CaQ9DwXJ4wVQzHxVmDoGn
1777104403,,1,167,0,167,58584,131,0.020545,,,,139,req_011CaQ9P3E6oJtiVQ4L3RJfT
1777104514,,1,199,0,199,58751,92,0.020202,,,,141,req_011CaQ9XEUzBHa39r8KXFB47
1777104523,,1,280,0,280,58950,305,0.023943,,,,145,req_011CaQ9XgKFpwDjmyNdS3i9J
1777104693,,1,336,0,336,59230,98,0.021258,,,,149,req_011CaQ9kWM5qf2wtzvDoYS1N
1777104706,,1,221,0,221,59566,241,0.022814,,,,152,req_011CaQ9mGUw2JUyX9d9UdbJc
1777104740,,1,782,0,782,59787,96,0.024071,,,,155,req_011CaQ9oy13T5Big6TFSdohE
1777104876,,1,183,0,183,60569,152,0.021552,,,,158,req_011CaQ9yxkwYxwAgBgGaDeqX
1777104882,,1,170,0,170,60752,276,0.023389,,,,160,req_011CaQ9zA93bdbAKCdrXsNS4
