ts,model,input,cc,cc5m,cc1h,cr,out,cost,win,rl,evt,line,req
1777286331,claude-haiku-4-5-20251001,3,1222,1222,0,38208,132,0.006011,1777284000,,,3,req_011CaU8bzEn4kRX6RtRWT6jX
1777286332,,5,1651,1651,0,39430,92,0.006472,,,,6,req_011CaU8cEhRb5FEk4ReNLMrq
1777286334,,5,700,700,0,41081,113,0.005553,,,,8,req_011CaU8cLvUnH18wB5J4ihSf
1777286338,,5,966,966,0,41781,244,0.006611,,,,14,req_011CaU8cWQVAHmVWEZNDAPd5
1777286341,,6,2162,2162,0,42747,138,0.007673,,,,17,req_011CaU8ckKeQLqeV3MR9zByy
1777286343,,4,385,385,0,44909,244,0.006196,,,,23,req_011CaU8cyjHmubwthNmPPRSx
1777286345,,6,6450,6450,0,44909,124,0.013179,,,,26,req_011CaU8d8MD3wmzLEmQCCGAv
1777286348,,5,626,626,0,51359,168,0.006763,,,,29,req_011CaU8dHGUyvuMHvjpYWqZn
1777286350,,5,222,222,0,51985,95,0.005956,,,,31,req_011CaU8dUPDh6FfFr3f9ZDuQ
1777286352,,5,2420,2420,0,51985,108,0.008769,,,,34,req_011CaU8ddE2t9qkGrew3NGDW
1777286353,,4,272,272,0,54405,51,0.00604,,,,36,req_011CaU8dnHzK5urNGyxWk4fZ
1777286356,,4,576,576,0,54677,135,0.006867,,,,39,req_011CaU8dtVYs6ntg1eBX1v2w
1777286444,,4,358,358,0,55253,82,0.006387,,,,41,req_011CaU8kU7YgsjbXjHws7e7B
1777286446,,4,2278,2278,0,55611,137,0.009098,,,,44,req_011CaU8kZm7pw5saR25Q3SWC
1777286447,,4,332,332,0,57889,105,0.006733,,,,46,req_011CaU8kj8RzmX5ypA3kR5PP
1777286450,,4,1452,1452,0,58221,142,0.008351,,,,49,req_011CaU8kq8bG9srCSrw2EKNN
1777286452,,4,240,240,0,59673,173,0.007136,,,,52,req_011CaU8m1m47KnguoGyR4uMe
1777286454,,663,898,898,0,59913,139,0.008472,,,,56,req_011CaU8m9YsJEU72MKc7kn6B
1777286463,,4,1067,1067,0,60811,143,0.008134,,,,59,req_011CaU8mkcFu82FkK2nuFaHj
1777286464,,4,160,160,0,61878,83,0.006807,,,,61,req_011CaU8mx5pwviniRgDZPsX7
1777286466,,4,165,165,0,62038,70,0.006764,,,,63,req_011CaU8n4xZxnHgHEbimxL1r
1777286467,,3,234,234,0,62203,64,0.006836,,,,65,req_011CaU8nBVUMKxpTtxPSBKCL
1777286469,,3,1748,1748,0,62437,103,0.008947,,,,68,req_011CaU8nGfXTP9a5EjvDMSga
1777286470,,2,400,400,0,64185,68,0.007261,,,,70,req_011CaU8nRP9Eef83N7jiqRP3
1777286472,,2,5460,5460,0,64185,104,0.013766,,,,73,req_011CaU8nWmqkZXeBfSqQNqiD
1777286474,,1,5504,5504,0,64585,118,0.01393,,,ctx_warn,76,req_011CaU8newU83Fyr6xT22THo
1777286475,,2,767,767,0,69645,86,0.008355,,,,78,req_011CaU8nmwAH13goGoc3Xx7F
1777286477,,0,429,429,0,70089,78,0.007935,,,,80,req_011CaU8nspcqsZHY6LSP6FYK
1777286478,,1,672,672,0,70412,76,0.008262,,,,82,req_011CaU8nzhN5NzAk9uhHL5tX
1777286480,,0,661,661,0,70518,87,0.008313,,,,84,req_011CaU8o6tBVCU6tPj3svrXS
1777286501,,0,337,337,0,71179,1,0.007544,,,,86,req_011CaU8oEJv4to7UERr5AusU
