ts,model,input,cc,cc5m,cc1h,cr,out,cost,win,rl,evt,line,req
1777357622,claude-haiku-4-5-20251001,3,1022,1022,0,38275,145,0.005833,1777356000,,,3,req_011CaVhCyZJUq3cNrBSmj4M4
1777357624,,5,1706,1706,0,39297,91,0.006522,,,,6,req_011CaVhD9dmx58CtuoKKRw5j
1777357626,,5,237,237,0,41003,80,0.004802,,,,8,req_011CaVhDJvP3WFyZsSGUtiCC
1777357628,,5,295,295,0,41240,87,0.004933,,,,10,req_011CaVhDRYjtE6iW5ZyE7yE2
1777357630,,5,84,84,0,41535,77,0.004649,,,,12,req_011CaVhDcL8aZLpFoaaNNime
1777357632,,5,791,791,0,41535,83,0.005562,,,,14,req_011CaVhDjYDh8LWGJsE3a7DQ
1777357635,,5,659,659,0,42326,78,0.005451,,,,16,req_011CaVhDtXTrtWbbDVgXGZ9R
1777357636,,5,650,650,0,42985,97,0.005601,,,,18,req_011CaVhE66UyfCgSu4aGntWK
1777357638,,4,877,877,0,42985,81,0.005804,,,,20,req_011CaVhECg7xuszrBsoe9Tzf
1777357640,,5,349,349,0,43635,83,0.00522,,,,22,req_011CaVhEKbqMYYb8g4quE5St
1777357642,,5,552,552,0,43984,81,0.005498,,,,24,req_011CaVhETGTJvjknauxKYYsK
1777357644,,5,277,277,0,44536,58,0.005095,,,,26,req_011CaVhEaot2fTsStGTfrd5C
1777357646,,5,1250,1250,0,44536,87,0.006456,,,,28,req_011CaVhEoRQh2xN7kgFMfQJd
1777357649,,5,167,167,0,45786,87,0.005227,,,,30,req_011CaVhEvssx8R4q2TCgX5mi
1777357650,,5,455,455,0,45786,81,0.005557,,,,32,req_011CaVhF5t7P9hq7k4Z5p6xg
1777357652,,5,122,122,0,46241,99,0.005277,,,,34,req_011CaVhFCGqLmZbVVrWeGyLp
1777357655,,5,968,968,0,46363,96,0.006331,,,,36,req_011CaVhFLQjJsXY1h3suNiPP
1777357661,,4,1083,1083,0,46363,85,0.006419,,,,38,req_011CaVhFY6wrMaYmCQEjWAz9
1777357663,,3,512,512,0,47446,83,0.005803,,,,40,req_011CaVhG1uXYD5EsoHPpqF3A
1777357665,,3,306,306,0,47958,89,0.005626,,,,42,req_011CaVhGAHoHK274uYLieCWe
1777357667,,3,302,302,0,48264,108,0.005747,,,,44,req_011CaVhGHLxhYXhUAjodb3Jk
1777357668,,3,984,984,0,48264,81,0.006464,,,,46,req_011CaVhGShHRXdGbMyrRhhdN
1777357670,,3,981,981,0,48566,81,0.006491,,,,48,req_011CaVhGaXpZp2DNNwiyGENt
1777357672,,3,538,538,0,49547,103,0.006145,,,,50,req_011CaVhGh7hmQxypg8NyLeSc
1777357674,,3,380,380,0,50085,102,0.005997,,,,52,req_011CaVhGr5D2QcH4YQC54WYu
1777357676,,3,1147,1147,0,50085,62,0.006755,,,,54,req_011CaVhGzGKuMotZ9QKSgSoa
1777357681,,3,484,484,0,51232,63,0.006046,,,,56,req_011CaVhH6rTfmJ6tKxGgtagC
1777357683,,2,82,82,0,51716,66,0.005606,,,,58,req_011CaVhHVXU3DxfhqYM7EZX4
1777357684,,1,472,472,0,51798,53,0.006036,,,,60,req_011CaVhHbiHrtFRZXbDkN1zS
1777357687,,0,124,124,0,52270,90,0.005832,,,,62,req_011CaVhHjYq5UzkYoBVFuzLA
1777357689,,0,126,126,0,52394,94,0.005867,,,,64,req_011CaVhHvMi9v6sC9d5bGNUf
1777357691,,0,1369,1369,0,52520,111,0.007518,,,,66,req_011CaVhJ4JhKd2KwV6XsmxHf
1777357694,,0,1659,1659,0,53889,111,0.008018,,,,68,req_011CaVhJCucdbibCjNGNC92w
1777357697,,0,605,605,0,55548,81,0.006716,,,,70,req_011CaVhJRpWFR2WHSaEX27M3
1777357701,,0,99,99,0,56153,79,0.006134,,,,72,req_011CaVhJpfBkaGjjew1siU1n
1777357705,,0,908,908,0,56252,156,0.00754,,,,75,req_011CaVhK5HFp3JFWoHYwuQHE
1777357708,,0,2221,2221,0,57160,95,0.008967,,,,77,req_011CaVhKMeFvfD8tVTcPgBcC
1777357715,,0,358,358,0,59381,77,0.006771,,,,79,req_011CaVhKu4skKgnqh4A457N1
1777357774,,0,2195,2195,0,59739,169,0.009563,,,,82,req_011CaVhQ8cpXAF5e44LD65ro
1777357776,,0,443,443,0,61934,101,0.007252,,,,84,req_011CaVhQMvGNkNZVxv4HePcb
1777357778,,0,641,641,0,62377,119,0.007634,,,,86,req_011CaVhQV7MhgkkeYnyxNMeg
1777357780,,0,137,137,0,63018,81,0.006878,,,,88,req_011CaVhQdrDcxueXccsChmFZ
1777357782,,0,378,378,0,63018,56,0.007054,,,,90,req_011CaVhQnT9iNcvaV8z5qQSQ
1777357783,,0,508,508,0,63396,81,0.00738,,,,92,req_011CaVhQua2Jc8km2xh1R4j2
1777357785,,0,354,354,0,63904,88,0.007273,,,,94,req_011CaVhR2UWFP9o9DNJmsEN9
1777357787,,0,692,692,0,63904,89,0.0077,,,,96,req_011CaVhRArY3hmTfGmzqEibs
1777357789,,0,453,453,0,64596,109,0.007571,,,,98,req_011CaVhRHDX9g65gCQBhykX2
1777357815,,0,894,894,0,65049,1,0.007627,,,,100,req_011CaVhRTB45B1VfReUp1fd7
