ts,model,input,cc,cc5m,cc1h,cr,out,cost,win,rl,evt,line,req
1777357612,claude-haiku-4-5-20251001,3,39275,39275,0,0,130,0.049747,1777356000,,heuristic_resume,3,req_011CaVhCEkaepqK9915tCXkC
1777357617,,5,3653,3653,0,39275,119,0.009094,,,,6,req_011CaVhCSC9yPFGqoDguzMDV
1777357619,,5,553,553,0,42928,81,0.005394,,,,8,req_011CaVhCn8iAiH3utF8UtFYY
1777357622,,5,1643,1643,0,42928,35,0.006527,,,,10,req_011CaVhCu4BbFVS4V2eHsKu8
1777357625,,6,127,127,0,44571,55,0.004897,,,,12,req_011CaVhDB8pQ4gydcuJXkYjg
1777357626,,5,1651,1651,0,44698,95,0.007014,,,,14,req_011CaVhDKWbwrjq7pWmfse1s
1777357628,,5,2259,2259,0,44698,93,0.007764,,,,16,req_011CaVhDTDwykzWtGmfB8cHT
1777357630,,5,250,250,0,46957,91,0.005468,,,,18,req_011CaVhDauJvSXXdDwjWaSse
1777357632,,4,1740,1740,0,46957,96,0.007355,,,,20,req_011CaVhDgtj4mQKsiMotsaxW
1777357633,,4,686,686,0,48697,87,0.006166,,,,22,req_011CaVhDqJjt4nsB4ULyXBYh
1777357635,,4,358,358,0,49383,110,0.00594,,,,24,req_011CaVhDwnv6GWievRg9tvPD
1777357636,,4,1018,1018,0,49383,90,0.006665,,,,26,req_011CaVhE5NL6yzK6Bk2uCZqZ
1777357638,,4,764,764,0,49741,110,0.006483,,,,28,req_011CaVhECUThawuYq2zkioVa
1777357640,,4,153,153,0,50505,98,0.005736,,,,30,req_011CaVhEKsTfKDnkd5xXu36h
1777357642,,3,788,788,0,50505,104,0.006559,,,,32,req_011CaVhEVJz28xMUw5q2QxoA
1777357644,,2,649,649,0,51293,98,0.006433,,,,34,req_011CaVhEdLBiEqXovdys6jXh
1777357645,,2,205,205,0,51942,89,0.005897,,,,36,req_011CaVhEjn8isQkZ2VGHEsQs
1777357647,,2,389,389,0,51942,108,0.006222,,,,38,req_011CaVhErPW2a9bw5PtJn8cf
1777357649,,1,1083,1083,0,52147,103,0.007084,,,,40,req_011CaVhEzHWfsS85MYvS4tzL
1777357651,,2,1015,1015,0,52331,108,0.007044,,,,42,req_011CaVhF88YaFSecDoB5F6SG
1777357653,,1,127,127,0,53346,77,0.005879,,,,44,req_011CaVhFKVugJ8CPCvypkVjV
1777357655,,1,2806,2806,0,53473,109,0.009401,,,,46,req_011CaVhFSLRezZpavM5yeu4f
1777357657,,1,642,642,0,56279,97,0.006916,,,,48,req_011CaVhFbttw7NMqvheMFeKQ
1777357661,,1,1436,1436,0,56279,109,0.007969,,,,50,req_011CaVhFm7XcnuikoPxLGCVF
1777357663,,1,256,256,0,57715,94,0.006563,,,,52,req_011CaVhG1VU77N9tYGDoby1w
1777357665,,1,791,791,0,57971,111,0.007342,,,,54,req_011CaVhGA8P9mVtP3fc4GKCk
1777357667,,1,916,916,0,57971,113,0.007508,,,,56,req_011CaVhGJk3eQnTgGWsETEkU
1777357670,,1,212,212,0,58887,72,0.006515,,,,58,req_011CaVhGUae6NmuXX3rXUjrN
1777357673,,0,640,640,0,59099,91,0.007165,,,,60,req_011CaVhGjFCERLp6kkLj7CFZ
1777357692,,0,822,822,0,59739,1,0.007006,,,,62,req_011CaVhGsgwcxqryyRN3hWBp
