ts,model,input,cc,cc5m,cc1h,cr,out,cost,win,rl,evt,line,req
1777357420,,0,0,0,0,0,0,0,1777356000,,clear,3,
1777357447,,0,0,0,0,0,0,0,,,model_change,7,
1777357491,claude-opus-4-7,6,24016,0,24016,14900,514,0.26049,,,heuristic_resume,15,req_011CaVh2tb8NiqRe9DDxpE7b
1777357517,,6,27173,0,27173,14993,1415,0.314632,,,heuristic_resume,19,req_011CaVh3bWzbqoVk3jhgHadW
1777357620,,1,3651,0,3651,42166,1881,0.104623,,,,24,req_011CaVhAy4EbPDSc3jotxREy
1777357882,,1,6854,0,6854,45817,4924,0.214554,,,,31,req_011CaVhTTirbpcu7XdDGKyaS
1777357887,,1,4969,0,4969,52671,47,0.077206,,,,36,req_011CaVhYNAd94Pn9hv83cFZE
1777357969,,0,0,0,0,0,0,0,,,model_change,40,
1777357985,claude-sonnet-4-6,3,36487,0,36487,10672,192,0.225013,,,heuristic_resume,48,req_011CaVhfXBJYq2qWUk5AaHSL
1777357987,,1,323,0,323,47159,99,0.017574,,,,51,req_011CaVhfsAq8i8RHDqPUEosS
1777357991,,1,207,0,207,47482,234,0.019,,,,55,req_011CaVhg46QVPsT33PS3JeJY
1777358105,,1,252,0,252,47689,1575,0.039447,,,,57,req_011CaVhnvSiqw1hZQboew9nG
1777358191,,1,1623,0,1623,47941,1908,0.052743,,,,63,req_011CaVhu47WYfakNrvPtEejT
1777358195,,1,1956,0,1956,49564,125,0.028483,,,,66,req_011CaVhwDhXXnSSNMWWgVWbe
1777358205,,1,150,0,150,51520,483,0.023604,,,,68,req_011CaVhwQ7M29Qz5sDESzJbP
