ts,model,input,cc,cc5m,cc1h,cr,out,cost,win,rl,evt,line,req
1775993017,claude-sonnet-4-6,3,8347,0,8347,12153,152,0.056017,1775991600,,,10,req_011CZynsxPujfXWjndpH7sgP
1775993020,,1,306,0,306,20500,82,0.009219,,,,12,req_011CZyntGXZpuskC7rTHFqAQ
1775993023,,1,746,0,746,20806,108,0.012341,,,,14,req_011CZyntSGD14r3qfsz57kuL
1775993027,,1,558,0,558,21552,96,0.011257,,,,18,req_011CZyntn3auLJzGDqB3Q5TR
1775993033,,1,235,0,235,22110,351,0.013311,,,,21,req_011CZyntwpTReqsknNTiAveX
1775993036,,1,543,0,543,22345,64,0.010925,,,,23,req_011CZynuUfboxS7gEc4ZMSom
1775993061,,3,12708,0,12708,12153,715,0.090628,,,heuristic_resume,32,req_011CZynvceMExq63bHNeARxC
1775993065,,3,1206,0,1206,24861,156,0.017043,,,,37,req_011CZynwZDzSrxwzBwNTAipS
1775993068,,1,600,0,600,26067,320,0.016223,,,,40,req_011CZynwkVQap8NLBktD6uZi
1775993072,,1,388,0,388,26667,176,0.012971,,,,43,req_011CZynx518sGkqwjFuL27pR
1775993076,,1,243,0,243,27055,150,0.011828,,,,48,req_011CZynxJJ6DACTE8iD4svk9
1775993127,,1,10768,0,10768,27298,4339,0.137885,,,heuristic_resume,52,req_011CZynxYiktwehS3YAnGtXR
1775993160,,1,4388,0,4388,38066,3035,0.083276,,,,56,req_011CZyo2RgxRzNKMZywxCM9g
1775993165,,1,3190,0,3190,42454,136,0.033919,,,,63,req_011CZyo4rM5jd4eie7Y4k4Tp
1775993171,,1,7909,0,7909,45644,556,0.06949,,,,65,req_011CZyo56Khu7PxQmrm4vkEb
1775993176,,1,606,0,606,53553,354,0.025015,,,,69,req_011CZyo5fQHfWQVcmxZiGeRt
1775993183,,1,404,0,404,54159,441,0.02529,,,,71,req_011CZyo63MeFcsoVxMMRizgQ
1775993191,,1,491,0,491,54563,137,0.021373,,,,76,req_011CZyo6YhjqPBJDQMK1XQ9q
1775993194,,1,9390,0,9390,55054,156,0.075199,,,,81,req_011CZyo74aqXMzdTf5Vc21SD
1775993204,,1,7800,0,7800,64444,543,0.074281,,,,85,req_011CZyo7HrJiM8kghoiK7SdV
1775993246,,1,592,0,592,72244,3954,0.084538,,,,89,req_011CZyo85UCWqcCBDJFYac9U
1775993251,,1,4007,0,4007,72836,144,0.048056,,,,93,req_011CZyoB9Su9VpSD62Y8WGtY
1775993255,,1,205,0,205,76843,81,0.025501,,,,95,req_011CZyoBWmYc53nzNTMgBUaR
1775993258,,1,461,0,461,76843,227,0.029227,,,,99,req_011CZyoBmovaohKeeymzLG8m
1775993263,,1,5629,0,5629,77304,169,0.059503,,,,102,req_011CZyoC2uH4zk9ktaDJJurz
1775993267,,1,2007,0,2007,82933,171,0.03949,,,,105,req_011CZyoCKomiGeYPoF8EEw1p
1775993283,,1,2549,0,2549,84940,1194,0.058689,,,,110,req_011CZyoCfWvtpbXYUp9yawuz
1775993287,,3,1575,0,1575,87489,108,0.037326,,,,115,req_011CZyoDvytN3KjJTcL9ePWD
1775993293,,1,259,0,259,89064,122,0.030106,,,,117,req_011CZyoEJqY4hBN68WMrf6qE
1775993296,,1,1936,0,1936,89323,122,0.040246,,,,119,req_011CZyoEb8Zy1ujWfqCb1LFC
1775993305,,1,3096,0,3096,91259,499,0.053442,,,,122,req_011CZyoEo4v1Cvr8y3mUVJWU
1775993312,,3,780,0,780,94355,469,0.040031,,,,126,req_011CZyoFWdURC99bS7RRAbnd
1775993323,,1,525,0,525,95135,952,0.045974,,,,128,req_011CZyoG4PgXTa8iGqWchFaX
1775993328,,3,1242,0,1242,95660,154,0.038469,,,,132,req_011CZyoGrve8PhcjF6Bw3FkP
1775993334,,1,2898,0,2898,96902,283,0.050707,,,,136,req_011CZyoH7vY2hihaNiTaKCcQ
1775993356,,1,529,0,529,99800,2413,0.069312,,,,138,req_011CZyoHaQVQ53W2ePQfN4TF
1775993369,,1,2467,0,2467,100329,1078,0.061074,,,,140,req_011CZyoKGbjWT9pmHz3jFyGE
1775993373,,1,1132,0,1132,102796,97,0.039089,,,,142,req_011CZyoLGEgd4hU1Bwm9jaBT
1775993376,,1,1402,0,1402,102796,168,0.041774,,,,145,req_011CZyoLSu8n1LDF8Vg1F4AP
1775993383,,1,1450,0,1450,104198,628,0.049382,,,,147,req_011CZyoLiKpgvXTUGU53xrBq
1775993387,,3,1655,0,1655,105648,161,0.044048,,,,152,req_011CZyoMGHBmLTCuTgJvf2rV
1775993393,,1,862,0,862,107303,372,0.042946,,,,155,req_011CZyoMX4SQQmTtawVt8KFU
1775993399,,1,652,0,652,108165,715,0.04709,,,,157,req_011CZyoMxwgWJdNezniLamvS
1775993403,,1,874,0,874,108817,96,0.039332,,,,161,req_011CZyoNUXRBL89kJoviDnos
1775993407,,1,114,0,114,109691,231,0.037059,,,,164,req_011CZyoNfpp4u7k91g4QwCT6
1775993434,,1,227,0,227,109805,53,0.035102,,,,166,req_011CZyoQmMztvxH6UJ7wumYr
1775993438,,1,999,0,999,110032,235,0.042532,,,,168,req_011CZyoQw5eGRYAi5UYjZmvm
1775993449,,1,275,0,275,111031,501,0.042477,,,,170,req_011CZyoRT1ifWtf347FQWEEE
1775993789,,3,99717,0,99717,12153,127,0.603862,,,cost_warn|heuristic_resume,176,req_011CZyoroBcPhAB8GdQLCWXV
1775993791,,3,271,0,271,111870,42,0.035826,,,,178,req_011CZyos7n41YgS1jXs8Qfoq
1775993817,,1,1405,0,1405,112141,115,0.0438,,,,181,req_011CZyotoajGGkEFiJng3yr5
1775993820,,3,1637,0,1637,113546,179,0.04658,,,,186,req_011CZyouAgUwCQvHxymrgibd
1775993830,,41,2869,0,2869,115183,288,0.056212,,,,193,req_011CZyoupeW7E8ireDr1Bqf1
1775993848,,1,4882,0,4882,118052,728,0.075631,,,,196,req_011CZyovBuveZHiH9u1jYxes
1775993851,,1,793,0,793,122934,65,0.042616,,,,198,req_011CZyowV5KrPPeZE1V7JNgT
1775993854,,1,929,0,929,122934,165,0.044932,,,,202,req_011CZyowgNj9sgUGge1tanXw
1775993882,,1,1926,0,1926,123863,1771,0.075283,,,,207,req_011CZyowwJQFWMnREYQ41f85
1775993886,,1,2433,0,2433,125789,65,0.053313,,,,210,req_011CZyoyygLURY7QUts8VZYx
1775993888,,1,2597,0,2597,125789,95,0.054747,,,,212,req_011CZyozHVtZ6n6FghmR3Tr6
1775993903,,1,692,0,692,128222,978,0.057292,,,,217,req_011CZyozSyQdfwJPeXX4Vnvn
1775993934,,1,2230,0,2230,128914,2092,0.083437,,,,220,req_011CZyp1Vu3cW73xRchfomwF
1775993937,,1,2207,0,2207,131144,96,0.054028,,,,222,req_011CZyp3peyKXBA95GQrufVw
1775993942,,1,606,0,606,133351,177,0.046299,,,,225,req_011CZyp42Mvo7983cTYoqfxo
1775994015,,1,462,0,462,133957,4782,0.114692,,,,230,req_011CZyp4Pa8FYWN4LS8JQVpN
1775994019,,1,4847,0,4847,134419,84,0.070671,,,,232,req_011CZyp9mMhfQiCAaJqeWE1i
1775994050,,1,578,0,578,139266,1787,0.072056,,,,236,req_011CZypA5oxL8iRjVL6X4Qce
1775994224,,1,1982,0,1982,139844,10829,0.216283,,,,239,req_011CZypCN5oa3AUpRR8znFdv
1775994244,,1,11635,0,11635,141826,1291,0.131726,,,heuristic_resume,243,req_011CZypRApFzLK7h7j1rkN2P
1775994245,,0,0,0,0,0,0,0,,limit_hit_unknown{1am@Asia/Seoul},,246,
1776066972,,3,153811,0,153811,12153,538,0.934591,1776063600,,cost_warn|heuristic_resume,260,req_011Ca1QrqNuEMHib6NTAZC7J
1776067032,,0,0,0,0,0,0,0,,limit_hit_unknown{7pm@Asia/Seoul},,265,
1776165959,,0,0,0,0,0,0,0,1776164400,,model_change,275,
1776166041,,0,0,0,0,0,0,0,,,compact:auto:173743,285,
