ts,model,input,cc,cc5m,cc1h,cr,out,cost,win,rl,evt,line,req
1777100306,claude-sonnet-4-6,3,41501,0,41501,0,167,0.25152,1777096800,,heuristic_resume,9,req_011CaQ4B21FpCZYhvAhWzY7V
1777100309,,3,688,0,688,41501,163,0.019032,,,,12,req_011CaQ4BFg332ryHt9eS8WQS
1777100316,,1,211,0,211,42189,244,0.017586,,,,15,req_011CaQ4Bj8mvh4PV3fdz1PBB
1777100328,,1,2561,0,2561,42400,253,0.031884,,,,21,req_011CaQ4CajXzEBYBHXEiGfu4
1777100372,,1,668,0,668,44961,149,0.019734,,,,24,req_011CaQ4Fsr1e4MZTM8SnsMQQ
1777100377,,1,216,0,216,45629,144,0.017148,,,,26,req_011CaQ4GHnvYMNxAPeHwwyUs
1777100383,,1,394,0,394,45845,285,0.020396,,,,29,req_011CaQ4GdW68bAnbVCkLsbCJ
1777100417,,1,14973,0,14973,46239,1467,0.125718,1777100400,,heuristic_resume,38,req_011CaQ4HGEC9YxpXtd2uxmJg
1777100463,,1,1607,0,1607,61212,2081,0.059224,,,,42,req_011CaQ4L3KtL4qTwnNFzM2zo
1777100494,,3,2150,0,2150,62819,325,0.03663,,,,51,req_011CaQ4Qcq8N2vun8nFwCmvS
1777100523,,1,395,0,395,64969,1509,0.044499,,,,55,req_011CaQ4RSb1VzFgFgbzssuzd
1777100653,,3,1520,0,1520,65364,317,0.033493,,,,62,req_011CaQ4cTTegB6UdyJdNEFcU
1777100816,,1,447,0,447,66884,8069,0.143785,,,,67,req_011CaQ4e3SLDkKZT6xjppSAX
1777100887,,1,8176,0,8176,67331,937,0.083313,,,,73,req_011CaQ4tUSsjnxhgDBAemnh7
1777101116,,1,968,0,968,75507,268,0.032483,,,,76,req_011CaQ5CSSaRcTD7N9d5Kgwp
1777101182,,3,426,0,426,76475,1254,0.044318,,,,82,req_011CaQ5GF8YmEH6CVb1Yzyeu
1777101266,,3,1310,0,1310,76901,193,0.033834,,,,87,req_011CaQ5PdFGbAC2mAJqjYxsp
1777101352,,1,1119,0,1119,78211,79,0.031365,,,,91,req_011CaQ5WDM2pefSXuP82aLnU
1777101402,,1,1466,0,1466,79330,1155,0.049923,,,,94,req_011CaQ5YVVgsu2hhBbgUbtRk
1777101499,,3,1366,0,1366,80796,1602,0.056474,,,,99,req_011CaQ5f8w8J6xqqsaBVyDne
1777101696,,3,1702,0,1702,82162,414,0.04108,,,,102,req_011CaQ5w5aQdFRQLBqq79ZnU
1777101945,,3,95187,0,95187,0,610,0.580281,,,cost_warn|heuristic_resume,119,req_011CaQ6F5fNQPtikFpyR5Uhw
