ts,model,input,cc,cc5m,cc1h,cr,out,cost,win,rl,evt,line,req
1777272111,,0,0,0,0,0,0,0,1777269600,,clear,3,
1777272180,claude-sonnet-4-6,3,26484,0,26484,10743,648,0.171856,,,heuristic_resume,13,req_011CaTpbvyDvv5VFsWg7Qm25
1777272340,,3,1059,0,1059,37227,182,0.020261,,,,21,req_011CaTppNsnyj2umJbxeA4cq
1777272343,,1,200,0,200,38286,108,0.014309,,,,24,req_011CaTppeEm9t5MyAhQVQLvc
1777272357,,1,126,0,126,38486,106,0.013895,,,,27,req_011CaTpqcEz4MB9YwBkjCY8z
1777272365,,1,3760,0,3760,38612,400,0.040147,,,,30,req_011CaTpqtp8zwDzKgRLs9bSe
1777272379,,1,462,0,462,42372,63,0.016432,,,,33,req_011CaTps9hcWHHtpdXMzmBF7
1777272469,,3,181,0,181,42834,2553,0.05224,,,,40,req_011CaTpwicdhMXjK9yoQDLUL
1777272477,,1,2683,0,2683,43015,97,0.030461,,,,43,req_011CaTpzXH67wGpjygQZWtUe
1777272487,,1,1612,0,1612,45698,711,0.034049,,,,47,req_011CaTpzmWqzmwqYNpW62t6J
1777272496,,1,773,0,773,47310,51,0.019599,,,,49,req_011CaTq21egAZMSr4eSkZ9es
1777272576,,3,175,0,175,48083,221,0.018799,,,,56,req_011CaTq7jNZCG2UTx8cGmYYP
1777272582,,1,1509,0,1509,48258,151,0.025799,,,,60,req_011CaTq8JJxLoFDFLK1uKgZm
1777272593,,1597,13220,0,13220,49767,369,0.104576,,,heuristic_resume,66,req_011CaTq8iBu42mUZuuNq2JaA
1777272611,,1,3079,0,3079,62987,1068,0.053393,,,,70,req_011CaTq9NobwuWTjpWRukeAH
1777272667,,3,1095,0,1095,66066,252,0.030179,,,,76,req_011CaTqENaMUxS77u8hdDaDY
1777272671,,1,365,0,365,67161,134,0.024351,,,,78,req_011CaTqEntan257JHyHC2EQN
1777272675,,1,179,0,179,67526,86,0.022625,,,,80,req_011CaTqFBkkoBqJ3ZmdUuhCU
1777272679,,1,508,0,508,67705,124,0.025223,,,,83,req_011CaTqFSn8pBeCmcUxBMMYu
1777272684,,1,309,0,309,68213,154,0.024631,,,,85,req_011CaTqFmjfAcSmYQohJBwuM
1777272687,,1,300,0,300,68522,82,0.02359,,,,87,req_011CaTqG3tWcHjLRo4hpVcRN
1777272693,,1,605,0,605,68822,177,0.026935,,,,89,req_011CaTqGPtHYRaVPmP9nYKMq
