ts,model,input,cc,cc5m,cc1h,cr,out,cost,win,rl,evt,line,req
1777708386,claude-haiku-4-5-20251001,3,48974,48974,0,0,172,0.062081,1777705200,,heuristic_resume,3,req_011CadP1Kqo7ZtuAP8sZ45Vu
1777708389,,5,2633,2633,0,48974,116,0.008774,,,,6,req_011CadP1YHturh9xG1E7uFsy
1777708391,,5,597,597,0,51607,145,0.006637,,,,9,req_011CadP1gayDSVdicXL9dYUV
1777708392,,4,164,164,0,52204,81,0.005834,,,,11,req_011CadP1pBsKnUL3Qoee5QZc
1777708394,,5,622,622,0,52204,89,0.006448,,,,13,req_011CadP1vFFbH3U4dG1HCcyC
1777708395,,5,707,707,0,52826,94,0.006641,,,,15,req_011CadP21wYtUzoamWYqJWZF
1777708397,,4,113,113,0,53533,89,0.005944,,,,17,req_011CadP28aA2vftW5aqs5mBw
1777708398,,3,2138,2138,0,53646,119,0.008635,,,,20,req_011CadP2Ec4BhhkV36aF8sLG
1777708400,,3,1179,1179,0,55784,125,0.00768,,,,22,req_011CadP2MvqNSoKb2qFGoTPt
1777708402,,3,1367,1367,0,55784,310,0.00884,,,,31,req_011CadP2UWDcSgvi2B28jWyu
1777708406,,4,4908,4908,0,57151,250,0.013104,,,,38,req_011CadP2ewHK2q35AQrNPDNA
1777708408,,4,17418,17418,0,62059,230,0.029132,,,ctx_warn|heuristic_resume,45,req_011CadP2uZMX3DnVE2EDz48i
1777708411,,4,923,923,0,79477,188,0.010045,,,,50,req_011CadP35nWcR4oV23BhdQNb
1777708413,,4,2925,2925,0,80400,281,0.013105,,,,57,req_011CadP3FxgzEVybHLHMJA4d
1777708415,,4,2614,2614,0,83325,119,0.012199,,,,60,req_011CadP3TyFaW4ZRBs5JPmep
1777708417,,3,2832,2832,0,83325,136,0.012556,,,,63,req_011CadP3b2QsB9TQFViXxSpF
1777708420,,3,402,402,0,86157,160,0.009921,,,,66,req_011CadP3kJ1pcQbfS5gGLoYw
1777708422,,3,1114,1114,0,86559,115,0.010626,,,,68,req_011CadP3w5AUMhtwtosJSRba
1777708440,,3,273,273,0,87673,2398,0.021102,,,,70,req_011CadP45XQaAtWSmM2xvDAs
