ts,model,input,cc,cc5m,cc1h,cr,out,cost,win,rl,evt,line,req
1777363451,,0,0,0,0,0,0,0,1777363200,,clear,3,
1777363459,claude-sonnet-4-6,3,25402,0,25402,10811,174,0.158274,,,heuristic_resume,11,req_011CaVpd183SCCGfxT367Pwr
1777363464,,1,3503,0,3503,36213,201,0.0349,,,,16,req_011CaVpdPma7peFyNAmsvdU2
1777363469,,1,282,0,282,39716,131,0.015575,,,,18,req_011CaVpdqcaVoHtpyx9Gis9b
1777363472,,1,218,0,218,39998,104,0.01487,,,,20,req_011CaVpeANh3PX4mMWHS44zD
1777363483,,1,1254,0,1254,40216,734,0.030602,,,,24,req_011CaVpeNwVMzdSvc6NdGFVK
1777363490,,1,805,0,805,41470,141,0.019389,,,,29,req_011CaVpfSue3Qqo2fn2TTJYc
1777363494,,1,423,0,423,42275,172,0.017804,,,,34,req_011CaVpfkkBmP39wJkr16o8j
1777363497,,1,468,0,468,42698,164,0.01808,,,,38,req_011CaVpfznYKXRJXkfsj1Dat
1777363509,,1,247,0,247,43166,302,0.018965,,,,42,req_011CaVpgiFPv7jv5WKaqdZmv
1777363513,,1,418,0,418,43413,166,0.018025,,,,44,req_011CaVph8Y9HQAUXf8CArPLF
1777363519,,1,371,0,371,43831,264,0.019338,,,,46,req_011CaVphPbWYBkDs4GLyiz83
1777708357,,0,0,0,0,0,0,0,1777705200,,model_change,54,
1777708384,,3,39901,0,39901,0,475,0.24654,,,heuristic_resume,61,req_011CadNzoX9xuNTgx5sY16RR
1777708449,,1,2883,0,2883,39901,654,0.039081,,,,69,req_011CadP5S7Bj8bHdjKN242Uh
1777708460,,1,4013,0,4013,42784,200,0.039916,,,,76,req_011CadP667vwY8obQqFj3G2Z
1777708463,,1,1716,0,1716,46797,202,0.027368,,,,80,req_011CadP6t5AgsN6sqhAmAqpt
1777708466,,1,1208,0,1208,48513,187,0.02461,,,,84,req_011CadP796Z3L7ZekJg5acv7
1777708468,,1,3347,0,3347,49721,101,0.036516,,,,88,req_011CadP7Khn9PkWWEmt4FPFE
1777708479,,1,1036,0,1036,53068,682,0.032369,,,,92,req_011CadP7XCLRSFbySk1WrRuZ
1777708509,,1,695,0,695,54104,313,0.025099,,,,97,req_011CadPAD8UUmYeDDGHu7zsH
1777708524,,1,593,0,593,54799,546,0.028191,,,,103,req_011CadPBC1nPvh5aR1RvwAcM
1777708537,,1,681,0,681,55392,363,0.026152,,,,110,req_011CadPCFc7HubuKWQZXXW3Y
1777708554,,1,498,0,498,56073,825,0.032188,,,,120,req_011CadPDA6VjMabnHwpWApK2
1777708563,,1,1074,0,1074,56571,668,0.033438,,,,129,req_011CadPDvsnc2g7SihPG5ofR
1777708567,,1,981,0,981,57645,161,0.025598,,,,133,req_011CadPEZ6daJxmgGnmH2anY
1777708570,,1,419,0,419,58626,120,0.021905,,,,137,req_011CadPEo2XnexmELtriYYPB
1777708573,,1,227,0,227,59045,263,0.023024,,,,140,req_011CadPEySr85JCDUk8fb3qf
1777708577,,1,315,0,315,59272,201,0.02269,,,,142,req_011CadPFHSKiKg2uRv2BWeBB
1777708583,,1,249,0,249,59587,356,0.024713,,,,146,req_011CadPFZ1h8VLb5kKZfHjDf
1777708589,,1,399,0,399,59836,142,0.022478,,,,149,req_011CadPGCJXtcxZJxuTYnAEX
1777708599,,1,427,0,427,60235,361,0.026051,,,,154,req_011CadPGYVipgvCddiDGNSvZ
