ts,model,input,cc,cc5m,cc1h,cr,out,cost,win,rl,evt,line,req
1777334788,claude-sonnet-4-6,2,26558,26558,0,0,94,0.101009,1777334400,,heuristic_resume,3,req_011CaVCBkCE4pnsy2mFsUo7s
1777334792,,3,3492,3492,0,26558,168,0.023591,,,,6,req_011CaVCByDof7vRiwGZTRuDv
1777334796,,1,397,397,0,30050,121,0.012322,,,,9,req_011CaVCCJiKc3FSrxYEDTNdv
1777334800,,1,2041,2041,0,30447,155,0.019116,,,,13,req_011CaVCCWeffr3knpYS25Me7
1777334810,,1,3137,3137,0,32488,138,0.023583,,,,17,req_011CaVCDKRGLbiQXzBnLwbH1
1777334825,,1,2741,2741,0,35625,131,0.022934,,,,21,req_011CaVCED82ktHVVbnSuGECp
1777334834,,1135,2201,2201,0,38366,76,0.024309,,,,24,req_011CaVCFAmv8XYLwSAAE9kCo
1777334840,,3,1729,1729,0,40567,293,0.023058,,,,28,req_011CaVCFMUMEfoBQUQJHE1XW
1777334853,,1,1030,1030,0,42296,348,0.021774,,,,33,req_011CaVCGF5uWCE7htLqt4H7t
1777334866,,1,836,836,0,43326,271,0.020201,,,,36,req_011CaVCHGR43kdE6U5rBMNPh
1777334875,,39,768,768,0,44162,259,0.020131,,,,40,req_011CaVCJ1h3uwpvB2HBQeTus
1777334885,,1,1126,1126,0,44930,269,0.02174,,,,44,req_011CaVCJhsXJCGSt1rP9tjqk
1777334897,,1,1106,1106,0,46056,45,0.018642,,,,49,req_011CaVCKX1we3NCrVz9rmLGf
1777334905,,1,688,688,0,47162,146,0.018922,,,,52,req_011CaVCLFDhhSkAqULFk9qay
1777334918,,1,2727,2727,0,47850,290,0.028934,,,,56,req_011CaVCM6sgkTsyCpw9JxNzi
1777334926,,336,910,910,0,50577,44,0.020254,,,,60,req_011CaVCMrFtKYdVs7hgEZ51x
1777334937,,1,2571,2571,0,51487,214,0.0283,,,,64,req_011CaVCNYMPxtPrQXmPYUQJ7
1777334946,,1,1279,1279,0,54058,245,0.024692,,,,68,req_011CaVCPK2V33cP1p2ZfCAFq
1777334954,,446,656,656,0,55337,198,0.023369,,,,72,req_011CaVCPsvQ9UWvgiJYmpbbc
1777334969,,1,3100,3100,0,55993,290,0.032776,,,,76,req_011CaVCQvLXtpceZAgWfdKHS
1777334976,,39,806,806,0,59093,155,0.023192,,,,80,req_011CaVCRQ1RthYLTLzoP8m7J
1777334994,,1481,1730,1730,0,59899,260,0.0328,,,,84,req_011CaVCSkjPchnCuLBjsHBmT
1777335004,,1,2721,2721,0,61629,145,0.03087,,,,88,req_011CaVCTbQazHHR6DxhA1GU6
1777335018,,1303,2207,2207,0,64350,225,0.034865,,,,92,req_011CaVCUZxoBig8AWG5PohDa
1777335029,,355,2031,2031,0,66557,1,0.028663,,,,96,req_011CaVCVLp3xPNhuMCtZ31eT
1777335164,,1,759,759,0,68588,8214,0.146636,,,,98,req_011CaVCVgvXbmfqTrT8KXyZq
1777335168,,1,8265,8265,0,69347,113,0.053496,,,,101,req_011CaVCfkZLJskosUs6sdzEg
1777335176,,1,362,362,0,77612,431,0.031109,,,,103,req_011CaVCfxALTs7e7JeXoGH8T
1777335340,,1,565,565,0,77974,103,0.027059,,,,106,req_011CaVCtSGcLnZiDCpAnXMsu
1777335347,,1,1663,1663,0,78539,478,0.036971,,,,108,req_011CaVCtdYmSGRGBDirEaAud
1777335361,,1,540,540,0,80202,581,0.034804,,,,110,req_011CaVCuBwRj4v3EzbHAXwJ7
