ts,model,input,cc,cc5m,cc1h,cr,out,cost,win,rl,evt,line,req
1777336713,,0,0,0,0,0,0,0,1777334400,,clear,3,
1777336772,claude-sonnet-4-6,3,27885,0,27885,10743,978,0.185212,,,heuristic_resume,15,req_011CaVEgtMew3yLWccc72GXR
1777336776,,1,1237,0,1237,38628,170,0.021563,,,,19,req_011CaVEiDY6VxkhqDfnZaNre
1777336780,,1,5092,0,5092,39865,216,0.045755,,,,25,req_011CaVEiUFdRXHwbwAfjzpVd
1777336783,,1,2587,0,2587,44957,86,0.030302,,,,27,req_011CaVEioMaV1wU6VgyHuqQE
1777336821,,1,3404,0,3404,47544,2820,0.07699,,,,32,req_011CaVEj1Cxgjk8hr4v34Nwt
1777336848,,1,6445,0,6445,50948,2592,0.092837,,,,37,req_011CaVEmp55BKQCYYYButYet
1777336872,,1,2664,0,2664,57393,118,0.034975,,,,42,req_011CaVEqKFLZLacx1Q8VeZrY
1777336881,,1,3849,0,3849,57393,574,0.048925,,,,46,req_011CaVEqZnhb4dRKDvh2QXZx
1777336884,,1,705,0,705,61242,110,0.024256,,,,48,req_011CaVErGSSU98eeZfgVp3fA
1777336891,,1,255,0,255,61947,269,0.024152,,,,51,req_011CaVErZ4a2u1FAT6Wwq8vS
1777336929,,3,1926,0,1926,62202,452,0.037006,,,,61,req_011CaVEuC2NH784trjLEa35j
1777336990,,1,2327,0,2327,64128,5010,0.108353,,,,66,req_011CaVEupvPq8JdkVcint69o
1777337002,,1,5082,0,5082,66455,415,0.056657,,,,70,req_011CaVEzjfGhDuNMXcmE85RU
1777337020,,1,467,0,467,71537,107,0.025871,,,,73,req_011CaVF2Jk8L24anrpWDdZ3T
1777337026,,1,235,0,235,72004,206,0.026104,,,,75,req_011CaVF2agLLdpCgTJ5tuu1x
1777337150,,3,1885,0,1885,72239,365,0.038466,,,,87,req_011CaVFBZd5k1VSPcjMVXHxw
1777337159,,65,634,0,634,74124,118,0.028006,,,,90,req_011CaVFCQXApCo2gHAX7itTk
1777337163,,1,364,0,364,74758,119,0.026399,,,,93,req_011CaVFCq6HYQk8F3QjufVBk
1777337170,,1,626,0,626,75122,102,0.027826,,,,95,req_011CaVFDAzcNf68XdrhMBnHM
1777337177,,1,979,0,979,75748,157,0.030956,,,,98,req_011CaVFDYAKzdbXTvZZHCmwM
1777337182,,1,260,0,260,76727,122,0.026411,,,,100,req_011CaVFEDPkN7iJJedYcf5F4
1777337187,,1,412,0,412,76987,85,0.026846,,,,102,req_011CaVFEaVkUyQADqGtmKP87
1777337200,,1,746,0,746,77399,665,0.037674,,,,107,req_011CaVFEuAfFQMXRgSCJiF2a
1777337203,,974,1154,0,1154,78145,159,0.035675,,,,111,req_011CaVFFiuYrzLPdBFc5VVFE
1777337206,,1,1275,0,1275,79299,98,0.032913,,,,113,req_011CaVFFykmNtSiyuhdsTTwB
1777337258,,1,1004,0,1004,80574,112,0.031879,,,,115,req_011CaVFKnuGNu12BifHCNEBU
1777337310,,1,4253,0,4253,81578,3226,0.098384,,,,123,req_011CaVFLBrtdFshsR4vV1sF8
1777337320,,1,3462,0,3462,85831,218,0.049794,,,,126,req_011CaVFQHgzVEnSd81Xz9wLB
1777337651,,3,1465,0,1465,97961,16405,0.284262,,,,137,req_011CaVFZHY4mQvpZnpGtoHGJ
1777337682,,0,0,0,0,0,0,0,,limit_hit_unknown{2pm@Asia/Seoul},,140,
1777363432,,2,116762,0,116762,0,72,0.701658,1777363200,,cost_warn,153,req_011CaVpawg86cmwJHrZ64B8w
1777363444,,1,215,0,215,116762,607,0.045427,,,,156,req_011CaVpbUw4xwe8uoWuZiUXz
