ts,model,input,cc,cc5m,cc1h,cr,out,cost,win,rl,evt,line,req
1778545306,claude-sonnet-4-6,2,25358,25358,0,0,98,0.096569,1778544000,,heuristic_resume,5,req_011CawigE3ewv1fhNKuNeULW
1778545312,,3,1502,1502,0,25358,217,0.016504,,,,10,req_011CawigUiTnnNDdbAV5NaUb
1778545325,,1,1346,1346,0,26860,313,0.017804,,,,16,req_011CawihMZ8aZ4jFR4rzsZ75
1778545339,,972,2133,2133,0,28206,318,0.024147,,,,23,req_011CawiiMMWCBYBSci9GM5Uf
1778545361,,1133,11326,11326,0,30339,1,0.054988,,,heuristic_resume,29,req_011CawijU27vRYFHPhiYm3qh
1778545372,,1,2921,2921,0,41665,325,0.028331,,,,34,req_011Cawikpp43uGk4Dq5A9jRv
1778545377,,85,692,692,0,44586,283,0.020471,,,,38,req_011CawimQxsaMcsUYmnxw1v9
1778545403,,325,767,767,0,45278,227,0.02084,,,,42,req_011CawioEkGn1pZbAQFJC7zY
1778545416,,1,2188,2188,0,46045,287,0.026327,,,,46,req_011CawipBN9ZS3SR5woR3kob
1778545433,,457,741,741,0,48233,270,0.02267,,,,50,req_011CawiqKETEbV5y4od4TEjW
1778545439,,1,847,847,0,48974,246,0.021561,,,,52,req_011CawiqnnA6jJVjp6vAvjQw
