ts,model,input,cc,cc5m,cc1h,cr,out,cost,win,rl,evt,line,req
1777788514,,0,0,0,0,0,0,0,1777788000,,model_change,7,
1777788525,claude-sonnet-4-6,3,30994,0,30994,0,125,0.187848,,,heuristic_resume,15,req_011Caf8rc4F3rxGJAhy5fsZq
1777788566,,0,0,0,0,0,0,0,,limit_hit_unknown{5:10pm@Asia/Seoul},,17,
1777796355,,3,32683,0,32683,0,306,0.200697,1777795200,,heuristic_resume,35,req_011CafJogKJY7dn7wjCeLpso
1777796357,,1,555,0,555,32683,161,0.015553,,,,39,req_011CafJp2TmLF4JipFSwXEd7
1777796360,,1,2110,0,2110,33238,82,0.023864,,,,41,req_011CafJpCnNq6f7H9JXYVWHz
1777796364,,1,2002,0,2002,35348,199,0.025604,,,,48,req_011CafJpNFPRP6bHUffxJpX1
1777796367,,3,835,0,835,37350,218,0.019494,,,,54,req_011CafJpf1hTxwq5zmCtCVP8
1777796381,,2634,1641,0,1641,38185,187,0.032009,,,,60,req_011CafJqgHdALjdmQUsDhSnP
1777796392,,2239,4266,0,4266,39826,134,0.046271,,,,69,req_011CafJrYjEaWoAVWhbqnTzb
1777796397,,3,2891,0,2891,44092,296,0.035023,,,,73,req_011CafJrkhp3Gru8WyApw57d
1777796406,,378,900,0,900,46983,298,0.025099,,,,82,req_011CafJsPoyugGccRTvT2Spw
1777796416,,1,1148,0,1148,47883,311,0.025921,,,,86,req_011CafJtD3rdQ6HudmVujJpM
1777796421,,1,388,0,388,49031,256,0.02088,,,,89,req_011CafJtYtiLwgiUmitZJJ68
1777796429,,39,621,0,621,49419,254,0.022479,,,,93,req_011CafJuBytp48gisuwguBHF
1777796439,,335,719,0,719,50040,270,0.024381,,,,97,req_011CafJuwnQ6Ks1L5gAzjwp1
1777796454,,414,1068,0,1068,50759,292,0.027258,,,,102,req_011CafJvwWJnhPtBkk9atY3n
1777796573,,1,1741,0,1741,51827,8179,0.148682,,,,110,req_011CafJwtRYb9JqpaabimqYV
1777796724,,1,8229,0,8229,53568,524,0.073307,,,,117,req_011CafKGV3eRfxoFk2prmqdx
1777796769,,3,1688,0,1688,61797,799,0.040661,,,,131,req_011CafKKXAiqea8j86ogH2ys
1777796802,,1,2282,0,2282,63485,1864,0.060701,,,,135,req_011CafKLa778gB1j788f2YbK
1777796862,,1,2037,0,2037,65767,144,0.034115,,,,142,req_011CafKTCGPzbXGrtfxZQ99J
1777796865,,1,8342,0,8342,67804,136,0.072436,,,,148,req_011CafKTPyMKb23CLHV84BCg
1777796954,,1,756,0,756,76146,6520,0.125183,,,,152,req_011CafKTdAMTq3NMw1eLwy7G
1777796968,,1,6585,0,6585,76902,540,0.070684,,,,159,req_011CafKaUfaTXkASwLir838e
