ts,model,input,cc,cc5m,cc1h,cr,out,cost,win,rl,evt,line,req
1777290914,claude-sonnet-4-6,3,18096,0,18096,10604,361,0.117181,1777287600,,heuristic_resume,11,req_011CaUERMR8eKExCm75tdhks
1777290925,,201,545,0,545,28700,251,0.016248,,,,15,req_011CaUESJkBR4huESThsKD4k
1777290990,,1,635,0,635,29245,234,0.016097,,,,19,req_011CaUEX52KCiSbpBFL6WcAr
1777291025,,1,252,0,252,29880,100,0.011979,,,,21,req_011CaUEZpP5pKovRy3vYX66N
1777291080,,1,134,0,134,30132,174,0.012457,,,,24,req_011CaUEdn34GeE87miYSwB87
1777291090,,1,197,0,197,30266,123,0.01211,,,,28,req_011CaUEe9wBj5DNfJ2JFVwLS
1777291110,,1,404,0,404,30463,366,0.017056,,,,32,req_011CaUEfqxzz1MfkraCF2ax5
1777291121,,1,893,0,893,30867,601,0.023636,,,,37,req_011CaUEgR83dQr5Po8PRkhhC
1777291179,,1,762,0,762,31760,293,0.018498,,,,40,req_011CaUEm4JYr2E4KXeqGUafL
1777291200,,1,480,0,480,32522,420,0.01894,1777291200,,,44,req_011CaUEnRM7LdNu5DjxvGMoE
1777291207,,1,462,0,462,33002,141,0.014791,,,,46,req_011CaUEoEaz5Xx8f6X3apisZ
1777291213,,1,359,0,359,33464,189,0.015031,,,,49,req_011CaUEofLWfAq7k1JhSNM8x
1777291222,,1,496,0,496,33823,190,0.015976,,,,54,req_011CaUEpHnzbpwzNWWxoPLBv
1777291226,,1,609,0,609,34319,78,0.015123,,,,56,req_011CaUEpeuFMwfZ91gg8X1qf
1777291231,,1,296,0,296,34928,377,0.017912,,,,58,req_011CaUEppyyQd8qCtVYbWsMS
1777291237,,1,551,0,551,35224,175,0.016501,,,,63,req_011CaUEqMNpqHmc7F97RSGeW
1777291248,,1,277,0,277,35775,148,0.014618,,,,65,req_011CaUErD2YzenCzZK6J2QPX
1777291253,,1,211,0,211,36052,127,0.01399,,,,67,req_011CaUErai32MP4igozswWcX
1777291258,,1,283,0,283,36263,126,0.01447,,,,69,req_011CaUEryxGqgSp4gkFpYKM5
