ts,model,input,cc,cc5m,cc1h,cr,out,cost,win,rl,evt,line,req
1778570598,,0,0,0,0,0,0,0,1778569200,,clear,3,
1778570693,claude-sonnet-4-6,3,15099,0,15099,12238,252,0.098054,,,heuristic_resume,16,req_011CaxGvueGVJzHmykTRTMdA
1778570696,,1,1445,0,1445,27337,139,0.018959,,,,20,req_011CaxGwr9hNiFTAtDHEtjTp
1778570699,,1,3933,0,3933,28782,147,0.034441,,,,25,req_011CaxGx381BzmzgSs8Dg2rC
1778570703,,1,3507,0,3507,32715,143,0.033005,,,,29,req_011CaxGxGnXg6aUudkxEatWB
1778570707,,1,5135,0,5135,36222,143,0.043825,,,,36,req_011CaxGxZrh7gAD9YzdyNJmo
1778570711,,1,3006,0,3006,41357,145,0.032621,,,,41,req_011CaxGxuUA1TSJ2VBbC7tWs
1778570715,,1,5200,0,5200,44363,143,0.046657,,,,47,req_011CaxGyEZ7q71x9RDa7ttqc
1778570719,,1,6099,0,6099,49563,143,0.053611,,,,53,req_011CaxGyYaL9JBjYoWzFPSs3
1778570723,,1,1222,0,1222,55662,150,0.026284,,,,57,req_011CaxGymkaz15tTKDLfXDXi
1778570726,,1,2092,0,2092,56884,151,0.031885,,,,61,req_011CaxGz1AykFzLHiUjgGHja
1778570730,,1,3145,0,3145,58976,215,0.039791,,,,68,req_011CaxGzFkLDCeKaJsAahPMC
1778571450,,1,1889,0,1889,62121,2660,0.069873,,,,71,req_011CaxHrJxCgMaJVPRYKgVJC
1778571518,,3,2694,0,2694,64010,151,0.037641,,,,77,req_011CaxHzAMFei4j3STC1CTmg
1778571525,,1,233,0,233,66704,92,0.022792,,,,81,req_011CaxHzetypVmn4D6uAiadC
1778571701,,1,225,0,225,66937,1522,0.044264,,,,89,req_011CaxJC3SN1mGLFMzvocUJd
1778571718,,1,2701,0,2701,67162,784,0.048118,,,,97,req_011CaxJE6icbtJVGoCfjhZt8
1778571757,,1,1519,0,1519,69863,2509,0.067711,,,,105,req_011CaxJFM2NEgKmHxngqVvUT
1778571841,,1,2648,0,2648,71382,1332,0.057286,,,,111,req_011CaxJNtGkp3UAomaimsiRy
1778571867,,1,1429,0,1429,74030,1325,0.050661,,,,115,req_011CaxJQsPjBMrPg8vMcpCZq
1778571943,,1,1422,0,1422,75459,1397,0.052128,,,,118,req_011CaxJWBbFcxxoDKyUczPpo
1778571957,,1,1614,0,1614,76881,83,0.033996,,,,124,req_011CaxJYXC2F7fafWKeKNbB9
1778571992,,1,220,0,220,78495,1384,0.045632,,,,127,req_011CaxJZawGrQJAkQyrpshwp
1778574782,,1,1481,0,1481,78715,85,0.033779,1778572800,,,130,req_011CaxN8kR4My3yPbCyqwAGT
1778574793,,1,561,0,561,80196,596,0.036368,,,,132,req_011CaxN9TUc8AcUsJfmW72eQ
