ts,model,input,cc,cc5m,cc1h,cr,out,cost,win,rl,evt,line,req
1777973684,,0,0,0,0,0,0,0,1777971600,,clear,3,
1777973693,,0,0,0,0,0,0,0,,,model_change,7,
1777973709,claude-sonnet-4-6,3,14563,0,14563,10995,378,0.096356,,,heuristic_resume,18,req_011CajCCxA9DynzHyABYP9RH
1777973714,,1,504,0,504,25558,190,0.013544,,,,22,req_011CajCDZPTQUPJ9dmE8p95F
1777973730,,1,1780,0,1780,26062,805,0.030577,,,,26,req_011CajCDwVyejbv3ZzrqfBb3
1777974802,,3,1114,0,1114,27842,299,0.019531,,,,35,req_011CajDbaTBcE8PXSDdkpa8i
1777974806,,1,396,0,396,28956,221,0.014381,,,,39,req_011CajDc9ZFEyn2TAb8yT7qa
1777974813,,1,524,0,524,29352,366,0.017443,,,,43,req_011CajDcQvUEHNMZqxqQyuvt
1777974833,,1,1885,0,1885,29876,801,0.032291,,,,47,req_011CajDcuJnE5gpPboS94xUE
1777974883,,3,857,0,857,31761,271,0.018744,,,,53,req_011CajDhcpyKqRF1Mn5Mwmtk
1777974914,,1,701,0,701,32618,1307,0.033599,,,,57,req_011CajDi8Aab6HWiHwAX4CDv
1777974997,,1,1379,0,1379,33319,139,0.020358,,,,60,req_011CajDrDDA8aBmyvAUMnxWp
1777975106,,1,23870,0,23870,10995,97,0.147977,,,heuristic_resume,62,req_011CajDzGz6VXbCVDT61ssNA
1777975137,,1,167,0,167,34865,114,0.013175,,,,64,req_011CajE2dTwtFM2E8o75Db3Q
1777975164,,1,214,0,214,35032,347,0.017002,,,,68,req_011CajE4FUfmaZPUCgYB8MN7
1777975194,,1,429,0,429,35246,590,0.022001,,,,72,req_011CajE6DTBhzX3GpYQXmsLu
1777975222,,1,714,0,714,35675,162,0.01742,1777975200,,,78,req_011CajE8q48J8tdW4xhsiW6U
1777975227,,1,1053,0,1053,36389,284,0.021498,,,,84,req_011CajE96K9eSH4P5sAzyadD
1777975230,,1,473,0,473,37442,107,0.015679,,,,86,req_011CajE9R23WWvmBCQRuPS43
1777975257,,1,153,0,153,37915,226,0.015686,,,,88,req_011CajEBC1WXnyQbFRs2cpWL
1778037789,,3,27846,0,27846,10995,690,0.180734,1778036400,,heuristic_resume,99,req_011Cakbe9g4rrFoix9W5fb5J
1778037801,,1,1404,0,1404,38841,462,0.027009,,,,101,req_011CakbfSuBUVGVJnDYdMVjn
1778037946,,0,0,0,0,0,0,0,,,model_change,106,
1778037961,,3,29981,0,29981,10995,159,0.185579,,,heuristic_resume,112,req_011CakbsSgNcNSVkoGHJP7oP
1778037965,,1,1295,0,1295,40976,112,0.021746,,,,115,req_011Cakbt1kDJhKCTALgsGdSL
1778037995,,1,290,0,290,42271,240,0.018024,,,,117,req_011CakbuvfRPM5r2aYYSAsYt
1778509020,,3,44497,0,44497,0,225,0.270366,1778508000,,heuristic_resume,127,req_011CavvZCmxhuVpiSqWGArFF
1778509025,,1,4323,0,4323,44497,152,0.04157,,,,131,req_011CavvZf4GCbQ1UkE64mSWM
1778509030,,1,590,0,590,48820,203,0.021234,,,,134,req_011CavvZyMLudNbBbPL2RHJA
1778509045,,1,255,0,255,49410,86,0.017646,,,,136,req_011CavvbCUuAzYowZUDnmN3Q
1778509233,,1,292,0,292,49665,129,0.01859,,,,138,req_011Cavvq3AhrLroS9ZNnf4rw
1778509237,,1,675,0,675,49957,243,0.022685,,,,142,req_011CavvqJqXsvjrdNR18GYcx
1778509581,,1,372,0,372,50632,990,0.032275,,,,145,req_011CavwFnzrrMTFBhyPReuCF
1778509602,,1,1053,0,1053,51004,725,0.032497,,,,149,req_011CavwHFJvz4zBAuDHnXEPn
1778509606,,1,1760,0,1760,52057,108,0.0278,,,,153,req_011CavwJYgE4GzyUyFNdshyr
1778509645,,1,1867,0,1867,53817,2873,0.070445,,,,157,req_011CavwJrscAqKb3GGBBKMRD
1778509656,,1,2931,0,2931,55684,273,0.038389,,,,162,req_011CavwMuZRePVhvSDBhMQKo
1778509662,,1,338,0,338,58615,219,0.022901,,,,165,req_011CavwNf73XyHXpTksATbb4
1778509676,,1,282,0,282,58953,239,0.022966,,,,168,req_011CavwPYePJgvzKds5si2FE
1778509687,,1,413,0,413,59235,293,0.024647,,,,172,req_011CavwQ9RAcUAudVzuYf1LJ
1778509693,,1,356,0,356,59648,152,0.022313,,,,175,req_011CavwQuyZ9WdFtJa5d3PLC
1778509696,,1,430,0,430,60004,153,0.022879,,,,177,req_011CavwRCwmpopUtQkcKrY65
