ts,model,input,cc,cc5m,cc1h,cr,out,cost,win,rl,evt,line,req
1775023027,claude-haiku-4-5-20251001,10,41571,41571,0,0,318,0.053564,1775019600,,heuristic_resume,6,msg_vrtx_01TQyvFN1dCh4nM2d3CCo287
1775023035,,14,367,367,0,41571,118,0.00522,,,,9,msg_vrtx_01HNHBAR9Utk4qFGjRPChrAv
1775023043,,13,201,201,0,41938,223,0.005573,,,,12,msg_vrtx_01Tbn1QqhswV6tETUoJ6Jvh2
1775023048,,13,256,256,0,42139,168,0.005387,,,,15,msg_vrtx_013Q8jEk1PQAegQMR5UE76k5
1775023064,,13,8092,8092,0,42395,764,0.018188,,,,19,msg_vrtx_01BvKduGimRJ87pEPunqmr4q
1775023071,,13,1622,1622,0,50487,483,0.009504,,,,23,msg_vrtx_01QvJxXCKF5nmLNjsXhVZsxt
1775023077,,12,1301,1301,0,52109,190,0.007799,,,,27,msg_vrtx_01XtQ3oXcGzYQdw7y5NVYapT
1775023083,,11,310,310,0,53410,1,0.005745,,,,30,msg_vrtx_01DDCXpEP7SBSYaaVuX6Rtf6
1775023093,,11,900,900,0,53720,3,0.006523,,,,34,msg_vrtx_01NRnP93uhp7yrgLtC7S9CvM
1775023099,,12,526,526,0,54620,125,0.006757,,,,37,msg_vrtx_01K64ybD5RG3coFE2EsPS8yh
1775023105,,11,316,316,0,55146,192,0.006881,,,,40,msg_vrtx_0113DHRgp7pQ7tKcDiTTNYq3
1775023122,,11,323,323,0,55462,941,0.010666,,,,44,msg_vrtx_01KfB1knbHjg5DMe22RsAyNC
1775023135,,11,1021,1021,0,55785,638,0.010056,,,,47,msg_vrtx_01R6zG9nCTe5Ry7WPCcaDA3a
1775024191,,10,54589,54589,0,0,228,0.069386,1775023200,,heuristic_resume,52,msg_vrtx_01SeUCBhQkDosFT5zzr6MZr4
1775024206,,13,2320,2320,0,54589,275,0.009747,,,,55,msg_vrtx_01XG2EBU6wdmDtRjGQxdfDi7
1775024210,,13,1506,1506,0,56909,205,0.008611,,,,58,msg_vrtx_01LSVsZnHAKeADaASN1TWHLy
1775024217,,12,1002,1002,0,58415,321,0.008711,,,,61,msg_vrtx_01SRS3geTkSYHzcDm7CChn7F
1775024220,,12,882,882,0,59417,1,0.007061,,,,64,msg_vrtx_01W2Ba9jSkPofECABq8aomVX
1777183514,claude-sonnet-4-6,3,36467,0,36467,10604,444,0.228652,1777183200,,heuristic_resume,73,req_011CaRsvFx5mRwioy1uv2UA7
1777183546,,59,569,0,569,47071,213,0.020907,,,,80,req_011CaRsxx87QYxsRR2o4QZBx
1777183558,,1,9170,0,9170,47640,687,0.07962,,,,97,req_011CaRsyEBVxxmmKZF6RLkXM
1777183564,,1,1756,0,1756,56810,324,0.032442,,,,103,req_011CaRsz8AdaYuTaCKs69xHp
1777183584,,1,4248,0,4248,58566,1175,0.060686,,,,109,req_011CaRszXvd3kkFxG3PotFdS
1777183658,,1,3242,0,3242,62814,3860,0.096199,,,,112,req_011CaRt23tTiRpasAJe9ooAi
