ts,model,input,cc,cc5m,cc1h,cr,out,cost,win,rl,evt,line,req
1779264502,,0,0,0,0,0,0,0,1779264000,,clear,3,
1779264529,claude-sonnet-4-6,3,16198,0,16198,12725,141,0.10313,,,heuristic_resume,13,req_011CbDUmCYw2WivdHAXfqLUX
1779264532,,3,662,0,662,28923,170,0.015208,,,,16,req_011CbDUmSyrSGyTLwwMLNkmG
1779264548,,1,878,0,878,29585,219,0.017432,,,,20,req_011CbDUnZH9W4rP7CmRLL27b
1779264554,,1,240,0,240,30463,115,0.012307,,,,25,req_011CbDUo3fwjABRg5YBhLtvQ
1779264557,,1,136,0,136,30703,97,0.011485,,,,27,req_011CbDUoNotLBXzkA17Pa8Uu
1779264567,,1,193,0,193,30839,106,0.012003,,,,29,req_011CbDUon3NgvcgYHX7Rzp2p
1779264587,,1,153,0,153,31032,109,0.011866,,,,31,req_011CbDUqZEVmzcPmdpzYmnFE
1779264592,,1,230,0,230,31185,132,0.012719,,,,35,req_011CbDUqteJhGGnbZJY98DkZ
1779264654,,1,1891,0,1891,31415,468,0.027794,,,,37,req_011CbDUuy55Cp4iLU7ULrG77
1779264722,,3,498,0,498,33306,1152,0.030269,,,,43,req_011CbDUypr5GKfLnvTfRUgLq
1779264748,,3,1160,0,1160,33804,157,0.019465,,,,51,req_011CbDV3Jdzs8Z4Afrrv9ajF
1779264751,,1,528,0,528,34964,107,0.015265,,,,53,req_011CbDV3ak7zjn6FWGmhqkVo
1779264789,,1,689,0,689,35492,1815,0.04201,,,,55,req_011CbDV46vKvwiKES4AaYpFZ
1779264792,,1,1890,0,1890,36181,109,0.023832,,,,59,req_011CbDV6dH1EgQM7aagbEatr
1779264797,,1,288,0,288,38071,258,0.017022,,,,62,req_011CbDV6tjBZ6mXfVDs8mbiy
1779264801,,1,435,0,435,38359,124,0.015981,,,,67,req_011CbDV7DWYCrWE3rtRKDudx
