ts,model,input,cc,cc5m,cc1h,cr,out,cost,win,rl,evt,line,req
1777988921,,0,0,0,0,0,0,0,1777986000,,clear,3,
1777988937,,0,0,0,0,0,0,0,,,model_change,7,
1777988943,claude-sonnet-4-6,3,15078,0,15078,10995,236,0.097316,,,heuristic_resume,18,req_011CajXaBFyuxaU1imwVREgF
1777988945,,1,910,0,910,26073,129,0.01522,,,,22,req_011CajXaX75hVJS3PT7f2RYU
1777988951,,1,3491,0,3491,26983,179,0.031729,,,,28,req_011CajXagRAsEMSVGRpG4txe
1777988954,,1,1757,0,1757,30474,143,0.021832,,,,32,req_011CajXb5k7w7pwRrondnrxw
1777988957,,1,2649,0,2649,32231,132,0.027546,,,,36,req_011CajXbKLggzKvZu1k4jFcE
1777988962,,1,19647,0,19647,34880,242,0.131979,,,heuristic_resume,45,req_011CajXbZ1xPoNhk2fUnpvcU
1777988966,,1,368,0,368,54527,147,0.020774,,,,48,req_011CajXbwUpJGex56qcMrirK
1777988969,,1,429,0,429,54895,176,0.021686,,,,52,req_011CajXcDZwo8evVRfTJDRN9
1777989044,,1,574,0,574,55324,4119,0.081829,,,,57,req_011CajXcSCiSNg2TXfXWumDa
1777989059,,1,4151,0,4151,55898,680,0.051878,,,,60,req_011CajXi4e6HeHsCfVUdN3e1
1777989075,,1,822,0,822,60049,732,0.03393,,,,63,req_011CajXjB1boU6o5Pc5Gg1wR
1777989091,,1,764,0,764,60871,827,0.035253,,,,65,req_011CajXkMG2b8GM1GQQKdVoo
1777989110,,1,859,0,859,61635,905,0.037223,,,,67,req_011CajXmZHcKcH2N322nwJne
1777989129,,1,937,0,937,62494,855,0.037198,,,,69,req_011CajXnykYqWW5RUCX4SpJo
1777989144,,1,887,0,887,63431,667,0.034359,,,,71,req_011CajXpMXm1NQdpdAfyAwac
1778025797,,0,0,0,0,0,0,0,1778025600,,model_change,77,
1778025822,,3,54188,0,54188,10995,670,0.338486,,,heuristic_resume,85,req_011CakLS62xPa5Ent36FinH2
1778025840,,1,715,0,715,65183,648,0.033568,,,,87,req_011CakLTJY4ggbzwkuUyhDtJ
1778025859,,1,680,0,680,65898,768,0.035372,,,,89,req_011CakLUbvrTTsRTJsRJ36pT
1778025881,,1,800,0,800,66578,887,0.038081,,,,91,req_011CakLW13SCxQX3M6v9kevD
1778025900,,1,1029,0,1029,67378,822,0.03872,,,,94,req_011CakLXVRWy5CicLb3sxV1J
1778025920,,1,854,0,854,68407,796,0.037589,,,,96,req_011CakLYzaV3ceZHz73XoBgK
1778025929,,1,828,0,828,69261,304,0.030309,,,,98,req_011CakLaP8q1XLTJvM8dGdsM
1778026165,,0,0,0,0,0,0,0,,,model_change,105,
1778026179,,3,59548,0,59548,10995,350,0.365846,,,heuristic_resume,113,req_011CakLtcdC6czzpdpAPX8r8
1778026203,,1,2824,0,2824,70543,1307,0.057715,,,,117,req_011CakLuRpb6guGpQQHHmxQk
1778026209,,1,1378,0,1378,73367,150,0.032531,,,,122,req_011CakLwBK1md9sxSRMvQjZQ
1778026214,,1,224,0,224,74745,203,0.026816,,,,125,req_011CakLwaSp6HNFW1Y8s2Vug
1778026224,,1,369,0,369,74969,450,0.031458,,,,129,req_011CakLww4J52TvLPEwFkT8t
1778026275,,1,508,0,508,75338,116,0.027392,,,,133,req_011CakM1r9Urj6CwghL7uHWw
1778026280,,1,187,0,187,75846,232,0.027359,,,,136,req_011CakM2TJaW58ZiHKnr9DFJ
1778026352,,1,288,0,288,76033,212,0.027721,,,,138,req_011CakM7poYJyKjpuLc9zLFa
