ts,model,input,cc,cc5m,cc1h,cr,out,cost,win,rl,evt,line,req
1779062263,,0,0,0,0,0,0,0,1779058800,,clear,3,
1779062280,,0,0,0,0,0,0,0,,,model_change,7,
1779062327,claude-opus-4-7,6,38651,0,38651,0,1256,0.41794,,,heuristic_resume,19,req_011Cb93khFtN1rh2qmiVijXp
1779062527,,1,8975,0,8975,38651,1608,0.149281,1779062400,,,27,req_011Cb93zcodd77miaBivz2MQ
1779062690,,1,3335,0,3335,47626,2305,0.114793,,,,31,req_011Cb94AHBCxfAi7Moh8UPKY
1779062860,,1,2430,0,2430,50961,6000,0.199786,,,,38,req_011Cb94LGoudoGNL9sC6Fto5
1779062863,,1,6071,0,6071,53391,98,0.089861,,,,41,req_011Cb94TbTmaUPg2Q1ft5mDu
1779062866,,6,60733,0,60733,0,47,0.608535,,,cost_warn|heuristic_resume,44,req_011Cb94TodFqicnhCKwFH1Nu
1779062899,claude-sonnet-4-6,1,37214,0,37214,12512,364,0.232501,,,heuristic_resume,60,req_011Cb94VxHxmGmcXy4FwZ8dt
1779062905,,1,4598,0,4598,49726,274,0.046619,,,,72,req_011Cb94WUNxguuygPh3mwLsG
1779062910,,1,2521,0,2521,54324,261,0.035341,,,,78,req_011Cb94WsVkwViosQa1k1kuP
1779062914,,1,1349,0,1349,56845,141,0.027266,,,,88,req_011Cb94XHvgtQpLBAywU71kb
1779063095,,1,1472,0,1472,58194,12494,0.213703,,,,92,req_011Cb94XWtYnzFe2uqT5PsvL
1779063102,,1,12546,0,12546,59666,327,0.098084,,,heuristic_resume,101,req_011Cb94kuh7KK8BhT9mbKFWy
1779063106,,1,488,0,488,72212,150,0.026845,,,,104,req_011Cb94mTFuoymqrdiMPFdTP
1779063110,,1,212,0,212,72700,200,0.026085,,,,106,req_011Cb94mhjZ3Nr1Ygg1kXSvK
1779063113,,1,273,0,273,72912,130,0.025465,,,,108,req_011Cb94n3SDgPznwZb4CiMcU
1779063123,,1,254,0,254,73185,348,0.028703,,,,112,req_011Cb94nEjciMUMhaY1C4ZZj
1779063291,,3,386,0,386,73439,634,0.033867,,,,118,req_011Cb94zFPQ1XsAB9WpZjxj5
