ts,model,input,cc,cc5m,cc1h,cr,out,cost,win,rl,evt,line,req
1777981419,,0,0,0,0,0,0,0,1777978800,,clear,3,
1777981445,claude-sonnet-4-6,3,15031,0,15031,10995,228,0.096914,,,heuristic_resume,14,req_011CajN3V7N5WzRGmi9pZoR8
1777981453,,1,19280,0,19280,26026,252,0.127271,,,heuristic_resume,22,req_011CajN3rWEQjyzPoHz3fWHL
1777981474,,1,3130,0,3130,45306,936,0.046415,,,,25,req_011CajN4QiyTMuYvT3QZWXcR
1777983474,,3,2088,0,2088,48436,123,0.028913,1777982400,,,33,req_011CajQd4uWn3kgDkw8XYBHP
1777983496,,3,1381,0,1381,50524,1298,0.042922,,,,36,req_011CajQdN2eqU1CH2UbBcoV4
1777983634,,1,2777,0,2777,51905,362,0.037667,,,,44,req_011CajQpbruKLZbT2dHVvhua
1777983638,,1,3196,0,3196,54682,230,0.039034,,,,52,req_011CajQq8XsnjfbzJ5DsLCgm
1777983642,,1,2169,0,2169,57878,150,0.03263,,,,56,req_011CajQqUtVLK888QeKTq8gR
1777983735,,1,1976,0,1976,60047,5153,0.107168,,,,60,req_011CajQqiNbhWwwtyTVZXkyT
1777984181,,3,5206,0,5206,62023,703,0.060397,,,,82,req_011CajRWKzYFsEVAbUzYyLTA
1777984186,,1,2559,0,2559,67229,322,0.040356,,,,91,req_011CajRXTgRSkaP5FZoMGA8b
1777984190,,1,2399,0,2399,69788,246,0.039023,,,,98,req_011CajRXsc6Q2BV7qEvfQQrx
1777984194,,1,4076,0,4076,72187,165,0.04859,,,,103,req_011CajRYBeJ5vuM9aiM97p8A
1777984200,,1,3382,0,3382,76263,289,0.047509,,,,111,req_011CajRYT8iJTqfbLoynLHnr
1777984212,,1,4344,0,4344,79645,787,0.061766,,,,126,req_011CajRYtWC3ZTP5b33VGzi7
1777984219,,1,6966,0,6966,83989,465,0.073971,,,,140,req_011CajRZnSLpXWeZG8oa1xmk
1777984224,,1,2646,0,2646,90955,313,0.047861,,,,148,req_011CajRaJS92vavozpC9Hhjp
1777984295,,1,2313,0,2313,93601,6554,0.140271,,,,154,req_011CajRagdNqGiH53xssyCxF
1777984307,,1,6891,0,6891,95914,819,0.082408,,,,158,req_011CajRfsLgm3PLDo2M5GcC6
