ts,model,input,cc,cc5m,cc1h,cr,out,cost,win,rl,evt,line,req
1778048259,claude-sonnet-4-6,3,13167,0,13167,10995,234,0.08582,1778047200,,heuristic_resume,10,req_011CakpxDpsJz2ZkMW7UVrW2
1778048264,,1,313,0,313,24162,182,0.01186,,,,13,req_011Cakpy5AVkzCGjBVji9njz
1778048267,,1,197,0,197,24475,108,0.010148,,,,16,req_011CakpyPy64jnF31dApAWLB
1778048282,,3,1364,0,1364,24672,919,0.02938,,,,19,req_011CakpydrG2qbB1KvLdCjhX
1778048361,,1,2349,0,2349,26036,470,0.028958,,,,26,req_011Cakq5oe3h8AfuCA4obEFV
1778048974,,1,488,0,488,28385,1105,0.028022,,,,29,req_011Cakqqd8VqJiRqEfKzchXv
1778048999,,1,1157,0,1157,28873,512,0.023287,,,,31,req_011CakqtcTu9ZasVxXq52Mds
1778049016,,1,678,0,678,30030,543,0.021225,,,,35,req_011CakqujUrKQD6RncCyvAap
1778049024,,1,605,0,605,30708,140,0.014945,,,,42,req_011Cakqw9JLwYL9exLfeLA9V
1778049038,,1,158,0,158,31313,410,0.016495,,,,44,req_011CakqwpSK6JRhSAU9Nknqj
1778049044,,1,478,0,478,31471,145,0.014487,,,,47,req_011CakqxaMzz3nCMk1Bue7qg
1778049051,,1,210,0,210,31949,296,0.015288,,,,51,req_011CakqxrAX2t2esgTzmytAj
1778049060,,1,352,0,352,32159,299,0.016248,,,,53,req_011CakqyXHyzm8kxnv4HtR39
1778049872,,3,691,0,691,32511,136,0.015948,,,,62,req_011Caks1ammE4FWNxPNp49KV
1778049888,,1,1342,0,1342,33202,675,0.028141,,,,69,req_011Caks1sZZ7ZZCLkAwLThN2
1778050018,,1,838,0,838,34544,138,0.017464,,,,73,req_011CaksCApugcSdutumfYUAE
1778050552,,0,0,0,0,0,0,0,,,model_change,78,
1778050634,,3,341,0,341,35382,189,0.015505,,,,85,req_011Caksyk89AYqWwB2LyCx4C
1778050639,,3,1801,0,1801,35723,182,0.024262,,,,88,req_011Caksz5D71aySP1s1U7A1w
1778050680,,1,1729,0,1729,37524,300,0.026134,,,,96,req_011Cakt2zrFQ2fhoj4S82r2P
1778050707,,1,2676,0,2676,39253,253,0.03163,,,,100,req_011Cakt51z1wajG7NC6a1Soa
1778050730,,1,2324,0,2324,41929,281,0.030741,,,,108,req_011Cakt6Z64hZzbLVWyknEZz
1778050743,,1,1119,0,1119,44253,186,0.022783,,,,112,req_011Cakt7juU4y64jX482gWzM
1778050759,,1,1656,0,1656,45372,208,0.026671,,,,116,req_011Cakt8yeUySibUECAKaJkS
