ts,model,input,cc,cc5m,cc1h,cr,out,cost,win,rl,evt,line,req
1779178112,,0,0,0,0,0,0,0,1779177600,,clear,5,
1779178120,,0,0,0,0,0,0,0,,,model_change,9,
1779178139,,0,0,0,0,0,0,0,,,model_change,13,
1779178184,claude-opus-4-7,6,23180,0,23180,17766,766,0.259863,,,heuristic_resume,23,req_011CbBb1WJ7EvG7w7BNZC1CP
1779178299,,1,3160,0,3160,40946,169,0.056303,,,,30,req_011CbBbAg9wSQvGCGrBDeWp4
1779178346,,1,6199,0,6199,44106,2646,0.150198,,,,37,req_011CbBbB4CzfLFNxPjNeY7HV
1779178489,,1,4219,0,4219,50305,6640,0.233348,,,,42,req_011CbBbJnoGgugVUeBSk2vow
1779178493,,1,6709,0,6709,54524,98,0.096807,,,,47,req_011CbBbR9nVhSyqCtPqkCR32
1779178683,,6,62361,0,62361,0,47,0.624815,,,cost_warn|heuristic_resume,57,req_011CbBbeRpWcP9QRqABdDwkb
1779178754,claude-sonnet-4-6,1,38278,0,38278,12725,955,0.247814,,,heuristic_resume,68,req_011CbBbjVh51x9xfNbTsEUER
1779178759,,1526,1186,0,1186,51003,209,0.03013,,,,76,req_011CbBbkehakdAtpPawasUr3
1779178795,,1,2893,0,2893,52189,2569,0.071553,,,,87,req_011CbBbkzNkum87skwT2ZNAB
1779178807,,1,2757,0,2757,55082,772,0.04465,,,,90,req_011CbBbocRVN7gWb5J6gc5bH
1779178813,,1,830,0,830,57839,481,0.02955,,,,92,req_011CbBbpWmSsMny6CjSdNx5K
1779178828,,1,539,0,539,58669,896,0.034278,,,,102,req_011CbBbpxgvA2Jm5FdHVEZvs
1779178832,,1,1146,0,1146,59208,129,0.026576,,,,107,req_011CbBbr3qGMS5QDqNtLt8Tk
1779178854,,1,147,0,147,60354,1663,0.043936,,,,121,req_011CbBbrLpU2mUMs1whqtt8V
1779178878,,1,2059,0,2059,60501,2242,0.064137,,,,182,req_011CbBbt1aPH8p54THyoh8L7
1779178888,,1,53445,0,53445,12725,465,0.331466,,,heuristic_resume,189,req_011CbBbuncLWPytdC7w1QqzY
1779237393,,3,67357,0,67357,12725,13381,0.608684,1779235200,,cost_warn|heuristic_resume,240,req_011CbCt5DoGTFRUwXYJj6NCK
1779237402,,1,16184,0,16184,80082,541,0.129247,,,heuristic_resume,260,req_011CbCtHCQ26Xj9A1RLRxo7u
1779237439,,324,2696,0,2696,96266,3719,0.101813,,,,296,req_011CbCtHqFZVHchY31QC47G9
1779237446,,1,92004,0,92004,12725,246,0.559535,,,cost_warn|heuristic_resume,303,req_011CbCtLZSPVAZD4RbRSFPrN
