ts,model,input,cc,cc5m,cc1h,cr,out,cost,win,rl,evt,line,req
1778240838,,0,0,0,0,0,0,0,1778238000,,clear,3,
1778240870,claude-sonnet-4-6,3,16426,0,16426,11988,188,0.104981,,,heuristic_resume,23,req_011Caq3ku1znDbnGsFvwGDm2
1778240872,,1,864,0,864,28414,138,0.015781,,,,29,req_011Caq3m8KhD1t2vG9STYnu5
1778240874,,1,1352,0,1352,29278,90,0.018248,,,,31,req_011Caq3mJaaoKVKpupDRLrmC
1778240877,,1,289,0,289,30630,134,0.012936,,,,34,req_011Caq3mSwNkfKFpog7vdQ7H
1778240880,,1,4619,0,4619,30919,196,0.039933,,,,41,req_011Caq3mdDWTLK5fRegVSrqg
1778240891,,1,1711,0,1711,35538,615,0.030155,,,,47,req_011Caq3muRaXhyJzBDzSpfvN
1778240896,,1,860,0,860,37249,297,0.020793,,,,50,req_011Caq3ng99ghTq3ePdDv5en
1778240950,,1,314,0,314,38109,1204,0.03138,,,,54,req_011Caq3qZF124CKDTQnveY4S
1778240958,,1,1233,0,1233,38423,473,0.026023,,,,58,req_011Caq3s6agmrVpJMqQeq47W
1778240977,,1,503,0,503,39656,692,0.025298,,,,60,req_011Caq3sk7uPU7Xjng1NUTuA
1778240990,,1,722,0,722,40159,673,0.026478,,,,62,req_011Caq3u8ycCpjh8wDp3V1qJ
1778241004,,1,703,0,703,40881,803,0.02853,,,,64,req_011Caq3v4x3EndE6VJJy1cKD
1778241017,,1,833,0,833,41584,610,0.026626,,,,66,req_011Caq3w6NQAiGsHBrWeuPgx
1778241361,,3,729,0,729,42417,1371,0.037673,,,,75,req_011Caq4MohzCP4ZJpkopTCP2
1778241402,,1,2758,0,2758,43146,348,0.034715,,,,83,req_011Caq4RviXVbjHiBP3Po3oV
1778241406,,1,9300,0,9300,45904,188,0.072394,,,,88,req_011Caq4SMnuE7keW5Q6e9X9X
1778241412,,1,1306,0,1306,55204,405,0.030475,,,,93,req_011Caq4SdyVGUMdddYVuHTtv
1778241418,,1,481,0,481,56510,398,0.025812,,,,95,req_011Caq4T85B6d384QfCsR4mc
1778241433,,1,474,0,474,56991,912,0.033624,,,,99,req_011Caq4TYHTY3Zj6DnbCsykX
1778241436,,1,1080,0,1080,57465,152,0.026003,,,,104,req_011Caq4UfkhYWKVtuSpsFKbX
1778241442,,1,209,0,209,58545,414,0.025031,,,,106,req_011Caq4UrTdG66bKkVvGCRkr
1778241445,,1,471,0,471,58754,133,0.02245,,,,109,req_011Caq4VJqt8QMYBp6weAjSn
1778241459,,1,134,0,134,59225,137,0.02063,,,,111,req_011Caq4WM381uJ5cBa9r3GbS
1778241498,,1,193,0,193,59359,154,0.021279,,,,115,req_011Caq4ZGKwH9zVs6ZeKTqMX
1778241509,,1,229,0,229,59552,269,0.023278,,,,117,req_011Caq4ZvFitUsgTJUj1qAHF
1778241607,,3,277,0,277,59781,187,0.02241,1778241600,,,123,req_011Caq4hA2td78TMWBKWFrVT
1778241609,,1,460,0,460,60058,167,0.023285,,,,126,req_011Caq4hT5KPByRYo97j5Dez
1778241612,,1,243,0,243,60518,140,0.021716,,,,128,req_011Caq4he3NcN1FZDMncPNRz
1778241631,,1,304,0,304,60761,92,0.021435,,,,131,req_011Caq4j1RGsBoZoXvSmHDFD
1778241648,,1,239,0,239,61065,81,0.020972,,,,133,req_011Caq4kKvnXh7FU6AJCuZwc
1778241653,,1,151,0,151,61304,96,0.02074,,,,135,req_011Caq4kiXLHZMq2U4FEiRzA
1778241659,,1,153,0,153,61455,151,0.021623,,,,138,req_011Caq4m4py2qsAtziDUjGuW
1778241675,,1,410,0,410,61608,87,0.02225,,,,140,req_011Caq4nKtN4C9BrfPNTLVg9
1778241682,,1,100,0,100,62018,197,0.022163,,,,145,req_011Caq4nhDzwpyhq1C2zYUJU
1778241688,,1,234,0,234,62118,110,0.021692,,,,147,req_011Caq4o9fEKx5RekSsYDP61
1778241767,,3,118,0,118,62352,328,0.024343,,,,153,req_011Caq4tjkUHLsv51xZ4V8QG
1778241797,,1,462,0,462,62470,96,0.022956,,,,156,req_011Caq4w3XcQHELjQ8ehua8m
1778241812,,1,186,0,186,62932,1066,0.035989,,,,160,req_011Caq4wSZwduupqcBfaN23K
1778241815,,1,1081,0,1081,63118,150,0.027674,,,,163,req_011Caq4xaxzdmpMQDesE7Q4v
1778241819,,1,202,0,202,64199,193,0.02337,,,,165,req_011Caq4xpExf6ugrYHaUBr3R
1778241825,,1,240,0,240,64401,93,0.022158,,,,167,req_011Caq4yHoQgMsHEAYfwGGjd
1778241838,,1,138,0,138,64641,648,0.029943,,,,169,req_011Caq4yo8GUeX43cbBJEejr
1778242274,,3,678,0,678,64779,230,0.026961,,,,179,req_011Caq5YGoYgcJsJSxxXeeu8
1778242278,,1,867,0,867,65457,100,0.026342,,,,181,req_011Caq5YjHFc31jfXSNYvRNz
1778242311,,1,457,0,457,66324,260,0.026542,,,,186,req_011Caq5aJTKfchpuWRNy47m2
1778242317,,1,2535,0,2535,66781,244,0.038907,,,,191,req_011Caq5bUfWpURbZAuy5wgvo
1778242327,,2,3382,0,3382,69316,170,0.043643,,,,198,req_011Caq5bqXdW4YcUNtAyV5bT
1778242335,,1,186,0,186,72698,443,0.029573,,,,202,req_011Caq5cYJpA2T2JjcD3CkfA
1778242350,,1,1888,0,1888,72884,409,0.039331,,,,206,req_011Caq5dkK9nwnDUEDuorVir
1778242356,,1,427,0,427,74772,88,0.026317,,,,208,req_011Caq5eWdfTUptBoHL5WNaP
1778242371,,1,439,0,439,75199,646,0.034887,,,,213,req_011Caq5f1MZGaboN7sxNtFEp
1778242379,,1,677,0,677,75638,93,0.028151,,,,217,req_011Caq5gDVqQ6jRxhfci5UCF
1778242386,,1,111,0,111,76315,100,0.025064,,,,219,req_011Caq5gfNagRcR4ey5qRQmg
1778242395,,1,212,0,212,76426,254,0.028013,,,,223,req_011Caq5hAjfnXvsewM6JL4NE
1778242406,,1,427,0,427,76638,549,0.033791,,,,227,req_011Caq5hkQy4AXftk9bMbBtb
1778242420,,1,709,0,709,77065,373,0.032972,,,,231,req_011Caq5ifT6fri1rh8zMUu8m
1778242423,,1,557,0,557,77774,159,0.029062,,,,234,req_011Caq5jQo56Qir9tDySYPva
1778242429,,1,245,0,245,78331,103,0.026517,,,,236,req_011Caq5jtp3m8Q9epYRvrhXq
1778242468,,1,2057,0,2057,78576,181,0.038633,,,,241,req_011Caq5nWKXxpC1BDXJ3XWBm
