ts,model,input,cc,cc5m,cc1h,cr,out,cost,win,rl,evt,line,req
1778468406,,0,0,0,0,0,0,0,1778468400,,clear,5,
1778468453,,0,0,0,0,0,0,0,,,model_change,9,
1778468495,claude-opus-4-7,6,39536,0,39536,0,191,0.400165,,,heuristic_resume,19,req_011Cav346wihG88SP9LS9c1g
1778468500,,1,2215,0,2215,39536,145,0.045548,,,,25,req_011Cav34S5QZkCxduqNQ7QjU
1778468502,,1,1498,0,1498,41751,103,0.038436,,,,27,req_011Cav34i3qvHUb29zuuUrk5
1778468505,,1,188,0,188,43249,151,0.027285,,,,29,req_011Cav34siWrmTKpZ3AyLYdZ
1778468509,,1,265,0,265,43437,153,0.028199,,,,31,req_011Cav355LWezkcjXCU9XTbc
1778468673,,1,170,0,170,43702,99,0.026031,,,,33,req_011Cav3HFYm3UK9uWDPb7DoC
1778468694,,1,3421,0,3421,43872,1651,0.097426,,,,40,req_011Cav3HTikHFJFHwKDUZmYN
1778468849,,1,3216,0,3216,47293,567,0.069987,,,,43,req_011Cav3VdQFF5bd1ko54U1wR
1778468874,,1,2088,0,2088,50509,1598,0.08609,,,,47,req_011Cav3WTJoM6peVDupq2kiT
1778468911,,1,1875,0,1875,52597,177,0.049479,,,,54,req_011Cav3aQbCTxLqrcupPzpCp
1778468947,,1,574,0,574,54472,2372,0.092281,,,,57,req_011Cav3b2L2JRYRjX3j3Wdou
1778468950,,1,2436,0,2436,55046,98,0.054338,,,,59,req_011Cav3dg6gxsYSSRmCYbdRJ
1778468956,,6,58610,0,58610,0,47,0.587305,,,cost_warn|heuristic_resume,61,req_011Cav3dsDg61iGLuaC6GTE3
1778469139,claude-sonnet-4-6,1,46920,0,46920,0,198,0.284493,,,heuristic_resume,71,req_011Cav3sVS8eQrnMcjuV5D2t
1778469145,,1,375,0,375,46920,263,0.020274,,,,73,req_011Cav3ss9M1884FQ63oJphU
1778469300,,1,740,0,740,47295,2814,0.060842,,,,79,req_011Cav43HoRR43qxujn6CMHv
1778469814,,3,2882,0,2882,48035,290,0.036062,,,,87,req_011Cav4izj7nvGJJi4bAeoDX
1778469820,,1,357,0,357,50917,275,0.021545,,,,89,req_011Cav4jdPWL7t5rGF31DX1g
1778469826,,1,1213,0,1213,51274,248,0.026383,,,,97,req_011Cav4k1mA57irFYjagsFwK
1778469831,,1,334,0,334,52487,221,0.021068,,,,100,req_011Cav4kSrGo2jMyCaxeRF7Y
1778469835,,1,301,0,301,52821,216,0.020895,,,,102,req_011Cav4kp5iVnB6FHCAZ99VK
1778469840,,1,277,0,277,53122,228,0.021022,,,,106,req_011Cav4m9XFxE8UjmS3hvfTe
1778469844,,1,291,0,291,53399,262,0.021699,,,,109,req_011Cav4mVZGhHC2KsEcYhoG2
1778469849,,1,325,0,325,53690,240,0.02166,,,,112,req_011Cav4mpnRBb44JiiSfqcVD
1778469855,,1,301,0,301,54015,260,0.021914,,,,115,req_011Cav4nAQNKXGJanoj6q7kd
1778469859,,1,323,0,323,54316,248,0.021956,,,,122,req_011Cav4nbPY22LAokp8wLGrC
1778469863,,1,315,0,315,54639,238,0.021855,,,,125,req_011Cav4nuRzQ7kciWF1dceCi
1778469868,,1,301,0,301,54954,246,0.021985,,,,128,req_011Cav4oDFYfJC2iUb8xeD7j
1778469872,,1,425,0,425,55255,235,0.022655,,,,132,req_011Cav4oZyEYdndLRyuanCSu
1778469878,,1,303,0,303,55680,202,0.021555,,,,135,req_011Cav4ouKpRRCPHZ5MBtwHk
1778470998,,1,794,0,794,55983,651,0.031327,,,,139,req_011Cav6DpNwoaQqzDgj4EjYb
1778471016,,1,1497,0,1497,56777,1121,0.042833,,,,145,req_011Cav6Et4EeSkYuNP9bkrhd
1778471027,,3,1125,0,1125,58274,273,0.028336,,,,151,req_011Cav6GXyoEbBA6nqqRHcMU
1778471037,,1,306,0,306,59399,200,0.022659,,,,153,req_011Cav6HLyHrXtgg7M1NfpWp
1778471041,,1,265,0,265,59705,231,0.02297,,,,155,req_011Cav6HkZcnHX7wKmGPgQ7t
1778471045,,1,796,0,796,59970,200,0.02577,,,,157,req_011Cav6J2WoyCV4QWn6YPY3i
1778471048,,1,376,0,376,60766,81,0.021704,,,,160,req_011Cav6JLxaJx5wkE3qcascm
1778471051,,1,162,0,162,61142,200,0.022318,,,,163,req_011Cav6JZDmQ1mjWLezs3X4N
1778471054,,1,282,0,282,61304,81,0.021301,,,,165,req_011Cav6JnTFC7Na5HQvqaLCt
1778471057,,1,165,0,165,61586,206,0.022559,,,,171,req_011Cav6Jxr59gi1g33xLqX4o
1778471060,,1,288,0,288,61751,85,0.021531,,,,174,req_011Cav6KFCpjjEDkH3Az6VEn
1778471065,,1,173,0,173,62039,235,0.023178,,,,177,req_011Cav6KSTzQzJUq2mkUTiuT
1778471069,,1,302,0,302,62212,85,0.021754,,,,179,req_011Cav6KnNZdFogvX5Bf6Lcs
1778471074,,1,176,0,176,62514,263,0.023758,,,,182,req_011Cav6L7GNAWrbvC9sfHQGP
1778471076,,1,330,0,330,62690,81,0.022005,,,,184,req_011Cav6LSjtdheBsaWjejipN
1778471081,,1,166,0,166,63020,243,0.02355,,,,187,req_011Cav6Lct615D1GZZfQdeVE
1778471083,,1,417,0,417,63186,85,0.022736,,,,190,req_011Cav6LyTqiV57kKenPMTzz
1778471088,,1,175,0,175,63603,248,0.023854,,,,197,req_011Cav6MAZatSGvi15bCGzt7
1778471091,,1,315,0,315,63778,87,0.022331,,,,199,req_011Cav6MUDU4WMZAV6J7ysN8
1778471095,,1,179,0,179,64093,256,0.024145,,,,202,req_011Cav6Miw1B1nQdx7v3aK7N
1778471104,,1,325,0,325,64272,81,0.02245,,,,204,req_011Cav6N2fMUVYhiaSZRkDmg
1778471108,,1,165,0,165,64597,233,0.023867,,,,207,req_011Cav6NfwCUivrkb4HeE5Aa
1778471111,,1,296,0,296,64762,79,0.022393,,,,209,req_011Cav6NynVQujrooGLbQ322
1778471115,,1,160,0,160,65058,256,0.02432,,,,212,req_011Cav6PCGaR8KBPJACnzUQp
1778471118,,1,317,0,317,65218,85,0.022745,,,,218,req_011Cav6PWSyEQ42HwLEE38r6
1778471122,,1,174,0,174,65535,249,0.024443,,,,221,req_011Cav6PgxVF1kmU5bp2h1Hj
1778471127,,1,427,0,427,65709,173,0.024873,,,,224,req_011Cav6Q2C8LDKUrEByiiGP3
1778471207,,1,212,0,212,66136,163,0.023561,,,,227,req_011Cav6Vts2HUx4rcXWDeWzQ
1778471222,,1,650,0,650,66348,993,0.038702,,,,229,req_011Cav6WGEeYhBqtfQVZ3hbc
1778471232,,3,997,0,997,66998,115,0.027815,,,,235,req_011Cav6Xp56Ro48J4JrXEvyf
1778471234,,1,195,0,195,67995,79,0.022757,,,,237,req_011Cav6Y5aFjhBjuS6Jox9BH
1778471236,,1,158,0,158,68190,82,0.022638,,,,243,req_011Cav6YFVZ3V8uTaGrE4x9s
1778471239,,1,160,0,160,68348,79,0.022652,,,,245,req_011Cav6YRmSA9MC4HRNVhMG2
1778471241,,1,154,0,154,68508,83,0.022724,,,,247,req_011Cav6YcCk51q6ym6EeeVLm
1778471244,,1,166,0,166,68662,84,0.022858,,,,249,req_011Cav6Yo5bHeQ1UfrNcBMhq
1778471247,,1,277,0,277,68828,83,0.023558,,,,252,req_011Cav6YyrV81gASD6QfzQqC
1778471249,,1,167,0,167,69105,81,0.022952,,,,254,req_011Cav6ZBftZsqHdAqjFPaMY
1778471251,,1,162,0,162,69272,81,0.022972,,,,256,req_011Cav6ZNGNcVUPXe4B2SJc2
1778471257,,1,162,0,162,69434,218,0.025075,,,,259,req_011Cav6ZYM6r4wMVo3vonG5R
1778471262,,1,303,0,303,69596,245,0.026375,,,,262,req_011Cav6ZzgsYUGSX7HT9XrNj
1778471269,,1,306,0,306,69899,269,0.026844,,,,265,req_011Cav6aMifLhoq3VzHVCjtY
1778471273,,1,333,0,333,70205,243,0.026708,,,,272,req_011Cav6aoqHupdVdeAXaBNjb
1778471277,,1,304,0,304,70538,231,0.026453,,,,275,req_011Cav6b9C7nJxdTk3VQ5LFV
1778471282,,1,296,0,296,70842,244,0.026692,,,,278,req_011Cav6bSShgMAXKbuQj9SG6
1778471286,,1,310,0,310,71138,233,0.026699,,,,281,req_011Cav6bnhc5b6qGXLAXGDeq
1778471290,,1,409,0,409,71448,219,0.027176,,,,285,req_011Cav6c5arpCrG8KuB37wsu
1778471295,,1,282,0,282,71857,254,0.027062,,,,292,req_011Cav6cQYsqgjB3CZUpJgxM
1778471300,,1,317,0,317,72139,165,0.026022,,,,294,req_011Cav6ckUBoroLmnKkPLKtw
1778471320,,1,204,0,204,72456,170,0.025514,,,,297,req_011Cav6eH5y9TcHBd1ebgtsn
1778471335,,1,647,0,647,72660,850,0.038433,,,,299,req_011Cav6edGAHSV5R9W6ciCBM
1778471369,,3,854,0,854,73307,117,0.02888,,,,305,req_011Cav6hszWjP523SKAbQgVp
1778471373,,1,209,0,209,74161,93,0.0249,,,,307,req_011Cav6iCLaPfsCrFuU8eo6W
1778471377,,1,193,0,193,74370,83,0.024717,,,,313,req_011Cav6iXq6DdEB18H2uPqHp
1778471381,,1,171,0,171,74563,87,0.024703,,,,315,req_011Cav6imKhoN5tB36GLE5fo
1778471385,,1,291,0,291,74734,82,0.025399,,,,318,req_011Cav6j5Hh5bUDC3U5qDy61
1778471389,,1,174,0,174,75025,83,0.0248,,,,320,req_011Cav6jQyNDoEef653imdFz
1778471392,,1,167,0,167,75199,87,0.02487,,,,322,req_011Cav6jfm7iXr9CcuJ7dDKd
1778471397,,1,179,0,179,75366,243,0.027332,,,,325,req_011Cav6jt6mjgWHNfFCuvW3k
1778471406,,1,312,0,312,75545,274,0.028649,,,,328,req_011Cav6kEuAjrN3Swt4paBC6
1778471412,,1,349,0,349,75857,255,0.028679,,,,331,req_011Cav6kuyAV7ezZHQB7X62v
1778471416,,1,320,0,320,76206,237,0.02834,,,,338,req_011Cav6mMSMUH45zYbVHPcoB
1778471428,,1,306,0,306,76526,251,0.028562,,,,341,req_011Cav6mfiwEW14xCJzr1m38
1778471433,,1,315,0,315,76832,249,0.028678,,,,344,req_011Cav6nZ95f6qAzj8bvYXgp
1778471437,,1,314,0,314,77147,250,0.028781,,,,347,req_011Cav6nudNusqLsAR1cbmY7
1778471442,,1,430,0,430,77461,177,0.028476,,,,354,req_011Cav6oFis5TuLwcLwHWnYp
1778471490,,1,216,0,216,77891,249,0.028401,,,,357,req_011Cav6rhTWLKYvoEbLmxb9b
1778471509,,1,931,0,931,78107,1220,0.047321,,,,359,req_011Cav6s93t999WQDVnwAHRN
1778471537,,3,1224,0,1224,79038,112,0.032744,,,,365,req_011Cav6vJCdmbKQmM6cKMsGc
1778471540,,1,196,0,196,80262,83,0.026503,,,,367,req_011Cav6vc5R4xsgWn35uk2LA
1778471543,,1,166,0,166,80458,85,0.026411,,,,369,req_011Cav6votKhDfxTzViSftYD
1778471546,,1,164,0,164,80624,87,0.026479,,,,371,req_011Cav6w1t9BEwEH1Xp6jGGB
1778471549,,1,172,0,172,80788,85,0.026546,,,,377,req_011Cav6wGFatEJvg59G5hbpN
1778471552,,1,167,0,167,80960,86,0.026583,,,,379,req_011Cav6wV6FSBGxzQmWwxskR
1778471554,,1,275,0,275,81127,85,0.027266,,,,382,req_011Cav6wgJhFvucYfZHPLKf7
