ts,model,input,cc,cc5m,cc1h,cr,out,cost,win,rl,evt,line,req
1778116867,,0,0,0,0,0,0,0,1778115600,,clear,3,
1778116888,claude-sonnet-4-6,3,14434,0,14434,11988,522,0.098039,,,heuristic_resume,13,req_011CanLB9kHcq3WMEUAFXTih
1778116922,,1,640,0,640,26422,423,0.018115,,,,16,req_011CanLDwUgaksXndKU7QsnP
1778117065,,3,865,0,865,27062,178,0.015988,,,,23,req_011CanLQfQrR4GkyFv8XVfUT
1778117075,,1,609,0,609,27927,94,0.013445,,,,27,req_011CanLRV33HJgLx6tDyi1yt
1778117079,,1,1928,0,1928,28536,129,0.022067,,,,29,req_011CanLRmJbA5dJZXotwhBaH
1778117082,,1,982,0,982,30464,107,0.016639,,,,31,req_011CanLS3rVmTvw1UBjbGvo6
1778117086,,1,177,0,177,31446,124,0.012359,,,,33,req_011CanLSMY83hTEimfDGKrEM
1778117180,,1,432,0,432,31623,6029,0.102517,,,,40,req_011CanLSodWgLQrSQh8igLMZ
1778117206,,1,6207,0,6207,32055,1835,0.074387,,,,42,req_011CanLZXXq8i3dQnVZbaaWv
1778117238,,1,1896,0,1896,38262,1930,0.051808,,,,47,req_011CanLbddFcK9GJzgjawpvi
1778117241,,1,1993,0,1993,40158,130,0.025958,,,,51,req_011CanLdjhvhrRErnWSPbkqF
1778117248,,1,675,0,675,42151,282,0.020928,,,,54,req_011CanLe7uAjEUGBK2mLEyJV
1778117276,,1,354,0,354,42826,1377,0.03563,,,,59,req_011CanLeTJyUiBHppZkwSsXZ
1778117279,,1,1547,0,1547,43180,114,0.023949,,,,65,req_011CanLgZTs4Qcikssu2ubLp
1778117284,,1,273,0,273,44727,261,0.018974,,,,67,req_011CanLgmShBQNoZyDMTwogX
1778117297,,1,380,0,380,45000,144,0.017943,,,,69,req_011CanLhtBXPP8y7xNYKJU3S
1778117311,,1,223,0,223,45380,87,0.01626,,,,71,req_011CanLive8zbFdRboMxHKnm
1778117319,,1,107,0,107,45603,141,0.016441,,,,73,req_011CanLjNNCidwgwxJn8trCC
1778117329,,1,184,0,184,45710,312,0.0195,,,,75,req_011CanLjvP3WJuSiyn94UT9W
1778117486,,3,324,0,324,45894,111,0.017386,,,,81,req_011CanLwkQr3QXTXra9w9G64
1778117492,,1,480,0,480,46218,159,0.019133,,,,83,req_011CanLxCRGwc8U8mWjzRGDb
1778117496,,1,421,0,421,46698,126,0.018428,,,,85,req_011CanLxUXQ2K4ZDxh49eKZ8
1778117499,,1,418,0,418,47119,125,0.018522,,,,90,req_011CanLxm2L9i2h6vVSnbxGe
1778117537,,1,500,0,500,47537,2040,0.047864,,,,94,req_011CanLy27SY9Ds1D8grwJTE
1778117547,,1,2413,0,2413,48037,107,0.030497,,,,96,req_011CanM2HBdghAao29iqCyVV
1778117574,,1,1469,0,1469,50450,1351,0.044217,,,,100,req_011CanM2d5xEu6g547eF1GM4
1778117586,,1,3450,0,3450,51919,569,0.044814,,,,104,req_011CanM4hzSF5wY9TsiksA6J
1778117592,,1,651,0,651,55369,335,0.025545,,,,106,req_011CanM5Qffs9sKaqeCuHFxR
1778117599,,1,398,0,398,56020,518,0.026967,,,,108,req_011CanM5opx2rWBe6691mBjz
1778117607,,1,581,0,581,56418,456,0.027254,,,,111,req_011CanM6Pw3f8V7LAATkTJr8
1778117612,,1,630,0,630,56999,128,0.022803,,,,117,req_011CanM74EQWHyndq8cNwmYz
1778117616,,1,236,0,236,57629,248,0.022428,,,,119,req_011CanM7Fa3ARo4JnT1UwStn
1778117618,,1,313,0,313,57865,100,0.020741,,,,121,req_011CanM7ZEAmMDdjUcai7K4E
1778117632,,1,291,0,291,58178,978,0.033872,,,,123,req_011CanM7mQ9vSbJja5gdJAQt
1778117636,,1,1043,0,1043,58469,92,0.025182,,,,127,req_011CanM8og7E7EFMxfPCKLnS
1778117649,,1,811,0,811,59512,125,0.024598,,,,130,req_011CanM9nWwD4gE93AYs3Kgj
1778117653,,1,175,0,175,60323,234,0.02266,,,,133,req_011CanMA1wL7uD9MEZGPfQL7
1778117656,,1,291,0,291,60498,88,0.021218,,,,135,req_011CanMAJDN8RHY4Bb2fEXCf
1778117685,,1,339,0,339,60789,1388,0.041094,,,,140,req_011CanMAkDYvbdEXzHXswFZk
1778117696,,1,1443,0,1443,61128,296,0.031439,,,,142,req_011CanMD1VsCUqeMAVivK8Df
1778117722,,1,363,0,363,62571,121,0.022767,,,,146,req_011CanMFArFLy5pahFroanF1
1778117740,,1,186,0,186,62934,359,0.025384,,,,148,req_011CanMGEfiadr94faanFRWb
1778118035,,3,962,0,962,63120,2532,0.062697,,,,156,req_011CanMbNEfR67ytmFeFXAEL
1778118047,,1,2846,0,2846,64082,580,0.045004,,,,159,req_011CanMeSRGMhZAaJTgDpKgL
1778118057,,1,598,0,598,66928,708,0.034289,,,,164,req_011CanMfLpwKk4KQMqFYsRuz
1778118062,,1,877,0,877,67526,205,0.028598,,,,169,req_011CanMg7HsgrGGjJfpgh5ET
1778118065,,1,270,0,270,68403,85,0.023419,,,,171,req_011CanMgRFciwPCRkJFQYapw
1778118068,,1,1148,0,1148,68673,190,0.030343,,,,174,req_011CanMgfXrdhE21foTKzYcG
1778118072,,1,257,0,257,69821,166,0.024981,,,,177,req_011CanMgwHeTKrrm5RNtQJSf
1778118110,,1,292,0,292,70078,167,0.025283,,,,180,req_011CanMjkMAFrAVSVJry1wYn
1778118116,,1,533,0,533,70370,296,0.028752,,,,184,req_011CanMk42nXVj8xpEsfNYG7
1778118122,,1,353,0,353,70903,289,0.027727,,,,186,req_011CanMkU8s8zcgt6TdtgZRM
1778118133,,1,466,0,466,71256,72,0.025256,,,,189,req_011CanMmVeBDbk4ga7hBp44i
1778118152,,1,114,0,114,71722,295,0.026629,,,,191,req_011CanMnfAhFZAEykkBGJocF
1778118240,,3,307,0,307,71836,111,0.025067,,,,197,req_011CanMuNPLXNeQMe9fPvGh3
1778118247,,1,491,0,491,72143,120,0.026392,,,,199,req_011CanMuhubFYu5dUkaYb2rL
1778118250,,1,999,0,999,72634,123,0.029632,,,,203,req_011CanMv6WtS4tG2qXTQX1YZ
1778118254,,1,1833,0,1833,73633,119,0.034876,,,,205,req_011CanMvNP85evxemNTJKh6c
