ts,model,input,cc,cc5m,cc1h,cr,out,cost,win,rl,evt,line,req
1778475885,,0,0,0,0,0,0,0,1778475600,,clear,5,
1778475944,claude-sonnet-4-6,3,16531,0,16531,12201,166,0.105345,,,heuristic_resume,15,req_011CavCXC18PQ7bSZSAm2Day
1778475990,,1,4167,0,4167,28732,2840,0.076225,,,,22,req_011CavCXSr6U4qynf5m436p4
1778476005,,1,2917,0,2917,32899,782,0.039105,,,,25,req_011CavCaqgrjtm2h9CCqJJJo
1778476012,,1,860,0,860,35816,541,0.024023,,,,28,req_011CavCbyfrdi1YHPdJgKxRw
1778476014,,1,600,0,600,36676,115,0.016331,,,,33,req_011CavCcSeprJCLPuFA5gZNq
1778476024,,1,243,0,243,37276,89,0.013979,,,,36,req_011CavCd6nWi5wb7JagRuS7L
1778476064,,1,347,0,347,37519,242,0.016971,,,,38,req_011CavCfpjCk4kKqFP6MgsWc
1778476174,,3,1046,0,1046,37866,1536,0.040685,,,,45,req_011CavCnkcr65PjgJLqpWyjP
1778476182,,1,1616,0,1616,38912,692,0.031753,,,,47,req_011CavCpRH4jd8DtvJFwFkx5
1778476186,,1,751,0,751,40528,336,0.021707,,,,51,req_011CavCpzPdDvzVtofKq9MgE
1778476189,,1,395,0,395,41279,137,0.016812,,,,54,req_011CavCqJvMHYpQ4Gt3CXaUv
1778476191,,1,505,0,505,41674,168,0.018055,,,,57,req_011CavCqWrwjHpnHVW1sjVyd
1778476194,,1,227,0,227,42179,129,0.015954,,,,59,req_011CavCqhCoPK8fzeZwc7HCL
1778476204,,1,404,0,404,42406,147,0.017354,,,,62,req_011CavCrHcFjKavjmyHPAps4
