ts,model,input,cc,cc5m,cc1h,cr,out,cost,win,rl,evt,line,req
1778063363,,0,0,0,0,0,0,0,1778061600,,clear,3,
1778063381,claude-sonnet-4-6,3,13217,0,13217,10995,241,0.086225,,,heuristic_resume,15,req_011CamABFpjxzWNacvwctx9H
1778063384,,1,1760,0,1760,24212,167,0.020332,,,,18,req_011CamABei9jkiwXdsSZtsVp
1778063463,,1,1509,0,1509,25972,3862,0.074779,,,,28,req_011CamAC9xYuyjLpdwgsyBNn
1778063490,,1,4253,0,4253,27481,166,0.036255,,,,41,req_011CamAK6CGreyQhe7nC525x
1778063495,,1,224,0,224,31734,145,0.013042,,,,43,req_011CamAKoC7PcNzxFVt1H3z7
1778063509,,1,206,0,206,31958,211,0.013991,,,,45,req_011CamALsEUALXjznYnJZUgS
1778063522,,1,313,0,313,32164,78,0.0127,,,,47,req_011CamAMqWKKiE4Eud4mAkwg
1778063525,,1,206,0,206,32477,64,0.011942,,,,49,req_011CamAN38ZPuY8NcoJaKmxw
1778064358,,3,888,0,888,32683,178,0.017812,,,,61,req_011CamBRE8JfLZb3suVExRz5
1778064365,,1,2020,0,2020,33571,482,0.029424,,,,66,req_011CamBRgWok11zRiGZnuxhT
1778064762,,1,778,0,778,35591,956,0.029688,,,,76,req_011CamBvYHWWTmw8t7kSBk3a
1778064838,,1,1313,0,1313,36369,195,0.021717,,,,81,req_011CamC2Uq4ecGBuVVv6TKHW
1778064848,,1,242,0,242,37682,205,0.015835,,,,83,req_011CamC3KGcuGtKNF9oVHZfB
1778066002,,3,3746,0,3746,37924,1145,0.051037,1778065200,,,93,req_011CamDVArwZrD7ekNHF9ZBt
1778066118,,3,1169,0,1169,41670,544,0.027684,,,,100,req_011CamDeKfmiKuE1DeL8vw2r
1778066122,,1,582,0,582,42839,73,0.017442,,,,104,req_011CamDfVo1N91qdd1h5UFks
1778066127,,1,418,0,418,43421,164,0.017997,,,,108,req_011CamDfkkRWoSJCBR1U6Lpv
1778066134,,1,182,0,182,43839,478,0.021417,,,,110,req_011CamDg9qyqo4HgeiWF3fGi
1778066145,,1,508,0,508,44021,362,0.021687,,,,112,req_011CamDgoZ85Dc3Xizqw2fa6
1778066157,,1,392,0,392,44529,359,0.021099,,,,114,req_011CamDhYJNSgqzNWeazeHY7
1778066167,,1,389,0,389,44921,367,0.021318,,,,116,req_011CamDiPmwXzGmpvKTuhHY1
1778066175,,1,397,0,397,45310,360,0.021378,,,,118,req_011CamDjACeZz1Y62uXRdS5z
1778066187,,1,390,0,390,45707,372,0.021635,,,,120,req_011CamDjoxWj5MFGh2W3DYE2
1778066199,,1,402,0,402,46097,375,0.021869,,,,122,req_011CamDkePpQoogiUCpRDawr
1778066211,,1,405,0,405,46499,356,0.021723,,,,124,req_011CamDmZAaSg4Qo7nvhmvp5
1778066224,,1,496,0,496,46904,369,0.022585,,,,129,req_011CamDnPiKymjqwXsFXMwtj
1778066234,,1,399,0,399,47400,350,0.021867,,,,131,req_011CamDoLb6FYLMbgrhwEQRF
1778066245,,1,380,0,380,47799,83,0.017868,,,,133,req_011CamDp9vv7HustTippeHQV
1778066251,,1,454,0,454,48179,102,0.018711,,,,135,req_011CamDprpoADa38bHebh872
1778067249,,3,6829,0,6829,48633,145,0.057748,,,,159,req_011CamF6MCtWHxfhZdoCnxTh
1778067261,,1,668,0,668,55462,677,0.030805,,,,161,req_011CamF6nApDcmeWM1r5WmMz
1778067305,,1,731,0,731,56130,199,0.024213,,,,164,req_011CamF9vNWZSx6xkmiGDXCH
1778067328,,1,252,0,252,56861,181,0.021288,,,,166,req_011CamFCFEP283JobJ1ywxsu
1778067349,,3,251,0,251,57113,115,0.020374,,,,177,req_011CamFDgxjBmAbxkEVYBcMw
1778067406,,1,269,0,269,57364,260,0.022726,,,,181,req_011CamFHoor1c6BLkS8s2Q9P
1778067411,,1,330,0,330,57633,238,0.022843,,,,184,req_011CamFJNQQEyJMQhhMPUYBo
1778067414,,1,303,0,303,57963,85,0.020485,,,,186,req_011CamFJiXcpZWXVeWKFrMaT
1778067417,,1,150,0,150,58266,230,0.021833,,,,188,req_011CamFJvA7TunoMAG2hn479
1778067420,,1,316,0,316,58416,41,0.020039,,,,191,req_011CamFKAoBMvaDjHc1q3Pei
1778067583,,3,110,0,110,58732,148,0.020509,,,,201,req_011CamFX73YRPBFhxg6FLXEe
1778067616,,1,1414,0,1414,58842,1436,0.04768,,,,205,req_011CamFXSPspyUkUU831LWMF
1778067668,,1,1491,0,1491,60256,204,0.030086,,,,208,req_011CamFcfjhKmoebJtC7ENiw
1778067704,,1,405,0,405,61747,176,0.023597,,,,211,req_011CamFfmbzzT4V7jEzxUmPR
1778067953,,3,1014,0,1014,62152,140,0.026839,,,,223,req_011CamFzHe2bXC3ikpecUA3B
1778067961,,1,684,0,684,63166,535,0.031082,,,,227,req_011CamFzfp26enTzDNPqoMvu
1778067976,,1,722,0,722,63850,214,0.0267,,,,230,req_011CamG1qLJ2YxTQ7CstDm2E
1778068028,,1,296,0,296,64572,99,0.022636,,,,234,req_011CamG5sHiwgMQtBXuppgVn
1778068106,,3,173,0,173,64868,291,0.024872,,,,244,req_011CamGBKnKVm8hVBo7biXdD
1778068111,,1,312,0,312,65041,95,0.022812,,,,246,req_011CamGC5phy5wdXAB4mpLEi
1778068240,,1,224,0,224,65353,3989,0.080788,,,,258,req_011CamGGMnko3SsfnxpbDhXW
1778068287,,1,4275,0,4275,65577,168,0.047846,,,,263,req_011CamGQb6gA9ZJhRk9ykxog
1778068306,,1,313,0,313,69852,290,0.027187,,,,267,req_011CamGS97HqPkwsPrdP9CV9
1778068328,,1,379,0,379,70165,255,0.027152,,,,269,req_011CamGTRv77muypLNvTsJLo
1778068667,,3,1522,0,1522,70544,310,0.034954,,,,288,req_011CamGtwUJrV7CrfZYBMbwt
1778068689,,1,5088,0,5088,72066,1361,0.072566,,,,298,req_011CamGuS3X5JDWee87rTuBb
1778068756,,1,1730,0,1730,77154,157,0.035884,,,,306,req_011CamH1bkqVuHz1aR5EUZ6D
1778068843,,1,223,0,223,78884,157,0.027361,1778068800,,,309,req_011CamH8BdhuUyEXXvuP9Dtv
1778068852,,1,223,0,223,79107,361,0.030488,,,,313,req_011CamH8eKKbaTwqePFc1ADC
1778068875,,1,634,0,634,79330,294,0.032016,,,,319,req_011CamH9aFH7Wg4w1KYt4Jaj
1778068890,,1,376,0,376,79964,269,0.030283,,,,321,req_011CamHBAxrj2wc7FPSTJ1C8
1778069005,,3,347,0,347,80340,202,0.029223,,,,331,req_011CamHKwsKJYwwHfVEGtZxi
1778069008,,1,390,0,390,80687,98,0.028019,,,,333,req_011CamHLME14ACkBhsqJieXD
1778069122,,1,116,0,116,81077,1052,0.040802,,,,335,req_011CamHT5f4s7yWd1gWaMt6L
1778069160,,1,1110,0,1110,81193,199,0.034006,,,,338,req_011CamHXR2G5E6UaqTBrAbLW
1778069184,,1,295,0,295,82303,223,0.029809,,,,342,req_011CamHYu8DxgXqVFttZ1CF1
1778069585,,3,301,0,301,82598,2051,0.057359,,,,354,req_011CamJ26ExsdN75SL4CNv1H
1778069604,,1,2220,0,2220,82899,203,0.041238,,,,357,req_011CamJ5uA59gmHty7Vm7Yje
1778069629,,1,299,0,299,85119,265,0.031308,,,,359,req_011CamJ7BiWGV95fPLpzpLts
1778069872,,3,343,0,343,85418,342,0.032822,,,,374,req_011CamJRhB4EataRQDj3A5Q7
1778069917,,1,2296,0,2296,85761,2371,0.075072,,,,379,req_011CamJSJnwGrsKZahyCMXyS
1778069981,,1,2595,0,2595,88057,275,0.046115,,,,388,req_011CamJZdk9xAHwAARWfpHr3
1778069994,,1,520,0,520,90652,312,0.034999,,,,391,req_011CamJaW7nyGaECcHVZRcpC
1778070414,,3,1336,0,1336,91172,114,0.037087,,,,412,req_011CamK7ogb6LKdkrto4A7YD
1778070419,,1,228,0,228,92508,210,0.032273,,,,414,req_011CamK84rQMdxAwCdcXUZ7Z
1778070449,,1,291,0,291,92736,209,0.032705,,,,416,req_011CamK9zpcf7zcakoXi8srb
1778070457,,1,287,0,287,93027,113,0.031328,,,,418,req_011CamKAvyDgJh1dbiv1HyU5
1778070571,,3,193,0,193,93314,1176,0.046801,,,,428,req_011CamKHnuV1L1CSb982hFTu
1778070649,,1,3298,0,3298,93507,3617,0.102098,,,,435,req_011CamKKgZoFMaZUp3W8WbsH
1778070687,,1,3783,0,3783,96805,301,0.056258,,,,438,req_011CamKTVhfHk9GH9EFjwRZM
1778070773,,1,394,0,394,100588,521,0.040358,,,,442,req_011CamKZfoYnhxHW2YohCByZ
1778071268,,3,1675,0,1675,100982,1138,0.057424,,,,448,req_011CamLBJNCpdSHfiqEk9BY1
1778071276,,1,1171,0,1171,102657,237,0.041381,,,,450,req_011CamLDJxyf8hn29LyY3Rtz
