ts,model,input,cc,cc5m,cc1h,cr,out,cost,win,rl,evt,line,req
1778285124,,0,0,0,0,0,0,0,1778284800,,clear,5,
1778285132,claude-sonnet-4-6,3,15770,0,15770,11988,126,0.100115,,,heuristic_resume,15,req_011Car21eZXpZ6VngbJcEyPS
1778285134,,1,178,0,178,27758,71,0.010463,,,,17,req_011Car21t8c7YtyvfSQmFpfa
1778285140,,1,98,0,98,27936,67,0.009977,,,,21,req_011Car22Nb8J3X1nz1BURUPg
1778285146,,1,946,0,946,28034,287,0.018394,,,,27,req_011Car22YYuSLSwbTotcmFo3
1778285149,,1,1765,0,1765,28980,148,0.021507,,,,29,req_011Car22u7REidQp4icpvCWK
1778285163,,1,265,0,265,30745,996,0.025757,,,,32,req_011Car237urMkmK42D7pVyHA
1778285214,,1,2167,0,2167,31010,377,0.027963,,,,41,req_011Car27Lcx2uBPrXqJqgHfE
1778285232,,1,12906,0,12906,33177,842,0.100022,,,heuristic_resume,46,req_011Car27xbuWsQWm1E3JMoDS
1778285245,,1,2259,0,2259,46083,614,0.036592,,,,51,req_011Car29FpmyqeNrvYCSi9GY
1778285253,,1,690,0,690,48342,414,0.024856,,,,55,req_011Car2AFu29zeQpw6cb4QJF
1778285275,,1,490,0,490,49032,1115,0.034378,,,,58,req_011Car2AmN4XNDUJZWdqk7Ak
1778285277,,1,1172,0,1172,49522,92,0.023272,,,,62,req_011Car2CSbW9ePUqaC2RFFcE
1778285281,,1,311,0,311,50694,177,0.019732,,,,67,req_011Car2CbPqXhPNpfp6ZtXri
1778285294,,1,227,0,227,51005,120,0.018467,,,,69,req_011Car2DddZLL8JyCpcqn5gy
1778285311,,1,202,0,202,51232,248,0.020305,,,,71,req_011Car2EjeyrV5bMPM1WMaYv
1778301988,,3,51675,0,51675,11988,123,0.3155,1778299200,,heuristic_resume,88,req_011CarPSBJqMkvdYJAVz5yXM
1778302437,,3,66176,0,66176,0,432,0.403545,,,heuristic_resume,101,req_011CarPzkYjFvBm63J4r1vSB
1778302449,,1,523,0,523,66176,733,0.033989,,,,103,req_011CarQ1Z3hfJcGtj2wHDL3J
1778302507,,1,2044,0,2044,66699,360,0.037677,,,,107,req_011CarQ6CV5xtkH66WXLLmsz
1778302516,,1,1160,0,1160,68743,419,0.033871,,,,116,req_011CarQ6fACLgwJqJcPkryKS
1778302518,,1,649,0,649,69903,109,0.026503,,,,120,req_011CarQ7MRsuBAqCnDUDbvrX
1778302521,,1,308,0,308,70552,183,0.025762,,,,122,req_011CarQ7WfkNJHgVRCgPhqUF
1778302542,,1,259,0,259,70860,433,0.02931,,,,124,req_011CarQ8aK3qfduDgUsHbuF4
1778302633,,1,490,0,490,71119,134,0.026289,,,,127,req_011CarQFkYQ6MGSQLjAWc9iR
1778302635,,1,395,0,395,71609,78,0.025026,,,,129,req_011CarQFx6gTRD5mkri8NxPV
1778302637,,1,116,0,116,72004,109,0.023935,,,,131,req_011CarQG7vXXuDKpXsTiAbjS
1778302658,,1,266,0,266,72120,1020,0.038535,,,,133,req_011CarQGG79hUArg3ugcJMpF
1778302665,,1,1188,0,1188,72386,205,0.031922,,,,142,req_011CarQJ2cbBxQaCP94R9EFi
1778302679,,1,355,0,355,73574,737,0.03526,,,,146,req_011CarQJKU7b5L8nZK1zBxKM
1778302951,,1,791,0,791,73929,123,0.028773,1778302800,,,148,req_011CarQf9395UrTywrEqXpVn
1778302963,,1,203,0,203,74720,277,0.027792,,,,150,req_011CarQfp1BWQCT8iWPUYZAg
1778309056,,3,75277,0,75277,0,89,0.453006,1778306400,,heuristic_resume,158,req_011CarYRCKNdfXCiBmsCAHro
1778309063,,1,844,0,844,75277,252,0.03143,,,,164,req_011CarYRVykueg6JhcYB54us
1778309065,,1,596,0,596,76121,96,0.027855,,,,170,req_011CarYRxoJeniAzABvZNF9p
1778309079,,1,276,0,276,76717,794,0.036584,,,,173,req_011CarYS7mZBPzqQDwzX1Cp8
1778309093,,1,131,0,131,76993,855,0.036712,,,,175,req_011CarYT8bCSFLQ4HvaammY4
1778309166,,1,2280,0,2280,77124,687,0.047125,,,,179,req_011CarYYS44fciT7ZN7C95yT
1778309174,,1,744,0,744,79404,415,0.034513,,,,181,req_011CarYZVhcfmFKkttT8uu9P
