ts,model,input,cc,cc5m,cc1h,cr,out,cost,win,rl,evt,line,req
1778994103,,0,0,0,0,0,0,0,1778994000,,clear,5,
1778994143,claude-sonnet-4-6,3,16093,0,16093,12725,260,0.104285,,,heuristic_resume,15,req_011Cb7Z7ZyHyAAb4urxvTxra
1778994158,,1,5918,0,5918,28818,985,0.058931,,,,22,req_011Cb7Z86y7AcaRLfEwQzWrc
1778994166,,1,1071,0,1071,34736,122,0.01868,,,,24,req_011Cb7Z9ZY3nJt6CGfMgNRps
1778994481,,3,3980,0,3980,35807,206,0.037721,,,,36,req_011Cb7ZYkjdpvAfcCTwE3Prm
1778994483,,1,2873,0,2873,39787,93,0.030572,,,,40,req_011Cb7ZZ1dqCX2S8rJEnpmeW
1778994486,,1,1642,0,1642,42660,83,0.023898,,,,42,req_011Cb7ZZDSF7r3XKUGWUrfU7
1778994533,,1,3856,0,3856,44302,2639,0.076015,,,,47,req_011Cb7ZZTjxqn35UZn297MLd
1778994589,,1,3345,0,3345,48158,3916,0.09326,,,,54,req_011Cb7ZcrHs8BaaU2bMhkneP
1778995309,,1,4000,0,4000,51503,845,0.052129,,,,56,req_011Cb7abHQY1hatx3ZuWLuUa
1778995337,,1,910,0,910,55503,1631,0.046579,,,,61,req_011Cb7acNBYuMRYRynn5M936
1778995447,,1,1870,0,1870,56413,1668,0.053167,,,,67,req_011Cb7akNoE9VAu8aUBn8LrF
1778995452,,1,2187,0,2187,58283,351,0.035875,,,,72,req_011Cb7anHq8po71UVh256NMy
1778995488,,1,534,0,534,60470,193,0.024243,,,,75,req_011Cb7aq5r9jCoJWMMoxvfX3
1778995500,,1,258,0,258,61004,722,0.030682,,,,77,req_011Cb7aqUXA946Y9wFLP4BCq
1778995549,,1,787,0,787,61262,3307,0.072709,,,,82,req_011Cb7arouFkCrd6jo2tMxSi
1778995574,,1,3372,0,3372,62049,231,0.042315,,,,86,req_011Cb7awM18hXDoPhnm1CBqK
1778995681,,1,296,0,296,65421,979,0.03609,,,,90,req_011Cb7b4bmLfbrooGexD7d78
1778995768,,1,1044,0,1044,65717,239,0.029567,,,,95,req_011Cb7bBa4qkorCNerJKvUeq
1778995777,,1,1654,0,1654,66761,402,0.035985,,,,100,req_011Cb7bBtkVJuvFPBsX6hRTc
1778996986,,3,57510,0,57510,12725,179,0.351572,,,heuristic_resume,114,req_011Cb7cjAkeFKbtCanDgRPNL
1778996989,,1,225,0,225,70235,119,0.024209,,,,116,req_011Cb7cjmKX5u3zRqq7UpMw5
1778996991,,1,277,0,277,70460,97,0.024258,,,,118,req_011Cb7cjw2vDikT6RTUAYJ4u
1778997009,,1,1752,0,1752,70737,1122,0.048566,,,,125,req_011Cb7ck5tE5U1AWxB8EtUMA
1778997015,,1,1152,0,1152,72489,218,0.031932,,,,127,req_011Cb7cmYRRuF7sg122BzfRn
1779152209,,0,0,0,0,0,0,0,1779148800,,model_change,140,
1779152243,,3,62906,0,62906,12725,292,0.385643,,,heuristic_resume,147,req_011CbB23zXTPfmTdAWPYtLNA
1779152254,,5656,2655,0,2655,75631,485,0.062862,,,,158,req_011CbB24X4juCv6LwQUgvMyJ
1779152262,,436,6654,0,6654,78286,324,0.069578,,,,165,req_011CbB25VgvH5kEH5Zq9kazC
1779152622,,407,1035,0,1035,84940,352,0.038193,1779152400,,,176,req_011CbB2XyQGZjbU3z27wdVxj
1779152661,,1073,1150,0,1150,85975,1533,0.058907,,,,184,req_011CbB2ZQxSPJpykANXFD5JM
1779152773,,244,2807,0,2807,87125,7641,0.158327,,,,192,req_011CbB2bSm8zW8Mk2deHNc5E
1779152791,,1,7962,0,7962,89932,1156,0.092095,,,,199,req_011CbB2jrdZQ3TCWaqAV6gDZ
1779152860,,1,1232,0,1232,97894,702,0.047293,,,,211,req_011CbB2pyxEGBHZv3yS7BEjE
1779152864,,1,1141,0,1141,99126,114,0.038297,,,,218,req_011CbB2qtky6SBn5BM52hYGF
1779152882,,1,132,0,132,100267,1151,0.04814,,,,220,req_011CbB2rRWegyKCbwrCBbFa1
1779152895,,1,1231,0,1231,100399,537,0.045564,,,,223,req_011CbB2szucPWG2FMgJsXcBk
1779152905,,1,618,0,618,101630,157,0.036555,,,,227,req_011CbB2tiTvsABk5PzHwwLy2
1779152929,,1,834,0,834,102248,477,0.042836,,,,234,req_011CbB2vNxy8D3wwQumW2M2K
1779152935,,1,536,0,536,103082,136,0.036184,,,,236,req_011CbB2w8wPXBK6FLA57Ervr
1779152952,,1,169,0,169,103618,583,0.040847,,,,240,req_011CbB2wf29JqQFd1XW6rf7E
1779152974,,1,747,0,747,103787,718,0.046391,,,,243,req_011CbB2yZMdhw3V5DkXLfKvz
1779153030,,1,783,0,783,104534,601,0.045076,,,,246,req_011CbB33nYzK9yZ41iWoj13X
1779153037,,1,666,0,666,105317,242,0.039224,,,,251,req_011CbB34bRYENMYUV8ghdKdC
1779153050,,1,307,0,307,105983,459,0.040525,,,,254,req_011CbB35FDPVU39YhWnGPq7V
1779153059,,1,524,0,524,106290,155,0.037359,,,,257,req_011CbB3649AFYYdwsQFs1qaX
1779153176,,1,188,0,188,106814,614,0.042385,,,,259,req_011CbB3EPUEPnqWEXHUbq24c
1779155561,,3,4997,0,4997,107002,205,0.065167,,,,270,req_011CbB6GWpegggZatFCCu9zn
1779155708,,3,328,0,328,111999,194,0.038487,,,,277,req_011CbB6TYHWqCPegGHznBR6i
1779155725,,1,357,0,357,112327,93,0.037238,,,,279,req_011CbB6Uku4sjLh98yLMM1h3
1779155811,,3,125,0,125,112684,136,0.036604,,,,284,req_011CbB6bBd2bCW2UBZPuWmsq
1779155824,,1,168,0,168,112809,25,0.035229,,,,286,req_011CbB6cBPR3qkKApu43Yjdq
1779155863,,3,79,0,79,112977,271,0.038441,,,,293,req_011CbB6etguWX712eLkP4TYR
1779155874,,395,484,0,484,113056,503,0.045551,,,,299,req_011CbB6fazKY2JZctiL8mgog
1779156661,,1,981,0,981,113540,72,0.041031,1779156000,,,301,req_011CbB7fj6r3FF45hc24DQ7G
1779172548,,0,0,0,0,0,0,0,1779170400,limit_hit_unknown{4:10pm@Asia/Seoul},,306,
