ts,model,input,cc,cc5m,cc1h,cr,out,cost,win,rl,evt,line,req
1775474256,claude-sonnet-4-6,3,9637,0,9637,11383,1084,0.077506,1775473200,,,9,req_011CZnRYnv8kB6r66WTwPgiY
1775474745,claude-opus-4-6,3,41274,0,41274,0,8,0.412955,,,heuristic_resume,15,req_011CZnSApjH6h117My1ZDJjJ
1775474992,,3,32212,0,32212,41274,313,0.350597,,,heuristic_resume,21,req_011CZnSVn4KV4YLGCFe8MBaM
1775475103,,1,2608,0,2608,73486,1907,0.110503,,,,24,req_011CZnSbqgme2nf5Eep5A9rs
1775475106,,1,1949,0,1949,76094,78,0.059492,,,,27,req_011CZnSebpfjC1rv98UFYmeh
1775475120,,3,738,0,738,78043,291,0.053692,,,,30,req_011CZnSeoMxBzpTqjJrX67iM
1775479762,claude-sonnet-4-6,3,69272,0,69272,11383,207,0.422161,1775476800,,heuristic_resume,39,req_011CZnYZSnFzXhvoBbCxnTFa
1775479767,,1,587,0,587,80655,137,0.029777,,,,42,req_011CZnYZztZ4jNAsQtF4VBiv
1775479774,,1,937,0,937,81242,62,0.030928,,,,44,req_011CZnYadp4mTsLvz4zbZvgC
1777632819,,3,81981,0,81981,10767,350,0.500375,1777629600,,cost_warn|heuristic_resume,54,req_011CabixLt381m9yHjrrnPrF
1777632837,,1,2129,0,2129,92748,1960,0.070001,,,,56,req_011Cabiy7QT6kdL7NARTVTcV
1777632887,,1,5259,0,5259,94877,302,0.06455,,,,63,req_011Cabj3VzcgX2SBPCqMbBVo
1777632889,,1,736,0,736,100136,99,0.035945,,,,68,req_011Cabj46hB6c7TQAuWgn9UJ
1777632893,,1,1872,0,1872,100872,141,0.043612,,,,71,req_011Cabj4GM79mBbAt273X4EH
1777632896,,1,763,0,763,102744,100,0.036904,,,,73,req_011Cabj4ZoqNJHjDuTiRJYoN
1777632899,,1,718,0,718,103507,103,0.036908,,,,75,req_011Cabj4m4WNbH222khUVxbw
1777632902,,1,601,0,601,104225,101,0.036392,,,,80,req_011Cabj4xz6vR51Ck9trc7v1
1777632904,,1,657,0,657,104826,100,0.036893,,,,83,req_011Cabj5APx6ig3nKSTfzdNe
1777632906,,1,606,0,606,105483,101,0.036799,,,,85,req_011Cabj5KpjRyouocVaHsbUc
1777632908,,1,327,0,327,106089,101,0.035307,,,,87,req_011Cabj5VygPcfcUUwDBmRRx
1777632912,,1,1220,0,1220,106416,101,0.040763,,,,89,req_011Cabj5fqkr791APwYaoycq
1777632915,,1,1092,0,1092,107636,102,0.040376,,,,91,req_011Cabj5x3q83w5GzerBPxmT
1777632918,,1,517,0,517,108728,103,0.037268,,,,96,req_011Cabj6Afbided7VG6w5BDj
1777632921,,1,595,0,595,109245,101,0.037862,,,,98,req_011Cabj6MRFwxawxEwFyDek7
