ts,model,input,cc,cc5m,cc1h,cr,out,cost,win,rl,evt,line,req
1777642729,,0,0,0,0,0,0,0,1777640400,,clear,3,
1777642757,claude-sonnet-4-6,3,21967,0,21967,10767,365,0.140516,,,heuristic_resume,11,req_011Cabwb8CyF2h7Uc4HwqHAa
1777642759,,1,3271,0,3271,32734,106,0.031039,,,,14,req_011CabwbouAhqB2T3rNeaGU9
1777642766,,1,478,0,478,36005,608,0.022793,,,,18,req_011Cabwbz8KzL73Jep35Vy6f
1777642882,,1,6369,0,6369,36483,855,0.061987,,,,27,req_011Cabwjwqdauxcp1J6PumEP
1777642888,,1,3715,0,3715,42852,401,0.041164,,,,34,req_011Cabwkz951bhDaxyeewzPn
1777642892,,1,2315,0,2315,46567,271,0.031928,,,,42,req_011CabwmUojzKTNf3jqCZ39J
1777642900,,1,3367,0,3367,48882,463,0.041815,,,,49,req_011CabwmmqBGKrmyG3krEiYX
1777642919,,1,2517,0,2517,52249,1177,0.048435,,,,53,req_011CabwnLoopkDU6af5eeiiw
1777642932,,1,1415,0,1415,54766,1129,0.041858,,,,58,req_011CabwokuRjQAzXZD57v1F9
1777642944,,1,1449,0,1449,56181,964,0.040011,,,,66,req_011CabwpwLGC39vEzZ1DrtSD
1777642996,,1,1273,0,1273,57630,251,0.028695,,,,73,req_011Cabwu6ZFxXCNhANAsvgsd
1777643375,,3,352,0,352,58903,153,0.022087,,,,81,req_011CabxP9Sv1LJemwWE6x4gM
1777643382,,1,1178,0,1178,59255,201,0.027863,,,,84,req_011CabxPdCWyZn1jtuR5M3XV
1777643426,,1,3631,0,3631,60433,3525,0.092794,,,,91,req_011CabxPrRWEWmghXaqrSxLc
1777643635,,1,3859,0,3859,64064,87,0.043681,,,,98,req_011CabxiL1SkWv4oKWpbvsRa
1777643759,,1,192,0,192,67923,167,0.024037,,,,100,req_011CabxsStghNwqePE1r5fNn
1777643765,,1,185,0,185,68115,146,0.023738,,,,102,req_011CabxswVdjiJthXYXZ4iZp
1777643768,,1,164,0,164,68300,111,0.023142,,,,104,req_011Cabxt8QxfNbWtwBgtcqoA
1777643778,,1,183,0,183,68464,220,0.02494,,,,106,req_011CabxthzZTij6CEn5kCVX7
1777644022,,3,484,0,484,68647,29,0.023942,1777644000,,,114,req_011CabyCwqzxKaArPiF95TBP
1777778378,,3,53015,0,53015,10767,248,0.325049,1777777200,,heuristic_resume,123,req_011CaeuxMp9DUPBkH3uqzui4
1777778382,,1,930,0,930,63782,195,0.027643,,,,127,req_011Caeuxt1LfehzvJdYejqj9
1777778387,,1,1519,0,1519,64712,140,0.030631,,,,130,req_011CaeuyByaGRm1gS42xC2Qm
1777778398,,1,475,0,475,66231,487,0.030027,,,,132,req_011CaeuyVznrqgMdHAdjX4CG
1777778465,,3,512,0,512,66706,952,0.037373,,,,140,req_011Caev3yoyZkt9ufUqhKsFQ
