ts,model,input,cc,cc5m,cc1h,cr,out,cost,win,rl,evt,line,req
1777294243,claude-sonnet-4-6,3,17308,0,17308,10604,183,0.109783,1777291200,,heuristic_resume,8,req_011CaUJf1QxtgZVtpMYP3jZ5
1777294279,,1,1296,0,1296,27912,2465,0.053128,,,,12,req_011CaUJfN6fm4A8vL6PPeWsh
1777294310,,1,2544,0,2544,29208,249,0.027764,,,,17,req_011CaUJjovJBtKwVjuZbDuJp
1777294359,,3,343,0,343,31752,1187,0.029398,,,,24,req_011CaUJnMRRxorX5ucsTHQdq
1777294362,,1,2718,0,2718,32095,88,0.02726,,,,26,req_011CaUJovx5VAxqT24krjSM5
1777294370,,1,2998,0,2998,32095,337,0.032675,,,,31,req_011CaUJp8qCosMCCqr2GzWPw
1777294406,,1,466,0,466,35093,190,0.016177,,,,35,req_011CaUJs2L7op9eMEkyiVHyW
1777294485,,1,302,0,302,35559,91,0.013848,,,,37,req_011CaUJy3eAMNUomraLWD9vP
1777294496,,1,138,0,138,35861,385,0.017364,,,,39,req_011CaUJyDHLywP5Dt1sBozho
1777294564,,3,408,0,408,35999,897,0.026712,,,,44,req_011CaUK3j27sQt9hX1T1yxUd
1777294579,,3,918,0,918,36407,161,0.018854,,,,49,req_011CaUK5u3RiPWRNxDPyND3v
1777294587,,1,995,0,995,37325,125,0.019046,,,,52,req_011CaUK6TWoALbmGv4aWxy6X
1777294599,,1,1236,0,1236,38320,1164,0.036375,,,,56,req_011CaUK6fStpB7gi7V7hxqfM
1777294607,,1,1245,0,1245,39556,94,0.02075,,,,58,req_011CaUK7y1MiajwiYEYBJtZQ
1777294609,,1,530,0,530,40801,64,0.016383,,,,60,req_011CaUK88dYxcQ2iaTmCH7Nb
