ts,model,input,cc,cc5m,cc1h,cr,out,cost,win,rl,evt,line,req
1777782772,claude-sonnet-4-6,3,16198,0,16198,10767,616,0.109667,1777780800,,heuristic_resume,8,req_011Caf1XbMUgx7DgjZjxJZmS
1777782835,,1,3324,0,3324,26965,989,0.042872,,,,14,req_011Caf1cDWiSndLLTZg3Rp95
1777782887,,3,1015,0,1015,30289,278,0.019356,,,,20,req_011Caf1ghc1yr9wNZejP9Gg4
1777782953,,1,2856,0,2856,31304,776,0.03817,,,,22,req_011Caf1jtSDgyG8bEYWdUDQ2
1777783120,,3,825,0,825,34160,721,0.026022,,,,31,req_011Caf1yKSzCKqCFJi6kN6eZ
1777783493,,3,789,0,789,34985,232,0.018719,,,,40,req_011Caf2TES9Cm9uZefGYhZ71
1777783512,,4854,1154,0,1154,35774,234,0.035728,,,,52,req_011Caf2UzJPamACczZFarTtK
1777783587,,1,5641,0,5641,36928,180,0.047627,,,,58,req_011Caf2ac4bYa7JT4zisvgUn
1777783649,,1,6806,0,6806,42569,1715,0.079335,,,,66,req_011Caf2d4MhCPdhhjAnRzEUu
1777783725,,3,1837,0,1837,49375,672,0.035924,,,,77,req_011Caf2juVaqjwyVHSXvrA14
1777783731,,1,961,0,961,51212,186,0.023923,,,,84,req_011Caf2m2dEkg6nmYMc35F1R
1777783785,,1,2148,0,2148,52173,2664,0.068503,,,,87,req_011Caf2mUwH3Yrhc7dCdmLwE
1777783834,,3,2781,0,2781,54321,190,0.035841,,,,97,req_011Caf2tmvRdQporYQa2iYfJ
1777783842,,1,216,0,216,57102,135,0.020455,,,,100,req_011Caf2u5QPpe2rPW97fNYVD
1777783925,,1,475,0,475,57318,467,0.027053,,,,103,req_011Caf2zupMQQF3GwwbnDKSy
1777783952,,1,507,0,507,57793,269,0.024418,,,,109,req_011Caf33AQVwBbvYgPvk8rnz
1777783967,,1,313,0,313,58300,362,0.024801,,,,112,req_011Caf34Hp2EgDrAf2fkFChn
1777783978,,1,404,0,404,58613,317,0.024766,,,,115,req_011Caf35CnRk7BWQF72taNHC
1777783989,,1,359,0,359,59017,98,0.021332,,,,119,req_011Caf36HJZaTTDhBcyDQBWj
1777783998,,1,160,0,160,59376,194,0.021686,,,,121,req_011Caf36V9D641Xf7uJBPgSW
1777784397,,3,377,0,377,59536,240,0.023732,,,,129,req_011Caf3c7Efssk2Zh75umd72
1777784614,,3,275,0,275,59913,120,0.021433,1777784400,,,135,req_011Caf3tMtRUbefAXdxjSwzs
1777784617,,1,158,0,158,60188,145,0.021182,,,,139,req_011Caf3taTDzypdrunsQJYeG
1777784650,,1,6937,0,6937,60188,1522,0.082511,,,,145,req_011Caf3tnFPaKiMXzz9N77mF
