ts,model,input,cc,cc5m,cc1h,cr,out,cost,win,rl,evt,line,req
1779063104,,0,0,0,0,0,0,0,1779062400,,clear,3,
1779063174,claude-sonnet-4-6,3,17976,0,17976,12854,384,0.117481,,,heuristic_resume,14,req_011Cb94rBq75e5NJ3BxScG1C
1779063618,,1,1345,0,1345,30830,230,0.020772,,,,18,req_011Cb95R36AfetVsH5KSE51h
1779063700,,4590,291,0,291,32175,168,0.027689,,,,24,req_011Cb95X6rJdn5tu5WYNEUXE
1779063764,,417,4866,0,4866,32466,213,0.043382,,,,28,req_011Cb95bqCMjzr4TkmFGvxHd
1779063770,,207,1753,0,1753,37332,282,0.026569,,,,32,req_011Cb95cKMGkTefCLkRkUxh9
1779063793,,731,830,0,830,39085,119,0.020684,,,,36,req_011Cb95e6Y9Pnw2zAW6Hh7Xh
1779063812,,1,1367,0,1367,39915,189,0.023015,,,,41,req_011Cb95fRTTc8Df8Tn1oSJ6e
1779063829,,3537,948,0,948,41282,236,0.032224,,,,46,req_011Cb95gbqpcWhMWbBW7Hbfr
1779063866,,3003,5011,0,5011,42230,236,0.055284,,,,53,req_011Cb95jHP9f6ty33mH75KF9
1779063916,,1532,6419,0,6419,47241,1379,0.077967,,,,60,req_011Cb95mUp3TZnMjqCk5TVkk
1779064089,,219,2972,0,2972,53660,154,0.036897,,,,64,req_011Cb961r6MNUFHaB7ZWkHQc
1779064121,,1289,1387,0,1387,56632,1289,0.048514,,,,71,req_011Cb962K1biGtiyXN81zUk7
1779064207,,1,2619,0,2619,58019,149,0.035358,,,,74,req_011Cb96AcU46z77pGDzi8YfF
1779064372,,1306,1767,0,1767,60638,2390,0.068561,,,,82,req_011Cb96KY5tDq1KcSKTQQmsV
1779064382,,1,4435,0,4435,62405,182,0.048065,,,,86,req_011Cb96PWwXnh3mdn9GNuNe2
1779064387,,1,936,0,936,66840,90,0.027021,,,,88,req_011Cb96PrR4L91WhfGdKDdZC
1779064432,,1,565,0,565,67776,1990,0.053576,,,,93,req_011Cb96Qk7pXwY9xrsKDyAJQ
1779064444,,1,4001,0,4001,68341,485,0.051786,,,,98,req_011Cb96TapoYEX6NjuRmbSXJ
1779064487,,1,2311,0,2311,72342,2084,0.066832,,,,104,req_011Cb96URZyHPN9sAFHp2Cgn
1779064491,,1,2141,0,2141,74653,185,0.03802,,,,108,req_011Cb96XWBsGrCQWHVThUqc2
1779064560,,1,628,0,628,76794,116,0.028549,,,,111,req_011Cb96cfUMkNxZA5evwRo1N
1779064865,,1,454,0,454,77422,18143,0.298099,,,,114,req_011Cb96d1xejEHAp2zraVJnQ
