ts,model,input,cc,cc5m,cc1h,cr,out,cost,win,rl,evt,line,req
1777798351,claude-haiku-4-5-20251001,3,1206,1206,0,38246,571,0.00819,1777795200,,,6,req_011CafMLzfiB4xsaiVZ3uK9b
1777798532,,103,2669,2669,0,39452,639,0.010579,,,,15,req_011CafMaCMHhgi7Pf892hPze
1777798551,,7,2611,2611,0,42121,434,0.009653,,,,22,req_011CafMbjN8MxN4BEoxPHPrk
1777798564,,7,1491,1491,0,44732,647,0.009579,,,,27,req_011CafMcatfi492SQJZSguv6
1777798611,,563,1242,1242,0,46223,275,0.008113,,,,31,req_011CafMgCSuqsp7azmf6Q2j3
1777798634,,5,1180,1180,0,47465,983,0.011142,,,,37,req_011CafMhXTBirPMr5hCKwDcD
1777798739,,6,3077,3077,0,48645,448,0.010957,,,,43,req_011CafMqZxy1a6J2ZZ7hwkd9
1777798762,,4,1060,1060,0,51722,1,0.006506,,,,50,req_011CafMsQSnJJgFdejn3zAkY
1777798764,,5,2054,2054,0,52782,185,0.008776,,,,55,req_011CafMsc2J4TFpbu8PtZprz
1777798828,,5,2983,2983,0,54836,7506,0.046747,1777798800,,,57,req_011CafMskEfM9QJzZcTQmfwx
