ts,model,input,cc,cc5m,cc1h,cr,out,cost,win,rl,evt,line,req
1777798338,claude-haiku-4-5-20251001,3,39487,39487,0,0,158,0.050152,1777795200,,heuristic_resume,3,req_011CafMLBypjSH5NMk1d1J8A
1777798340,,5,3281,3281,0,39487,105,0.00858,,,,6,req_011CafMLMdWBQmanTUqiF2by
1777798342,,5,609,609,0,42768,247,0.006278,,,,13,req_011CafMLVSJaxXdGwAkytFQ4
1777798344,,6,2574,2574,0,43377,246,0.008791,,,,20,req_011CafMLdkNNMrkzYoZJs1gq
1777798347,,6,16972,16972,0,45951,254,0.027086,,,heuristic_resume,27,req_011CafMLnmqjDA6wHQ72XXgy
1777798349,,6,1560,1560,0,62923,213,0.009313,,,,33,req_011CafMM215J8383eSNuSc7p
1777798351,,6,3103,3103,0,64483,219,0.011428,,,,39,req_011CafMM9MM74CowmWqR9dwb
1777798357,,6,3576,3576,0,67586,168,0.012075,,,ctx_warn,42,req_011CafMMKDfthDJsn3xaU9te
1777798359,,6,1134,1134,0,71162,225,0.009665,,,,49,req_011CafMMkXgVBKVgye8rAbbK
1777798361,,6,494,494,0,72296,166,0.008683,,,,53,req_011CafMMu58hnKdoYDvjZPRg
1777798363,,6,5161,5161,0,72790,228,0.014876,,,,56,req_011CafMN2Nvhc7n3w6j9GCJg
1777798365,,5,3754,3754,0,77951,35,0.012668,,,,60,req_011CafMNBwQF1QxkQ7xRBKSn
1777798367,,6,7848,7848,0,81705,153,0.018752,,,,64,req_011CafMNLBVeCbags12mweup
1777798369,,6,251,251,0,89553,154,0.010045,,,,68,req_011CafMNVN9DSawRwXXxock2
1777798371,,6,843,843,0,89804,150,0.01079,,,,72,req_011CafMNczn6MoES56jinnpc
1777798373,,6,4006,4006,0,90647,158,0.014868,,,,76,req_011CafMNn1GBHg77JrFy3zkc
1777798375,,6,7261,7261,0,94653,184,0.019468,,,,79,req_011CafMNwV246486k677bqPV
1777798377,,6,338,338,0,101914,167,0.011455,,,,83,req_011CafMP7DQpG9EWjz3P3GyA
1777798530,,6,1419,1419,0,102252,154,0.012775,,,,86,req_011CafMa7pSDHcWqr6qWmhKs
1777798531,,6,889,889,0,103671,180,0.012384,,,,91,req_011CafMaUUQGqWivTBJB3n7y
1777798616,,6,382,382,0,104560,10584,0.06386,,,,93,req_011CafMabvsMSdrXrwrTntFZ
