ts,model,input,cc,cc5m,cc1h,cr,out,cost,win,rl,evt,line,req
1777645583,,0,0,0,0,0,0,0,1777644000,,clear,3,
1777645625,claude-sonnet-4-6,3,19553,0,19553,10880,597,0.129546,,,heuristic_resume,10,req_011Cac1EKn7qce7Ux2G7haXb
1777645667,,3,655,0,655,30433,308,0.017689,,,,17,req_011Cac1Hspn6coZuEmZLsUEq
1777645677,,3,1566,0,1566,31088,730,0.029681,,,,20,req_011Cac1JLwgQqJTjyisWfsHx
1777645730,,1,1725,0,1725,32654,504,0.027709,,,,24,req_011Cac1NJHJgkmaRF1cVYRUD
1777645732,,1,680,0,680,34379,83,0.015642,,,,27,req_011Cac1Nwn3UFXq3iow1WuCH
1777645763,,1,2102,0,2102,35059,2107,0.054738,,,,31,req_011Cac1P6k3fFn36A93tykn3
1777645808,,1,2152,0,2152,37161,1424,0.045423,,,,34,req_011Cac1T5mcjCph7iAqmRB3h
1777645911,,1,1580,0,1580,39313,1638,0.045847,,,,39,req_011Cac1aV62K9cbAPWFLXnkh
1777645940,,0,0,0,0,0,0,0,,limit_hit_unknown{12:50am@Asia/Seoul},,42,
1777798241,,0,0,0,0,0,0,0,1777795200,,model_change,48,
1777798244,,0,0,0,0,0,0,0,,,model_change,53,
1777798347,claude-opus-4-7,6,52363,0,52363,0,2606,0.58881,,,cost_warn|heuristic_resume,63,req_011CafMJTn2zoWjt7uymZPna
1777798902,,1,22237,0,22237,52363,4935,0.371932,1777798800,,heuristic_resume,72,req_011CafMxS6PWwAAejCMgNNbs
1777799081,,1,5257,0,5257,74600,4955,0.21375,,,,76,req_011CafNBXpJ8PdzSQRoKVAce
1777799187,,1,5505,0,5505,79857,4302,0.202534,,,,83,req_011CafNL3Eq1VajjgiHv7rHD
1777799459,,1,4712,0,4712,85362,595,0.104681,,,,85,req_011CafNk8ZitRQyuEKKV5vhb
1777799504,,6,620,0,620,90074,2679,0.118242,,,,92,req_011CafNmfrSG6sPnYHRRBdCR
1777799761,,1,2989,0,2989,90694,9050,0.301492,,,,97,req_011CafP1GxAu3K96keeYQgmb
1777799765,,1,9099,0,9099,93683,215,0.143212,,,,102,req_011CafP9H6aMJJjvTX7R4WUY
1777799769,,6,1152,0,1152,102782,224,0.068541,,,,104,req_011CafP9YPLHeseRWvK3uRLd
1777799874,,0,0,0,0,0,0,0,,,model_change,108,
1777799876,,0,0,0,0,0,0,0,,,model_change,113,
1777799893,claude-sonnet-4-6,3,88158,0,88158,0,212,0.532137,,,cost_warn|heuristic_resume,120,req_011CafPJae1nyEy1gWDwW7TJ
1777799912,,1,352,0,352,88158,130,0.030512,,,,125,req_011CafPL7nYNMvFRFH3m7xNd
1777799990,,1,148,0,148,88510,1331,0.047409,,,,128,req_011CafPQHsNx7R4M55pKpgWb
1777800136,,1,1364,0,1364,88658,1346,0.054974,,,,133,req_011CafPb9vSpNmX3ewtpiRM2
1777800160,,1,1449,0,1449,90022,1469,0.057739,,,,137,req_011CafPcphc2rP57nB1P52Zz
1777800183,,1,1572,0,1572,91471,1548,0.060096,,,,141,req_011CafPedDbrDy3GTjQzthXX
1777800209,,1,1761,0,1761,93043,1518,0.061252,,,,149,req_011CafPgJtLdJJg3biCFhfGm
1777800230,,1,1621,0,1621,94804,1522,0.061,,,,153,req_011CafPiDDL8jxqNZYc3LASu
1777800233,,0,0,0,0,0,0,0,,limit_hit_unknown{10:10pm@Asia/Seoul},,155,
1777814180,,3,98188,0,98188,0,1480,0.611337,1777813200,,cost_warn|heuristic_resume,167,req_011CafhSQdL67k2cbrkYfE1P
1777814193,,1,99775,0,99775,0,681,0.608868,,,cost_warn|heuristic_resume,171,req_011CafhU4uE9iViXx6L4GSmV
1777814216,,1,824,0,824,99775,1382,0.05561,,,,177,req_011CafhV3MVANSFtJkjew1rr
1777814237,,1,1485,0,1485,100599,1242,0.057723,,,,181,req_011CafhWk6Dc4jrc95YvZjP5
1777814267,,1,1345,0,1345,102084,1662,0.063628,,,,186,req_011CafhYHf3azVMKzeb8YJs5
1777814281,,1,1765,0,1765,103429,675,0.051747,,,,188,req_011CafhaVmNRu5ynFL7WRTgM
1777814300,,1,708,0,708,105194,831,0.048274,,,,193,req_011CafhbZQRE34nE7vYPA3bd
1777814312,,1,984,0,984,105902,490,0.045028,,,,197,req_011CafhctCo9wKRm3kpQWJTS
1777814854,,1,508,0,508,106886,299,0.039602,,,,199,req_011CafiK89ZDf1ahH6kEETAx
