ts,model,input,cc,cc5m,cc1h,cr,out,cost,win,rl,evt,line,req
1777513881,claude-haiku-4-5-20251001,3,39316,39316,0,0,165,0.049973,1777510800,,heuristic_resume,3,req_011CaZ7oT5mdqKWvB4WwTZ3C
1777513885,,5,2632,2632,0,39316,347,0.008962,,,,12,req_011CaZ7ofzuMUiegBs4JonTt
1777513889,,6,2992,2992,0,41948,269,0.009286,,,,19,req_011CaZ7owckeEys87nDPNYYU
1777513891,,6,1572,1572,0,44940,173,0.00733,,,,23,req_011CaZ7pEiu1mpQKoniwDDxB
1777513893,,6,1262,1262,0,46512,248,0.007475,,,,27,req_011CaZ7pQJ7hoaA6jFVrZzzh
1777513897,,6,2624,2624,0,47774,117,0.008648,,,,32,req_011CaZ7pbmSHDaC8ggx8CoH9
1777513934,,5,161,161,0,50398,163,0.006061,,,,36,req_011CaZ7sMS4R8kYbH5NuxtbB
1777513936,,6,3268,3268,0,50559,147,0.009882,,,,39,req_011CaZ7sYbGSdGNhUykteT9w
1777513939,,470,1089,1089,0,53827,121,0.007819,,,,43,req_011CaZ7sj7nPWiMmpvn6k5e2
1777513949,,5,628,628,0,54916,144,0.007002,,,,45,req_011CaZ7tZoEBvnDoKxWg9Vf8
1777513953,,6,186,186,0,55544,151,0.006548,,,,48,req_011CaZ7toH6VKp8bgWoV45eN
1777513956,,6,3232,3232,0,55730,99,0.010114,,,,51,req_011CaZ7tyFrzaMMVqGLpZDmL
1777513959,,5,214,214,0,58962,82,0.006579,,,,53,req_011CaZ7uE5LzjWGVg9RuCUVN
1777513961,,5,1279,1279,0,58962,89,0.007945,,,,55,req_011CaZ7uQPDLMGvS6vHWSVkX
1777513964,,5,165,165,0,60241,151,0.00699,,,,58,req_011CaZ7uayhWD9SM7qGfphaZ
1777513966,,6,1629,1629,0,60406,198,0.009073,,,,63,req_011CaZ7um9dEqD1454GVnULc
1777513969,,6,3383,3383,0,62035,175,0.011313,,,,68,req_011CaZ7uy4z1fMoFoG22gHhF
1777513972,,6,1793,1793,0,65418,194,0.009759,,,,72,req_011CaZ7vAy6WQsEDeta1UdPY
1777513975,,6,1500,1500,0,67211,217,0.009687,,,,76,req_011CaZ7vQE4kviwmhkLKsvkt
1777513977,,6,2313,2313,0,67211,125,0.010243,,,,79,req_011CaZ7vbLJuCD5yrSJarxsW
1777513980,,4,330,330,0,69524,168,0.008209,,,,82,req_011CaZ7vn2zMERGXZGnCjRSb
1777513984,,5,1555,1555,0,69854,123,0.009549,,,ctx_warn,86,req_011CaZ7vz5n7EzywhFzUc9bQ
1777513987,,4,192,192,0,71409,68,0.007725,,,,88,req_011CaZ7wEafEZHL1kjmS5zRn
1777513990,,4,177,177,0,71601,80,0.007785,,,,90,req_011CaZ7wVsRVVfWnBbtA8XgP
1777513993,,4,1424,1424,0,71778,116,0.009542,,,,93,req_011CaZ7wgfZW8GLPJfjEgGos
1777513995,,4,170,170,0,73202,95,0.008012,,,,95,req_011CaZ7wuFM1ET67UUdeY8zE
1777514025,,4,526,526,0,73372,3176,0.023879,,,,97,req_011CaZ7x3fcBAq77PJbKbEYP
