ts,model,input,cc,cc5m,cc1h,cr,out,cost,win,rl,evt,line,req
1777513754,,0,0,0,0,0,0,0,1777510800,,model_change,4,
1777513825,claude-opus-4-7,6,39617,0,39617,0,156,0.4001,,,heuristic_resume,13,req_011CaZ7jHm5FmJBCJjeqtcCA
1777513852,,1,569,0,569,39617,185,0.030129,,,,15,req_011CaZ7mEPiyskN1fY8VgMdK
1777513878,,1,669,0,669,40186,1084,0.053888,,,,18,req_011CaZ7nJgxwh5eF78KHYy8a
1777514029,,1,5703,0,5703,40855,181,0.081988,,,,24,req_011CaZ7zGBjipk819XweMs2B
1777514032,,1,896,0,896,46558,117,0.035169,,,,26,req_011CaZ7zav7Tsbs2oQq7XAH3
1777514034,,1,1106,0,1106,46558,147,0.038019,,,,28,req_011CaZ7znX7sy8Dq3Aapzsje
1777514037,,1,178,0,178,47664,127,0.028792,,,,30,req_011CaZ7zxmWn8jxnMzYoRSco
1777514039,,1,1113,0,1113,47842,125,0.038181,,,,32,req_011CaZ819HXtJgAxr62oyJSP
1777514042,,1,455,0,455,48955,127,0.032208,,,,34,req_011CaZ81KvFCeHc8unqP4fgc
1777514045,,1,857,0,857,49410,112,0.03608,,,,36,req_011CaZ81ZRqwKBaJAnwnzYRs
1777514067,,1,3675,0,3675,50267,1463,0.098464,,,,43,req_011CaZ81kGDG4XAPYGwjU7pj
1777514069,,1,2410,0,2410,53942,124,0.054176,,,,45,req_011CaZ83MEvqRJAwh8QceRQy
1777514072,,1,3382,0,3382,53942,225,0.066421,,,,47,req_011CaZ83XixpSBZEkDdNyYfz
1777514075,,1,268,0,268,57324,158,0.035297,,,,49,req_011CaZ83mEox5sUxko7SivMX
1777514078,,1,927,0,927,57324,191,0.042712,,,,52,req_011CaZ83wC6MvHKQ8Dz3DJLk
1777514136,,1,457,0,457,58251,4466,0.145351,,,,56,req_011CaZ84D4aJevs6XrSQbv9i
1777514139,,1,4513,0,4513,58708,98,0.076939,,,,62,req_011CaZ88UPgBgADtkDR9aFuZ
1777514142,,6,64349,0,64349,0,47,0.644695,,,cost_warn|heuristic_resume,64,req_011CaZ88i3DZowTmSKWdnfdV
1777514233,,0,0,0,0,0,0,0,,,model_change,68,
1777514243,claude-sonnet-4-6,3,50278,0,50278,0,345,0.306852,,,heuristic_resume,77,req_011CaZ8FyWq8Az41eRgaLZmN
1777514247,,292,1454,0,1454,50278,192,0.027563,,,,86,req_011CaZ8GPPXFTbGPeeAPBF19
1777514250,,1,1124,0,1124,51732,172,0.024847,,,,89,req_011CaZ8GfeKpATbFez5UfKRR
1777514258,,1,3560,0,3560,52856,427,0.043625,,,,97,req_011CaZ8Gv7iLAbLs9zbCPbBF
1777514262,,1,507,0,507,56416,295,0.024395,,,,100,req_011CaZ8HSfVp1BmeXtC96GQu
1777514271,,1,375,0,375,56923,663,0.029275,,,,103,req_011CaZ8HoPBjUEyWfKpFRBkE
1777514279,,1,726,0,726,57298,580,0.030248,,,,107,req_011CaZ8JVfc3YaiTkgcfC5Jb
1777514284,,1,771,0,771,58024,283,0.026281,,,,115,req_011CaZ8K2totprsHXnnLQcga
1777514288,,1,341,0,341,58795,169,0.022223,,,,119,req_011CaZ8KPPMktKkEzafbcFxv
1777514291,,1,240,0,240,59136,92,0.020564,,,,121,req_011CaZ8KkVc4Fz3haWUh1mHs
1777514296,,1,785,0,785,59136,247,0.026159,,,,123,req_011CaZ8Kz1Cw2Sy2VZLb5jpc
1777514299,,1,305,0,305,59921,150,0.022059,,,,127,req_011CaZ8LJZRBGGMSAuvtPtQf
1777514322,,1,219,0,219,60226,123,0.02123,,,,130,req_011CaZ8MxDMxuEQRAFUB1B1n
1777514336,,1,834,0,834,60445,1389,0.043976,,,,136,req_011CaZ8NAfiXJBF66M2sD121
1777514339,,1,1453,0,1453,61279,154,0.029415,,,,139,req_011CaZ8PDMiU6vK2inq4S1mN
1777514352,,1,294,0,294,62732,319,0.025372,,,,142,req_011CaZ8Q3NiizJ3Ez5AvfB26
1777514357,,1,367,0,367,63026,318,0.025883,,,,146,req_011CaZ8QQ8e7wPB2bJkiS9gt
1777514364,,1,368,0,368,63393,314,0.025939,,,,152,req_011CaZ8QmfwMXoFY33hVH6R8
1777514370,,1,364,0,364,63761,544,0.029475,,,,154,req_011CaZ8RHDhMawEn3zb2gMmu
1777514378,,1,594,0,594,64125,142,0.024935,,,,157,req_011CaZ8Rin5vMCaQMrrT9hVC
1777514419,,1,902,0,902,64719,160,0.027231,1777514400,,,164,req_011CaZ8V8Vgopj4auLU8LQ2x
1777514428,,1,304,0,304,65621,139,0.023598,,,,166,req_011CaZ8VoGpVRgdJz6ZqgANN
1777514438,,1,358,0,358,65925,268,0.025949,,,,170,req_011CaZ8WRQTWyb83dphNoUaX
1777514460,,1,4843,0,4843,66283,206,0.052036,,,,181,req_011CaZ8Y5JnNLeKv4gP4eePz
1777514469,,1,620,0,620,71126,254,0.028871,,,,190,req_011CaZ8YiZPMqD5vR8Axm9nz
1777514483,,1,248,0,248,71746,105,0.02459,,,,192,req_011CaZ8ZpZKgKdDwMsyaF2kf
1777514487,,1,337,0,337,71994,121,0.025438,,,,195,req_011CaZ8a7nfDTL3k8wcUdxQA
1777514505,,1,139,0,139,72331,112,0.024216,,,,197,req_011CaZ8bVvTQtPkhjiUermie
1777514526,,1,178,0,178,72470,373,0.028407,,,,199,req_011CaZ8ciJNFcHPYGvcfMC6j
1777514591,,3,446,0,446,72648,113,0.026174,,,,205,req_011CaZ8hhinMs15qzDbdMDgj
1777514602,,1,655,0,655,73094,308,0.030481,,,,208,req_011CaZ8iFJpeGMLPEkzb43KL
1777514616,,1,322,0,322,73749,643,0.033705,,,,210,req_011CaZ8j1TAchc71qV7d982f
1777514654,,3,657,0,657,74071,660,0.036072,,,,219,req_011CaZ8myZPsqn2DHBFzchhx
1777514663,,1,712,0,712,74728,203,0.029738,,,,222,req_011CaZ8nxer62EfA9vfWvcqA
1777514718,,3,310,0,310,75440,603,0.033546,,,,230,req_011CaZ8rh3buyrvpFVryTt8E
1777514740,,1,766,0,766,75750,369,0.032859,,,,233,req_011CaZ8tcJAE7UDkWfPhoMG1
1777514751,,1,400,0,400,76516,133,0.027353,,,,238,req_011CaZ8uLJkxx5FN71BxtEwe
1777514784,,2,960,0,960,76916,177,0.031496,,,,246,req_011CaZ8wxQxoWQzuumvAyDjH
1777514787,,1,419,0,419,77876,77,0.027035,,,,248,req_011CaZ8xH8MUJ3AGMcF4aJJN
1777514792,,3,1333,0,1333,78295,263,0.035441,,,,250,req_011CaZ8xUBrzJwH2NAD7b9kj
1777514800,,1,738,0,738,79628,134,0.030329,,,,252,req_011CaZ8yAx3yBr9dQV8g1DdS
1777514802,,1,229,0,229,80366,22,0.025817,,,,254,req_011CaZ8yQNCfmRgzwBSoYTpf
1777514920,,3,189,0,189,80595,137,0.027377,,,,261,req_011CaZ983PdrxjoKN4qDekUU
1777514922,,1,1938,0,1938,80784,56,0.036706,,,,266,req_011CaZ98G67v3HvjowyLsnWC
1777525481,,3,82832,0,82832,0,145,0.499176,1777525200,,heuristic_resume,273,req_011CaZNYQx72HojEmGi9g9JT
1777525503,,1,94497,0,94497,0,589,0.57582,,,cost_warn|heuristic_resume,281,req_011CaZNZXEAF9iDFaTXcoGrg
1777525508,,1,870,0,870,94497,298,0.038042,,,,286,req_011CaZNaNMPvEz3FZj6BYSfm
1777525516,,1,959,0,959,95367,641,0.043982,,,,287,req_011CaZNakPDEqJv68C5Vmu3k
1777525532,,1,705,0,705,96326,1410,0.054281,,,,290,req_011CaZNbMR7cDwomJUJfSQ7Q
1777525538,,1,1475,0,1475,97031,120,0.039762,,,,296,req_011CaZNcYHkCYeCKnPc9dDDb
1777525543,,1,511,0,511,98506,323,0.037466,,,,298,req_011CaZNcxCfRXuV9jiboeFHX
1777525547,,1,484,0,484,99017,230,0.036062,,,,302,req_011CaZNdHm9hL421fiXajGEb
1777525555,,1,312,0,312,99501,127,0.03363,,,,304,req_011CaZNdwqcauknCy6BnBpwB
1777525564,,1,237,0,237,99813,123,0.033214,,,,306,req_011CaZNeeLgUXwaYUJSHDrCi
1777525587,,1,236,0,236,100050,220,0.034734,,,,308,req_011CaZNg54zukbqGegrfLUdB
