ts,model,input,cc,cc5m,cc1h,cr,out,cost,win,rl,evt,line,req
1777552662,claude-haiku-4-5-20251001,3,39070,39070,0,0,142,0.049551,1777550400,,heuristic_resume,3,req_011CaZy6EKzK6on4S6jfn73W
1777552665,,5,3563,3563,0,39070,113,0.008931,,,,6,req_011CaZy6QC53mjbiY6BRUzku
1777552667,,4,132,132,0,42633,87,0.004867,,,,8,req_011CaZy6bumMqGFRouQC1syc
1777552671,,4,1836,1836,0,42765,93,0.007041,,,,10,req_011CaZy6j9LutaPupS5dHxrK
1777552678,,4,5712,5712,0,42765,88,0.011861,,,,12,req_011CaZy7448u97ypZFdmCf4W
1777552681,,5,155,155,0,48477,321,0.006651,,,,19,req_011CaZy7aGKizdAYF47JRVA6
1777552683,,5,2960,2960,0,48632,250,0.009818,,,,26,req_011CaZy7kwX6JkMh7chgEhom
1777552686,,5,1985,1985,0,51592,247,0.00888,,,,32,req_011CaZy7wP4w762wRfuw5SrK
1777552688,,5,2603,2603,0,53577,229,0.009761,,,,38,req_011CaZy89HRxi3uHbSiU3K2N
1777552691,,5,10036,10036,0,56180,208,0.019208,,,heuristic_resume,43,req_011CaZy8KP9qWt4gVvNaK4ik
1777552694,,5,2371,2371,0,66216,226,0.01072,,,,50,req_011CaZy8WrTvan1QGmrJ78DP
1777552696,,5,2718,2718,0,68587,155,0.011036,,,ctx_warn,54,req_011CaZy8iKYGTmfFUpLyjdCT
1777552698,,5,3639,3639,0,68587,68,0.011752,,,,58,req_011CaZy8rhZmj6TP9bLfdm8S
1777552701,,5,1504,1504,0,72226,261,0.010413,,,,64,req_011CaZy91LyPdsiVa1VeiuMq
1777552706,,5,1722,1722,0,73730,121,0.010136,,,,67,req_011CaZy9FtaeGdLjhv5xps3t
1777552708,,4,179,179,0,75452,108,0.008313,,,,69,req_011CaZy9bQb7RdktdM7pyzBg
1777552711,,4,345,345,0,75631,162,0.008808,,,,71,req_011CaZy9kwKvYzJUdxhM56gg
1777552713,,5,204,204,0,75976,169,0.008703,,,,75,req_011CaZy9xEDwdDBZH6augVBs
1777552715,,5,2409,2409,0,76180,106,0.011164,,,,78,req_011CaZyA6hxuRtUPNyRZJN9w
1777552717,,4,340,340,0,78589,85,0.008713,,,,80,req_011CaZyAHFxqa5DEh8RYMiny
1777552743,,4,110,110,0,78929,2725,0.021659,,,,82,req_011CaZyAQJsh9pCbB1wJkYEZ
