ts,model,input,cc,cc5m,cc1h,cr,out,cost,win,rl,evt,line,req
1777550370,,0,0,0,0,0,0,0,1777546800,,clear,3,
1777552627,,0,0,0,0,0,0,0,1777550400,,model_change,7,
1777552644,claude-opus-4-7,6,39773,0,39773,0,161,0.401785,,,heuristic_resume,15,req_011CaZy4ktThQDf3SnmjJAL1
1777552660,,1,556,0,556,39773,774,0.044802,,,,18,req_011CaZy5HbuuLrErHuKfohP4
1777552756,,1,4714,0,4714,40329,714,0.08516,,,,24,req_011CaZyCM8vwYxJEwbkBJMRs
1777552770,,6,48488,0,48488,0,743,0.503485,,,cost_warn|heuristic_resume,26,req_011CaZyDJcQMJu3oWgFLXPYL
1777552947,,1,1801,0,1801,48488,4385,0.151884,,,,28,req_011CaZyPBGuaPWPrgtUEKkmn
1777552949,,1,4433,0,4433,50289,47,0.070655,,,,33,req_011CaZyTP6vH85XLDpiXn4JQ
1777552987,,0,0,0,0,0,0,0,,,model_change,37,
1777552998,claude-sonnet-4-6,3,32589,0,32589,10972,124,0.200695,,,heuristic_resume,44,req_011CaZyWt33cGcARkFovoGVH
1777553002,,1,4128,0,4128,43561,266,0.041829,,,,52,req_011CaZyX7omqjvw9K4qyDpf5
1777553007,,1,7075,0,7075,47689,310,0.06141,,,,63,req_011CaZyXTkpxE7jqurxKFfBs
1777553011,,1,1805,0,1805,54764,247,0.030967,,,,69,req_011CaZyXrkgbRVJwmzTeGqNz
1777553014,,1,2534,0,2534,56569,167,0.034683,,,,75,req_011CaZyY6nHsfzg5b2FqxTYV
1777553017,,1,4637,0,4637,56569,200,0.047796,,,,81,req_011CaZyYLYmapf7CKx2ZSrLm
1777553020,,1,1519,0,1519,61206,150,0.029729,,,,88,req_011CaZyYaq19SZuKdDBdMw6o
1777553023,,1,5571,0,5571,62725,149,0.054482,,,,94,req_011CaZyYmEpeYQTyzXGaeKDn
1777553029,,1,6767,0,6767,62725,323,0.064268,,,,97,req_011CaZyZ1Rc8rU3iMQJvQfn6
1777553031,,1,418,0,418,69492,95,0.024784,,,,99,req_011CaZyZQeMmg2FhXxuLbipC
1777553038,,1,575,0,575,69910,574,0.033036,,,,109,req_011CaZyZaDKZYMyGuzcd9HuA
1777553042,,1,926,0,926,70485,374,0.032315,,,,116,req_011CaZya47MvGC6GzNCpsbgD
1777553052,,1,455,0,455,71411,959,0.038541,,,,119,req_011CaZyaN4c9shpmFyxsrX3m
1777553056,,1,1040,0,1040,71866,412,0.033983,,,,123,req_011CaZyb79SzbibTyBwfiGUL
1777553061,,1,492,0,492,72906,342,0.029957,,,,126,req_011CaZybSTJfdorkJjt8YTHg
1777553066,,1,401,0,401,73398,444,0.031088,,,,132,req_011CaZybn5Fw7z7aSFp5oAKQ
1777553074,,1,501,0,501,73799,724,0.036009,,,,135,req_011CaZyc7w7EhaZQJxPJzHSb
1777553077,,1,781,0,781,74300,307,0.031584,,,,137,req_011CaZychirDJGstTmRi9EeH
1777553080,,1,474,0,474,75081,157,0.027726,,,,142,req_011CaZycy2MH1EikxiyoLf6k
1777553085,,1,211,0,211,75555,248,0.027656,,,,146,req_011CaZydFKPNG34vfyGz8Rp1
1777553107,,1,304,0,304,75766,266,0.028547,,,,148,req_011CaZyetmvDVFpiSXkjzR9C
1777553110,,1,315,0,315,76070,177,0.027369,,,,154,req_011CaZyf9Cqf9TsrUbppZ7M8
1777553113,,1,539,0,539,76070,205,0.029133,,,,156,req_011CaZyfNvawzuzfCLfiezaM
1777553119,,1,254,0,254,76609,541,0.032625,,,,160,req_011CaZyfbCH8r3YPWxRMp4bd
1777553126,,1,594,0,594,76863,512,0.034306,,,,164,req_011CaZyg2VnjpboZbMeRCTcY
1777553142,,1,676,0,676,77457,1557,0.050651,,,,167,req_011CaZygaoz6kXUrJr5snnRo
1777553145,,1,1611,0,1611,78133,145,0.035284,,,,173,req_011CaZyhmvFMuWab8Txbv2bT
1777553149,,1,196,0,196,79744,227,0.028507,,,,176,req_011CaZyhx3x7HmqywDPbEJ3j
1777553154,,1,275,0,275,79940,409,0.03177,,,,180,req_011CaZyiEYPiNDMH7X9ArxbL
1777553159,,1,460,0,460,80215,328,0.031747,,,,183,req_011CaZyicz1agP64UnL2kaXT
1777553164,,1,379,0,379,80675,432,0.03296,,,,186,req_011CaZyizhyU67HyG8UH1HxW
1777553169,,1,483,0,483,81054,146,0.029407,,,,191,req_011CaZyjPq1x2TooKqh6EVPR
1777553202,,1,1264,0,1264,81537,213,0.035243,,,,196,req_011CaZymrtkhLW7PZRQg8gPo
1777553207,,1,245,0,245,82801,106,0.027903,,,,198,req_011CaZynQa1FmUGSVjfhNc5Z
1777553210,,1,174,0,174,83046,106,0.027551,,,,200,req_011CaZynaGQiBg5xeHVYbGQs
1777553214,,1,121,0,121,83220,249,0.02943,,,,203,req_011CaZynjscEW5EuGoJJ2abd
1777553217,,1,545,0,545,83341,203,0.03132,,,,207,req_011CaZyo6QdtEkpaaxMyV4EA
1777553219,,1,410,0,410,83886,98,0.029099,,,,209,req_011CaZyoJrVFoeQBYiE4YBEa
