ts,model,input,cc,cc5m,cc1h,cr,out,cost,win,rl,evt,line,req
1779235924,,0,0,0,0,0,0,0,1779235200,,clear,3,
1779235939,claude-sonnet-4-6,3,17355,0,17355,13091,232,0.111546,,,heuristic_resume,13,req_011CbCrRQhBZw2zVL1uVnkTx
1779235950,,3,614,0,614,30446,161,0.015242,,,,17,req_011CbCrRvrPvV9u8y698bA7Q
1779235994,,1,2765,0,2765,31060,2286,0.060201,,,,23,req_011CbCrSp1vGDEQ3xViHr1pv
1779236068,,3,2322,0,2322,33825,376,0.029729,,,,32,req_011CbCraPbCvSmZr6qSEePFd
1779236073,,1,763,0,763,36147,250,0.019175,,,,36,req_011CbCrbV8cVzFukZDEbcoWC
1779236078,,1,422,0,422,36910,227,0.017013,,,,42,req_011CbCrbnvgj9gBJNNR6VqaD
1779236084,,1,2037,0,2037,37332,233,0.02692,,,,49,req_011CbCrcE3nBuWTVwHQ6eHHx
1779236096,,1,3399,0,3399,39369,461,0.039123,,,,54,req_011CbCrcgE8nYdRRq9gSX5be
1779236100,,1,1468,0,1468,42768,135,0.023666,,,,58,req_011CbCrdXNMpswf8ZNYjAbC4
1779236103,,1,256,0,256,44236,116,0.01655,,,,60,req_011CbCrdngbszqALvRWCxbLw
1779236108,,1,489,0,489,44492,125,0.01816,,,,62,req_011CbCre1hSQmp97HMybSsDg
1779236112,,1,378,0,378,44981,111,0.01743,,,,64,req_011CbCreQsDGP4CEAKAvu9ea
1779236126,,1,565,0,565,45359,736,0.028041,,,,69,req_011CbCregESHGBtxaNi1GURA
1779236133,,1,802,0,802,45924,115,0.020317,,,,71,req_011CbCrfmJ52Sct7A2GXhYty
1779236140,,1,797,0,797,46726,350,0.024053,,,,74,req_011CbCrgDgKPMTPngPMLqtKP
1779236144,,1,411,0,411,47523,111,0.018391,,,,78,req_011CbCrgmahwcZ9oDm7QVrYT
1779236157,,1,325,0,325,47934,640,0.025933,,,,81,req_011CbCrh5bvUQ9EEu29JZtSJ
1779236194,,3,646,0,646,48259,215,0.021588,,,,87,req_011CbCrkCeuxfc4JBMmmDB24
1779236198,,1,352,0,352,48905,250,0.020537,,,,89,req_011CbCrkkzM8MfG1AznnfRuY
1779236203,,1,328,0,328,49257,301,0.021263,,,,93,req_011CbCrm4y5msGxjj3m41dsi
1779236207,,1,379,0,379,49585,121,0.018968,,,,97,req_011CbCrmPamaxCSXDCxd9JVp
1779236235,,1,475,0,475,49964,220,0.021142,,,,100,req_011CbCroN6XUR8uHLsNr8qh8
1779236345,,3,299,0,299,50439,190,0.019785,,,,109,req_011CbCrwVbwouro7s8kh6njs
1779236389,,1,2762,0,2762,50738,2104,0.063356,,,,114,req_011CbCrwtuALr8gSwF7Ke845
1779236437,,3,2140,0,2140,53500,407,0.035004,,,,121,req_011CbCs3EhBE19x9ZMACup42
1779236452,,1,424,0,424,55640,619,0.028524,,,,125,req_011CbCs4o6rCtS8UD4v3hhRn
1779236457,,1,730,0,730,56064,80,0.022402,,,,127,req_011CbCs5s7jM8deiy52RpdhG
1779236501,,3,170,0,170,56794,242,0.021697,,,,134,req_011CbCs8voKDqCyBc7cairoA
1779236520,,1,1497,0,1497,56964,926,0.039964,,,,142,req_011CbCs9RXDA2stHnffxv6jd
1779236524,,1,1009,0,1009,58461,102,0.025125,,,,144,req_011CbCsAokDVc41bGGAbFP4M
1779236553,,1,314,0,314,59470,121,0.021543,,,,146,req_011CbCsCraRjjN1JmyeBNg5B
1779236581,,3,150,0,150,59784,198,0.021814,,,,153,req_011CbCsEvFk4HYGaSVbkkY2Q
1779236587,,1,224,0,224,59934,187,0.022132,,,,156,req_011CbCsFJ1SEVWZR6Pf6qB5Q
1779236603,,1,354,0,354,60158,417,0.026429,,,,161,req_011CbCsFqy3sTuEaYMa2u9ja
1779236639,,3,48178,0,48178,12725,140,0.294995,,,heuristic_resume,178,req_011CbCsJn6y7jkKMAA2zW2y1
1779236646,,1,258,0,258,60903,175,0.022447,,,,182,req_011CbCsKkMKurLkLxR2JEc4o
1779236680,,3,462,0,462,61161,236,0.024669,,,,195,req_011CbCsMwjEnFtRuPP4zrNsM
1779236684,,1,249,0,249,61623,87,0.021289,,,,197,req_011CbCsNcD1Y5wc2mP6TC5sT
1779236687,,1,220,0,220,61872,112,0.021565,,,,199,req_011CbCsNrjdafjnqv7UHZi8W
1779236693,,1,216,0,216,62092,142,0.022057,,,,202,req_011CbCsPC2zSAFZshwZ6n8t5
1779236726,,3,50330,0,50330,12725,146,0.307997,,,heuristic_resume,224,req_011CbCsRFFX6oNgxjj9jSeNY
1779236730,,3,528,0,528,63055,130,0.024044,,,,227,req_011CbCsRzHtbw9Q9t29nNfym
1779236855,,1,5491,0,5491,63583,2429,0.088459,,,,235,req_011CbCsXtJeDQMR65Lx4Fw5Y
1779236939,,0,0,0,0,0,0,0,,,model_change,240,
1779236991,claude-opus-4-7,6,92679,0,92679,0,1397,0.961745,,,cost_warn|heuristic_resume,247,req_011CbCsjdJq59ZHSqCiyCgju
1779237080,,1,3384,0,3384,92679,2114,0.133035,,,,254,req_011CbCsqVafAWfPGixvk4TzW
1779237225,,1,3303,0,3303,96063,3739,0.174542,,,,258,req_011CbCsywCFMEX1DqdewVoLv
1779237362,,1,6778,0,6778,99366,3711,0.210243,,,,265,req_011CbCtAqRnCZCkrprz1j4uV
1779237368,,1,3777,0,3777,106144,98,0.093297,,,,268,req_011CbCtF3CpQyvZRjGZpYnUC
1779237372,,6,1178,0,1178,109921,132,0.070071,,,,271,req_011CbCtFM3cjeAb4XBdSdqcD
1779237460,claude-sonnet-4-6,1,80567,0,80567,12725,286,0.491513,,,heuristic_resume,282,req_011CbCtMVNLn6LatmCKwmx1j
1779237509,,7988,2039,0,2039,93292,2774,0.105796,,,,292,req_011CbCtN5qm23KZdkNReXTGL
