ts,model,input,cc,cc5m,cc1h,cr,out,cost,win,rl,evt,line,req
1779158237,claude-opus-4-7,6,12898,12898,0,0,260,0.087143,1779156000,,heuristic_resume,5,req_011CbB9fp5y7sjicPYyyLrti
1779158243,,3796,2409,2409,0,12898,357,0.04941,,,,11,req_011CbB9gDyeaupM2yWBZdUmc
1779158251,,1,6208,6208,0,15307,336,0.054859,,,,16,req_011CbB9gi3rdTDvGSoU44n3o
1779158257,,1,581,581,0,21515,345,0.023019,,,,22,req_011CbB9hDdbAgm2fbaKXq3by
1779158264,,1,8007,8007,0,22096,285,0.068222,,,,30,req_011CbB9hibNYDkNQXrZUcXV6
1779158270,,1,5329,5329,0,30103,255,0.054738,,,,36,req_011CbB9iCbN6RdjsiUm7DvcY
1779158277,,1,4459,4459,0,35432,346,0.05424,,,,42,req_011CbB9ieueLF7wycnhH7vCw
1779158285,,1,5907,5907,0,39891,354,0.065719,,,,48,req_011CbB9j9GDRFg276H9eL9Vn
1779158296,,1,6125,6125,0,45798,64,0.062785,,,,54,req_011CbB9jnem2zmJgGQVSZ86x
1779158305,,1,1696,1696,0,51923,458,0.048017,,,,60,req_011CbB9kaY2KPyFyCB2eiq7x
1779158355,,1,2098,2098,0,53619,3234,0.120777,,,,63,req_011CbB9mGVbRgyAnDH7BKXXY
