ts,model,input,cc,cc5m,cc1h,cr,out,cost,win,rl,evt,line,req
1779155877,,0,0,0,0,0,0,0,1779152400,,clear,3,
1779158093,,0,0,0,0,0,0,0,1779156000,,model_change,9,
1779158232,claude-opus-4-7,6,41750,0,41750,0,1250,0.44878,,,heuristic_resume,22,req_011CbB9ePEhu1wKUTuzMYLki
1779158418,,1,4497,0,4497,41750,3350,0.1496,,,,28,req_011CbB9puhZKHFofgbYu4odG
1779158615,,1,6364,0,6364,46247,6607,0.251944,,,,32,req_011CbBA2DbdtqDAjw45LWy4N
1779158622,,1,6672,0,6672,52611,98,0.095481,,,,37,req_011CbBAA7T2FZ9ihH5QzPmQY
1779158628,,6,60411,0,60411,0,145,0.607765,,,cost_warn|heuristic_resume,39,req_011CbBAAb6vRw8QKArZN4Myw
1779158787,,1,297,0,297,60411,1005,0.058306,,,,45,req_011CbBAMBuig7qjDoU3Q2YE1
1779158799,,1,1242,0,1242,60708,114,0.045629,,,,47,req_011CbBANnXqyxU77YysdWEvg
1779158804,,1,174,0,174,61950,189,0.037445,,,,50,req_011CbBAPebPJHp7wNR9QYroZ
1779158818,,1,276,0,276,62124,607,0.049002,,,,53,req_011CbBAQ2KM4uLAESzyUvu3L
1779158836,,1,700,0,700,62400,809,0.05843,,,,57,req_011CbBARMrNMC79tkjAdUQrD
1779158849,,1,902,0,902,63100,472,0.052375,,,,59,req_011CbBASU2ifsTDQz4a9aerN
1779158866,,1,541,0,541,64002,800,0.057416,,,,61,req_011CbBATMueWjyD7DhKNggAj
1779158885,,1,869,0,869,64543,658,0.057417,,,,65,req_011CbBAUzFDE364pVqpQC8UU
1779158912,,1,727,0,727,65412,1797,0.084906,,,,67,req_011CbBAW1gZScybyTj46ie3p
1779158923,,1,1866,0,1866,66139,530,0.064985,,,,71,req_011CbBAXy5qws9tZ9VgNBtcA
1779158936,,1,742,0,742,68005,429,0.052153,,,,76,req_011CbBAYqCcMQ6LywkKsd93V
1779159017,claude-sonnet-4-6,1,45634,0,45634,12725,532,0.285605,,,heuristic_resume,85,req_011CbBAenKPqXm6xQt3XAJds
1779159022,,3,1267,0,1267,58359,179,0.027804,,,,88,req_011CbBAfjv4RaYwgz864CYAS
1779159027,,1,213,0,213,59626,156,0.021509,,,,94,req_011CbBAg7kiR8pWdkSXrNajs
1779159033,,1,202,0,202,59839,161,0.021582,,,,96,req_011CbBAgUepC54iM9NqMLPG6
1779159038,,1,208,0,208,60041,154,0.021573,,,,98,req_011CbBAgvmSvmZ3o6LJqXskc
1779159046,,1,196,0,196,60249,143,0.021399,,,,100,req_011CbBAhH4awayv8E1mFv1hn
1779159050,,1,179,0,179,60445,158,0.021581,,,,102,req_011CbBAhr1UobkHL8PkPdW6C
1779159055,,1,201,0,201,60624,160,0.021796,,,,104,req_011CbBAiAvGqdtHNTLKAfTwa
1779159064,,1,208,0,208,60825,145,0.021674,,,,106,req_011CbBAiVfe3h9nB49Qhm4RL
1779159068,,1,189,0,189,61033,164,0.021907,,,,108,req_011CbBAjBX1jTPzkXfQgCwJP
1779159074,,1,208,0,208,61222,164,0.022078,,,,110,req_011CbBAjWLMX5LjfrPBG7v4w
1779159079,,1,210,0,210,61430,138,0.021762,,,,112,req_011CbBAjucaF1X41ao9oDCgu
