ts,model,input,cc,cc5m,cc1h,cr,out,cost,win,rl,evt,line,req
1778641681,,0,0,0,0,0,0,0,1778641200,,model_change,4,
1778641688,claude-sonnet-4-6,3,27269,0,27269,0,142,0.165753,,,heuristic_resume,13,req_011CayqAx9T7X5QuJX2Dt8VJ
1778641696,,1,165,0,165,27269,166,0.011664,,,,16,req_011CayqBTWnnYds251ksfAaR
1778641705,,1,166,0,166,27434,247,0.012934,,,,18,req_011CayqC3RycT3R36hv4Z6VT
1778641727,,3,259,0,259,27600,242,0.013473,,,,26,req_011CayqDkdzJabKnx39SAtBR
1778641735,,1,1271,0,1271,27859,134,0.017997,,,,31,req_011CayqEJFmCA7TBHzctdbWr
1778641753,,1,437,0,437,29130,913,0.025059,,,,34,req_011CayqEtbVuCALtiE3nCqxs
1778641775,,1,1161,0,1161,29567,840,0.028439,,,,37,req_011CayqGaC23RvDgLZbP1ftY
1778641791,,1,2521,0,2521,30728,698,0.034817,,,,41,req_011CayqHvDZXRdxVH7cu2fhJ
1778641817,,1,864,0,864,33249,1082,0.031392,,,,47,req_011CayqK44sH1FcmjAZtt12f
1778641837,,1,1768,0,1768,34113,608,0.029965,,,,50,req_011CayqMbNrErYJciqgsArrY
1778641847,,1,835,0,835,35881,656,0.025617,,,,54,req_011CayqNC3BZ537TXSa4ZGPS
1778641880,,1,740,0,740,36716,136,0.017498,,,,57,req_011CayqR6GkCMrf78ZrH9TtG
1778641885,,1,247,0,247,37456,125,0.014597,,,,60,req_011CayqRTJnCuRqKLjeFdyUJ
1778641889,,1,246,0,246,37703,115,0.014515,,,,65,req_011CayqRn3uA13ZPqCQQJtk2
1778641894,,1,158,0,158,37949,210,0.015486,,,,67,req_011CayqS3a44szqWMYsNo5uE
1778643266,,0,0,0,0,0,0,0,,,model_change,73,
1778643275,,0,0,0,0,0,0,0,,,model_change,77,
1778643284,,3,1880,0,1880,38107,240,0.026321,,,,84,req_011CaysCXsjhDuXAEseycpL1
1778643296,,1,1537,0,1537,39987,133,0.023216,,,,88,req_011CaysDWgLBWc2H2gnBHWMC
1778643301,,2799,2559,0,2559,41524,137,0.038263,,,,96,req_011CaysDoiG8sE3eCikUGpgd
1778643306,,1,5536,0,5536,44083,139,0.048529,,,,100,req_011CaysECavmQoMKBkASrHZM
1778643311,,1,6753,0,6753,49619,137,0.057462,,,,107,req_011CaysEYorEjWNJri311ggY
1778643316,,1,1566,0,1566,56372,135,0.028336,,,,112,req_011CaysEyrVKrqYwN6cmLoyX
1778643320,,1,3053,0,3053,57938,139,0.037787,,,,119,req_011CaysFFoC1vf4Vf5o7rLZ7
1778643324,,1,5067,0,5067,60991,141,0.050817,,,,123,req_011CaysFXGrZpJi6hUysds8i
1778643327,,1,1987,0,1987,66058,151,0.034007,,,,130,req_011CaysFnSBBRojFxvYRN6oZ
1778643606,,3,1409,0,1409,70147,190,0.032357,,,,138,req_011CayscKRJuHvRVZuDKTsvU
1778643695,,1,1072,0,1072,71556,162,0.030332,,,,143,req_011CaysitnfoScjZtkiFnrXB
1778643772,,1,299,0,299,72628,4268,0.087605,,,,150,req_011CaysjfC8xHNvhFgnJPc89
1778643813,,1,4286,0,4286,72927,1289,0.066932,,,,152,req_011CaysrC7AAPGZep6Hf9T5f
1778643847,,1,1319,0,1319,77213,1130,0.048031,,,,154,req_011Caysu9zFCaJ8f9EeGZva3
1778643895,,1,1160,0,1160,78532,1511,0.053188,,,,159,req_011Caysx5cu2x9yaFgAFyhyT
1778644125,,1,1541,0,1541,79692,1756,0.059497,,,,161,req_011CaytF3j2Cgf9vEynaFDoH
1778644167,,1,1786,0,1786,81233,1617,0.059344,,,,163,req_011CaytJ3ZS5xTbuhb1cYC9P
1778644236,,1,1647,0,1647,83019,1374,0.055401,,,,165,req_011CaytPLLNt4JYqBJjpmS1g
1778644273,,1,1502,0,1502,84666,1628,0.058835,,,,168,req_011CaytRSYzF9cofhainMqwZ
1778644287,,1,1658,0,1658,86168,92,0.037181,,,,173,req_011CaytUbyrQW1fEk2JJnK9s
1778644324,,1,418,0,418,87826,1270,0.047909,,,,175,req_011CaytW1p6ddRf9mPKQWZks
1778648674,,3,89538,0,89538,0,1714,0.562947,1778648400,,cost_warn|heuristic_resume,182,req_011Cayz26RKzjGjBHiSiem45
1778648924,,3,1745,0,1745,89538,2469,0.074375,,,,189,req_011CayzKmscjshp7xF12WSmN
1778648986,,1,2498,0,2498,91283,773,0.053971,,,,194,req_011CayzSBmxydW4beSZcyQQ6
1778649031,,1,813,0,813,93781,92,0.034395,,,,196,req_011CayzWCuY4Ji3Uwt4ZkNSd
1778649064,,1,461,0,461,94594,270,0.035197,,,,198,req_011CayzYGbbYuz9Skjq3jUmr
